cell_id,Automolus infuscatus,Automolus infuscatus cervicalis/badius,Automolus infuscatus infuscatus/purusianus
835f01fffffffff,2.0,0.0,0.0
835f03fffffffff,3.0,0.0,0.0
835f08fffffffff,1.0,0.0,0.0
835f10fffffffff,7.0,0.0,0.0
835f11fffffffff,4.0,0.0,0.0
835f12fffffffff,3.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f14fffffffff,20.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0
835f2bfffffffff,2.0,0.0,0.0
835f36fffffffff,1.0,1.0,0.0
835f68fffffffff,23.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f71fffffffff,3.0,0.0,0.0
835f75fffffffff,1.0,1.0,0.0
836641fffffffff,4.0,0.0,0.0
83664efffffffff,1.0,0.0,0.0
83665afffffffff,53.0,0.0,0.0
83665bfffffffff,41.0,0.0,0.0
83666bfffffffff,1.0,0.0,0.0
83666efffffffff,4.0,0.0,0.0
8366c8fffffffff,1.0,0.0,0.0
8366c9fffffffff,2.0,0.0,0.0
8366cefffffffff,3.0,0.0,0.0
8366d8fffffffff,18.0,0.0,5.0
8366dbfffffffff,6.0,0.0,0.0
8366dcfffffffff,51.0,0.0,6.0
8366ddfffffffff,19.0,0.0,2.0
8366defffffffff,14.0,0.0,2.0
8366ecfffffffff,10.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
83806bfffffffff,3.0,3.0,0.0
838a00fffffffff,4.0,0.0,0.0
838a01fffffffff,4.0,0.0,0.0
838a10fffffffff,2.0,0.0,0.0
838a1afffffffff,12.0,0.0,3.0
838a45fffffffff,7.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0
838a63fffffffff,32.0,0.0,1.0
838a69fffffffff,15.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0
838a6dfffffffff,26.0,0.0,0.0
838a6efffffffff,3.0,0.0,0.0
838a70fffffffff,4.0,0.0,0.0
838a9dfffffffff,1.0,0.0,0.0
838ad8fffffffff,1.0,1.0,0.0
838ae2fffffffff,1.0,0.0,0.0
838af0fffffffff,1.0,0.0,0.0
838af1fffffffff,6.0,0.0,0.0
838af2fffffffff,27.0,7.0,0.0
838af4fffffffff,12.0,7.0,0.0
838af6fffffffff,308.0,8.0,0.0
838b40fffffffff,33.0,0.0,0.0
838b44fffffffff,221.0,0.0,0.0
838b46fffffffff,23.0,0.0,0.0
838b4efffffffff,2.0,0.0,0.0
838b51fffffffff,2.0,0.0,0.0
838b61fffffffff,37.0,0.0,0.0
838b62fffffffff,35.0,0.0,0.0
838b63fffffffff,104.0,0.0,0.0
838b69fffffffff,20.0,0.0,0.0
838b6efffffffff,40.0,0.0,0.0
838b71fffffffff,78.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0
838f44fffffffff,4.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0
838f48fffffffff,18.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f61fffffffff,1.0,0.0,0.0
838f6bfffffffff,9.0,0.0,0.0
838f71fffffffff,1.0,0.0,0.0
838f74fffffffff,1.0,0.0,0.0
