cell_id,Ptilinopus ornatus,Ptilinopus ornatus ornatus,Ptilinopus ornatus gestroi
83728efffffffff,7.0,0.0,0.0
83729dfffffffff,2.0,0.0,0.0
8372a0fffffffff,7.0,7.0,0.0
8372a2fffffffff,74.0,20.0,0.0
8372b5fffffffff,1.0,0.0,0.0
8372d2fffffffff,3.0,0.0,0.0
8372d3fffffffff,4.0,0.0,0.0
8372d5fffffffff,2.0,0.0,0.0
8372d9fffffffff,1.0,0.0,0.0
8372dafffffffff,1.0,0.0,0.0
8372dbfffffffff,19.0,0.0,0.0
8372defffffffff,2.0,0.0,0.0
8372f2fffffffff,8.0,0.0,0.0
8372f3fffffffff,1.0,0.0,0.0
83739bfffffffff,1.0,0.0,0.0
839c85fffffffff,3.0,0.0,0.0
839c8afffffffff,2.0,0.0,0.0
839c8bfffffffff,6.0,0.0,0.0
839c8efffffffff,4.0,0.0,0.0
839c99fffffffff,6.0,0.0,0.0
839c9cfffffffff,1.0,0.0,0.0
839c9dfffffffff,21.0,0.0,0.0
839caafffffffff,3.0,0.0,0.0
839caefffffffff,19.0,0.0,1.0
839cd2fffffffff,8.0,0.0,0.0
839cd3fffffffff,24.0,0.0,0.0
839d9bfffffffff,1.0,0.0,0.0
