cell_id,Cinclodes antarcticus,Cinclodes antarcticus maculirostris,Cinclodes antarcticus antarcticus
84cf151ffffffff,1.0,0.0,0.0
84de629ffffffff,40.0,0.0,7.0
84de62dffffffff,212.0,0.0,51.0
84de661ffffffff,8.0,0.0,2.0
84de665ffffffff,50.0,0.0,2.0
84de667ffffffff,5.0,0.0,0.0
84de701ffffffff,6.0,0.0,0.0
84de707ffffffff,57.0,0.0,12.0
84de709ffffffff,14.0,0.0,1.0
84de70bffffffff,1.0,0.0,0.0
84de719ffffffff,1.0,0.0,0.0
84de71dffffffff,1.0,0.0,0.0
84de743ffffffff,113.0,0.0,42.0
84de74bffffffff,2.0,0.0,0.0
84de74dffffffff,1.0,0.0,0.0
84de753ffffffff,17.0,0.0,4.0
84de757ffffffff,1.0,0.0,0.0
84de75bffffffff,1.0,0.0,0.0
84df423ffffffff,6.0,0.0,0.0
84df427ffffffff,4.0,0.0,0.0
84df44dffffffff,7.0,0.0,0.0
84df451ffffffff,163.0,13.0,0.0
84df455ffffffff,5.0,0.0,0.0
84df459ffffffff,6.0,0.0,0.0
84df5b3ffffffff,10.0,0.0,0.0
84df6e9ffffffff,2.0,0.0,0.0
84df6ebffffffff,1.0,0.0,0.0
