cell_id,Plectropterus gambensis,Plectropterus gambensis gambensis,Plectropterus gambensis niger
825287fffffffff,2.0,0.0,0.0
825297fffffffff,20.0,3.0,0.0
825417fffffffff,154.0,58.0,0.0
82541ffffffffff,214.0,20.0,0.0
82544ffffffffff,2.0,0.0,0.0
8254affffffffff,18.0,2.0,0.0
8254e7fffffffff,56.0,4.0,0.0
8254f7fffffffff,52.0,1.0,0.0
82585ffffffffff,10.0,0.0,0.0
8258a7fffffffff,8.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
8258dffffffffff,1.0,0.0,0.0
82599ffffffffff,16.0,1.0,0.0
826a47fffffffff,2.0,0.0,0.0
826a4ffffffffff,3.0,0.0,0.0
826a57fffffffff,2.0,0.0,0.0
826a5ffffffffff,3.0,0.0,0.0
826ac7fffffffff,25.0,6.0,0.0
826acffffffffff,233.0,22.0,0.0
826adffffffffff,260.0,3.0,0.0
826aeffffffffff,211.0,37.0,0.0
826b17fffffffff,8.0,0.0,0.0
826b4ffffffffff,2.0,0.0,0.0
82750ffffffffff,6.0,0.0,0.0
827527fffffffff,85.0,11.0,0.0
827587fffffffff,4.0,0.0,0.0
827a47fffffffff,25.0,0.0,0.0
827a4ffffffffff,15.0,1.0,0.0
827a67fffffffff,175.0,2.0,0.0
827a6ffffffffff,199.0,0.0,0.0
827acffffffffff,379.0,71.0,0.0
827aeffffffffff,1.0,0.0,0.0
827b4ffffffffff,1.0,0.0,0.0
827b5ffffffffff,15.0,0.0,0.0
827b6ffffffffff,12.0,0.0,0.0
8282b7fffffffff,1.0,0.0,0.0
828317fffffffff,4.0,1.0,0.0
82831ffffffffff,3.0,0.0,0.0
829607fffffffff,70.0,19.0,0.0
82960ffffffffff,14.0,0.0,0.0
829617fffffffff,10.0,0.0,0.0
82961ffffffffff,5.0,2.0,0.0
829627fffffffff,124.0,20.0,3.0
82962ffffffffff,151.0,7.0,0.0
829637fffffffff,115.0,31.0,0.0
829677fffffffff,29.0,0.0,0.0
829687fffffffff,9.0,0.0,0.0
82968ffffffffff,4.0,0.0,0.0
829697fffffffff,650.0,40.0,0.0
82969ffffffffff,15.0,0.0,0.0
8296a7fffffffff,2.0,0.0,0.0
8296affffffffff,7.0,0.0,0.0
8296b7fffffffff,23.0,0.0,0.0
829707fffffffff,17.0,0.0,0.0
82970ffffffffff,11.0,0.0,0.0
829717fffffffff,310.0,0.0,0.0
82971ffffffffff,11.0,0.0,0.0
829727fffffffff,11.0,0.0,2.0
82972ffffffffff,142.0,0.0,34.0
829737fffffffff,14.0,0.0,0.0
829747fffffffff,569.0,0.0,9.0
82974ffffffffff,832.0,0.0,172.0
829757fffffffff,347.0,9.0,16.0
82975ffffffffff,680.0,3.0,35.0
82978ffffffffff,2.0,0.0,0.0
8297affffffffff,87.0,7.0,0.0
82ac97fffffffff,9.0,0.0,0.0
82aca7fffffffff,5.0,0.0,0.0
82ad17fffffffff,2.0,0.0,0.0
82ad37fffffffff,1185.0,0.0,295.0
82ada7fffffffff,14.0,0.0,3.0
82adaffffffffff,11.0,0.0,2.0
82adb7fffffffff,2.0,0.0,1.0
82bc0ffffffffff,6.0,0.0,2.0
82bc1ffffffffff,74.0,0.0,14.0
82bc47fffffffff,77.0,0.0,20.0
82bc4ffffffffff,149.0,0.0,34.0
82bc57fffffffff,18.0,0.0,2.0
82bc5ffffffffff,1.0,0.0,0.0
82bc6ffffffffff,696.0,0.0,116.0
82bc77fffffffff,39.0,0.0,2.0
82bc8ffffffffff,252.0,0.0,33.0
82bc9ffffffffff,5.0,0.0,0.0
82bcc7fffffffff,640.0,0.0,106.0
82bccffffffffff,37.0,0.0,2.0
82bcd7fffffffff,480.0,0.0,70.0
82bcdffffffffff,410.0,0.0,72.0
82bce7fffffffff,682.0,0.0,237.0
82bceffffffffff,57.0,0.0,8.0
82bcf7fffffffff,1666.0,0.0,358.0
