cell_id,Rhea pennata,Rhea pennata tarapacensis/garleppi,Rhea pennata pennata
83b208fffffffff,10.0,0.0,0.0
83b209fffffffff,7.0,0.0,0.0
83b20afffffffff,2.0,0.0,0.0
83b20cfffffffff,3.0,0.0,0.0
83b20efffffffff,1.0,0.0,0.0
83b228fffffffff,2.0,0.0,0.0
83b229fffffffff,1.0,0.0,0.0
83b2c8fffffffff,11.0,0.0,0.0
83b2ccfffffffff,5.0,0.0,0.0
83b2cdfffffffff,4.0,0.0,0.0
83b2e1fffffffff,6.0,0.0,0.0
83b2eafffffffff,2.0,0.0,0.0
83b2ebfffffffff,3.0,0.0,0.0
83b2eefffffffff,12.0,0.0,0.0
83b301fffffffff,18.0,10.0,0.0
83b304fffffffff,7.0,5.0,0.0
83b305fffffffff,421.0,245.0,0.0
83b308fffffffff,10.0,2.0,0.0
83b309fffffffff,10.0,0.0,0.0
83b30bfffffffff,41.0,30.0,0.0
83b30cfffffffff,36.0,19.0,0.0
83b30dfffffffff,9.0,3.0,0.0
83b30efffffffff,5.0,2.0,0.0
83b322fffffffff,2.0,0.0,0.0
83b323fffffffff,37.0,20.0,0.0
83b326fffffffff,3.0,0.0,0.0
83b328fffffffff,1.0,0.0,0.0
83b32afffffffff,21.0,4.0,0.0
83b32efffffffff,2.0,0.0,0.0
83b352fffffffff,23.0,9.0,0.0
83b353fffffffff,12.0,0.0,0.0
83b354fffffffff,158.0,29.0,0.0
83b355fffffffff,5.0,4.0,0.0
83b356fffffffff,28.0,13.0,0.0
83b373fffffffff,35.0,0.0,0.0
83b376fffffffff,1.0,0.0,0.0
83c301fffffffff,43.0,0.0,0.0
83c305fffffffff,44.0,0.0,0.0
83c308fffffffff,3.0,0.0,0.0
83c30cfffffffff,4.0,0.0,0.0
83c320fffffffff,131.0,0.0,0.0
83c321fffffffff,30.0,0.0,0.0
83c324fffffffff,102.0,0.0,0.0
83c325fffffffff,64.0,0.0,0.0
83c329fffffffff,1.0,0.0,0.0
83c32afffffffff,101.0,0.0,0.0
83c32efffffffff,41.0,0.0,0.0
83c374fffffffff,2.0,0.0,0.0
83ce80fffffffff,50.0,0.0,0.0
83ce82fffffffff,23.0,0.0,0.0
83ce83fffffffff,44.0,0.0,0.0
83ce84fffffffff,11.0,0.0,0.0
83ce86fffffffff,12.0,0.0,0.0
83ce90fffffffff,1.0,0.0,0.0
83ce91fffffffff,6.0,0.0,0.0
83ce93fffffffff,3.0,0.0,0.0
83ce95fffffffff,26.0,0.0,0.0
83ce96fffffffff,2.0,0.0,0.0
83ce98fffffffff,108.0,0.0,0.0
83ce9bfffffffff,6.0,0.0,0.0
83ce9cfffffffff,77.0,0.0,0.0
83ce9efffffffff,19.0,0.0,0.0
83cea0fffffffff,8.0,0.0,0.0
83cea2fffffffff,32.0,0.0,0.0
83cea3fffffffff,7.0,0.0,0.0
83cea4fffffffff,5.0,0.0,2.0
83cea6fffffffff,11.0,0.0,0.0
83ceb1fffffffff,1.0,0.0,0.0
83ceb2fffffffff,1.0,0.0,0.0
83ceb3fffffffff,7.0,0.0,0.0
83ceb4fffffffff,2.0,0.0,0.0
83cf12fffffffff,487.0,0.0,228.0
83cf13fffffffff,7.0,0.0,0.0
83cf16fffffffff,173.0,0.0,43.0
83cf81fffffffff,19.0,0.0,0.0
83cf82fffffffff,23.0,0.0,0.0
83cf83fffffffff,4.0,0.0,0.0
83cf85fffffffff,83.0,0.0,12.0
83cf86fffffffff,6.0,0.0,2.0
83cf8afffffffff,50.0,0.0,22.0
83cf8bfffffffff,3.0,0.0,3.0
83cf8cfffffffff,255.0,0.0,30.0
83cf8efffffffff,230.0,0.0,56.0
83cf90fffffffff,22.0,0.0,2.0
83cf91fffffffff,4.0,0.0,0.0
83cf94fffffffff,34.0,0.0,2.0
83cf95fffffffff,27.0,0.0,0.0
83cf98fffffffff,40.0,0.0,0.0
83cf99fffffffff,7.0,0.0,0.0
83cf9afffffffff,2.0,0.0,0.0
83cf9cfffffffff,3.0,0.0,0.0
83cf9efffffffff,18.0,0.0,0.0
83cfa0fffffffff,218.0,0.0,9.0
83cfa1fffffffff,45.0,0.0,21.0
83cfa2fffffffff,136.0,0.0,4.0
83cfa3fffffffff,20.0,0.0,8.0
83cfa4fffffffff,655.0,0.0,327.0
83cfa5fffffffff,129.0,0.0,24.0
83cfa8fffffffff,25.0,0.0,5.0
83cfaafffffffff,74.0,0.0,15.0
83cfacfffffffff,150.0,0.0,27.0
83cfaefffffffff,67.0,0.0,12.0
83cfb1fffffffff,22.0,0.0,2.0
83cfb3fffffffff,2.0,0.0,0.0
83df4dfffffffff,19.0,0.0,5.0
83df69fffffffff,1189.0,0.0,821.0
83df6bfffffffff,6.0,0.0,2.0
83df6dfffffffff,8.0,0.0,5.0
