cell_id,Geokichla citrina,Geokichla citrina [citrina Group],Geokichla citrina cyanota,Geokichla citrina albogularis/andamanensis,Geokichla citrina [aurimacula Group]
84309bbffffffff,2.0,0.0,0.0,0.0,0.0
843c029ffffffff,6.0,0.0,0.0,0.0,0.0
843c02dffffffff,5.0,0.0,0.0,0.0,0.0
843c155ffffffff,2.0,0.0,0.0,0.0,0.0
843c159ffffffff,8.0,8.0,0.0,0.0,0.0
843c15bffffffff,2.0,0.0,0.0,0.0,0.0
843c1a3ffffffff,3.0,0.0,0.0,0.0,0.0
843c1b5ffffffff,9.0,0.0,0.0,0.0,0.0
843c1b9ffffffff,7.0,0.0,0.0,0.0,0.0
843c1c3ffffffff,5.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,4.0,0.0,0.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0,0.0,0.0
843c581ffffffff,3.0,0.0,0.0,0.0,0.0
843c587ffffffff,3.0,0.0,0.0,0.0,0.0
843c885ffffffff,2.0,2.0,0.0,0.0,0.0
843c8c7ffffffff,7.0,0.0,3.0,0.0,0.0
843c8dbffffffff,5.0,0.0,0.0,0.0,0.0
843c8ddffffffff,2.0,0.0,0.0,0.0,0.0
843c8e5ffffffff,5.0,0.0,0.0,0.0,0.0
843c967ffffffff,3.0,3.0,0.0,0.0,0.0
843cab9ffffffff,1.0,0.0,0.0,0.0,0.0
843cb65ffffffff,1.0,0.0,1.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0,0.0,0.0
843cf05ffffffff,10.0,0.0,0.0,0.0,0.0
843cf29ffffffff,8.0,0.0,0.0,0.0,0.0
843cf2dffffffff,35.0,5.0,0.0,0.0,0.0
843cf69ffffffff,3.0,0.0,0.0,0.0,0.0
843d101ffffffff,1.0,0.0,0.0,0.0,0.0
843d107ffffffff,79.0,0.0,0.0,0.0,0.0
843d139ffffffff,6.0,0.0,0.0,0.0,0.0
843d13dffffffff,2.0,0.0,0.0,0.0,0.0
843d1edffffffff,3.0,0.0,0.0,0.0,0.0
843d305ffffffff,1.0,0.0,0.0,0.0,0.0
843d30dffffffff,2.0,0.0,0.0,0.0,0.0
843d335ffffffff,1.0,0.0,0.0,0.0,0.0
843d345ffffffff,1.0,0.0,0.0,0.0,0.0
843d363ffffffff,29.0,0.0,0.0,0.0,0.0
843d845ffffffff,4.0,0.0,0.0,0.0,0.0
843d853ffffffff,6.0,3.0,0.0,0.0,0.0
843d859ffffffff,2.0,0.0,0.0,0.0,0.0
843d8c3ffffffff,5.0,0.0,0.0,0.0,0.0
843d8d5ffffffff,10.0,3.0,0.0,0.0,0.0
843d8ddffffffff,28.0,0.0,0.0,0.0,0.0
843d9edffffffff,2.0,0.0,0.0,0.0,0.0
843da11ffffffff,17.0,0.0,0.0,0.0,0.0
843da1dffffffff,3.0,1.0,0.0,0.0,0.0
843da37ffffffff,27.0,0.0,0.0,0.0,0.0
843da9dffffffff,2.0,0.0,0.0,0.0,0.0
843dad1ffffffff,23.0,2.0,0.0,0.0,0.0
843daddffffffff,3.0,0.0,0.0,0.0,0.0
843db2dffffffff,4.0,0.0,0.0,0.0,0.0
843db65ffffffff,8.0,0.0,0.0,0.0,0.0
8440457ffffffff,2.0,0.0,0.0,0.0,2.0
84416d5ffffffff,3.0,0.0,0.0,0.0,3.0
8441719ffffffff,3.0,0.0,0.0,0.0,3.0
84424d7ffffffff,2.0,0.0,0.0,0.0,0.0
8442c27ffffffff,4.0,0.0,0.0,0.0,0.0
8442c31ffffffff,15.0,0.0,7.0,0.0,0.0
8442ca1ffffffff,3.0,0.0,0.0,0.0,0.0
8442cabffffffff,9.0,0.0,0.0,0.0,0.0
8442cd1ffffffff,3.0,0.0,0.0,0.0,0.0
8442cdbffffffff,3.0,0.0,0.0,0.0,0.0
8442d89ffffffff,3.0,0.0,0.0,0.0,0.0
8442d97ffffffff,7.0,0.0,0.0,0.0,0.0
8442dbbffffffff,2.0,0.0,0.0,0.0,0.0
844b26dffffffff,2.0,0.0,0.0,0.0,0.0
844ba1dffffffff,15.0,0.0,0.0,0.0,0.0
844ba57ffffffff,1.0,0.0,0.0,0.0,0.0
844bb11ffffffff,19.0,0.0,0.0,0.0,0.0
