cell_id,Myiornis auricularis,Myiornis auricularis [undescribed form]
828107fffffffff,9.0,0.0
828117fffffffff,28.0,0.0
828127fffffffff,2.0,0.0
828137fffffffff,173.0,0.0
828187fffffffff,48.0,3.0
82a597fffffffff,194.0,0.0
82a807fffffffff,697.0,0.0
82a80ffffffffff,13.0,0.0
82a817fffffffff,2146.0,0.0
82a81ffffffffff,373.0,0.0
82a827fffffffff,55.0,0.0
82a82ffffffffff,46.0,0.0
82a837fffffffff,604.0,0.0
82a847fffffffff,3.0,0.0
82a867fffffffff,2.0,0.0
82a877fffffffff,2.0,0.0
82a887fffffffff,234.0,0.0
82a88ffffffffff,18.0,0.0
82a897fffffffff,303.0,0.0
82a89ffffffffff,6.0,0.0
82a8a7fffffffff,812.0,0.0
82a8affffffffff,123.0,0.0
82a8b7fffffffff,18.0,0.0
82a8f7fffffffff,7.0,0.0
82a90ffffffffff,2.0,0.0
82a91ffffffffff,136.0,0.0
82a947fffffffff,429.0,0.0
82a957fffffffff,2036.0,0.0
82a95ffffffffff,129.0,0.0
82a977fffffffff,55.0,0.0
