cell_id,Sheppardia poensis,Sheppardia poensis granti,Sheppardia poensis poensis,Sheppardia poensis [kungwensis Group]
8258d7fffffffff,46.0,44.0,0.0,0.0
8258dffffffffff,4.0,0.0,0.0,0.0
8282d7fffffffff,89.0,4.0,37.0,0.0
