cell_id,Penelope superciliaris,Penelope superciliaris pseudonyma,Penelope superciliaris [superciliaris Group]
838000fffffffff,1.0,0.0,0.0
838004fffffffff,1.0,0.0,0.0
838005fffffffff,1.0,0.0,0.0
838006fffffffff,2.0,0.0,0.0
838010fffffffff,27.0,0.0,0.0
838011fffffffff,2.0,0.0,0.0
838030fffffffff,14.0,0.0,0.0
838065fffffffff,2.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838075fffffffff,3.0,0.0,0.0
838100fffffffff,5.0,0.0,0.0
838102fffffffff,14.0,0.0,0.0
838106fffffffff,2.0,0.0,0.0
838109fffffffff,12.0,0.0,0.0
83810afffffffff,2.0,0.0,0.0
838110fffffffff,2.0,0.0,0.0
838114fffffffff,2.0,0.0,0.0
838116fffffffff,4.0,0.0,0.0
838119fffffffff,4.0,0.0,0.0
83811cfffffffff,2.0,0.0,0.0
838121fffffffff,3.0,0.0,0.0
838124fffffffff,7.0,0.0,0.0
83812cfffffffff,1.0,0.0,0.0
838132fffffffff,1.0,0.0,0.0
838133fffffffff,5.0,0.0,0.0
838136fffffffff,22.0,0.0,0.0
838140fffffffff,12.0,0.0,0.0
838143fffffffff,3.0,0.0,0.0
838144fffffffff,10.0,0.0,0.0
838145fffffffff,19.0,0.0,0.0
838146fffffffff,5.0,0.0,0.0
83814afffffffff,44.0,0.0,0.0
83814cfffffffff,2.0,0.0,0.0
83814dfffffffff,20.0,0.0,0.0
83814efffffffff,22.0,0.0,0.0
838150fffffffff,2.0,0.0,0.0
838151fffffffff,3.0,0.0,0.0
838154fffffffff,1.0,0.0,0.0
83815afffffffff,1.0,0.0,0.0
83815cfffffffff,2.0,0.0,0.0
83815dfffffffff,13.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838162fffffffff,8.0,0.0,0.0
838163fffffffff,17.0,0.0,0.0
838170fffffffff,2.0,0.0,0.0
838171fffffffff,53.0,0.0,0.0
838172fffffffff,4.0,0.0,0.0
838173fffffffff,2.0,0.0,0.0
838180fffffffff,4.0,0.0,0.0
838181fffffffff,28.0,0.0,0.0
838183fffffffff,2.0,0.0,0.0
838185fffffffff,8.0,0.0,0.0
83818bfffffffff,2.0,0.0,0.0
83819dfffffffff,4.0,0.0,0.0
838a31fffffffff,5.0,0.0,0.0
838a9cfffffffff,4.0,0.0,0.0
838b10fffffffff,2.0,0.0,0.0
838b11fffffffff,4.0,0.0,0.0
838b12fffffffff,1.0,0.0,0.0
838b1cfffffffff,3.0,0.0,0.0
838b36fffffffff,2.0,0.0,0.0
838b82fffffffff,1.0,0.0,0.0
838b84fffffffff,4.0,0.0,0.0
838b96fffffffff,7.0,0.0,0.0
838b99fffffffff,16.0,0.0,0.0
838b9dfffffffff,1.0,0.0,0.0
838ba0fffffffff,9.0,0.0,0.0
838ba4fffffffff,8.0,0.0,0.0
838ba6fffffffff,14.0,0.0,0.0
838baefffffffff,1.0,0.0,0.0
838bb5fffffffff,88.0,0.0,0.0
83a596fffffffff,69.0,0.0,0.0
83a801fffffffff,29.0,0.0,0.0
83a802fffffffff,3.0,0.0,0.0
83a803fffffffff,2.0,0.0,0.0
83a806fffffffff,4.0,0.0,0.0
83a80bfffffffff,1.0,0.0,0.0
83a80cfffffffff,12.0,0.0,0.0
83a80efffffffff,3.0,0.0,0.0
83a810fffffffff,116.0,0.0,0.0
83a811fffffffff,1.0,0.0,0.0
83a812fffffffff,11.0,0.0,0.0
83a813fffffffff,5.0,0.0,0.0
83a814fffffffff,3.0,0.0,0.0
83a815fffffffff,2.0,0.0,0.0
83a818fffffffff,14.0,0.0,0.0
83a819fffffffff,10.0,0.0,0.0
83a81afffffffff,1.0,0.0,0.0
83a81bfffffffff,9.0,0.0,0.0
83a81cfffffffff,104.0,0.0,0.0
83a81dfffffffff,16.0,0.0,0.0
83a81efffffffff,37.0,0.0,0.0
83a828fffffffff,5.0,0.0,0.0
83a82afffffffff,6.0,0.0,0.0
83a82cfffffffff,5.0,0.0,0.0
83a82dfffffffff,6.0,0.0,0.0
83a831fffffffff,2.0,0.0,0.0
83a835fffffffff,4.0,0.0,0.0
83a844fffffffff,17.0,0.0,0.0
83a846fffffffff,6.0,0.0,0.0
83a853fffffffff,4.0,0.0,0.0
83a855fffffffff,9.0,0.0,0.0
83a859fffffffff,68.0,0.0,0.0
83a85bfffffffff,5.0,0.0,0.0
83a85dfffffffff,22.0,0.0,0.0
83a860fffffffff,2.0,0.0,0.0
83a862fffffffff,6.0,0.0,0.0
83a871fffffffff,5.0,0.0,0.0
83a880fffffffff,2.0,0.0,0.0
83a881fffffffff,18.0,0.0,0.0
83a882fffffffff,3.0,0.0,0.0
83a884fffffffff,2.0,0.0,0.0
83a886fffffffff,2.0,0.0,0.0
83a88afffffffff,2.0,0.0,0.0
83a88cfffffffff,6.0,0.0,0.0
83a88dfffffffff,4.0,0.0,0.0
83a891fffffffff,65.0,0.0,0.0
83a895fffffffff,20.0,0.0,0.0
83a89dfffffffff,2.0,0.0,0.0
83a8a0fffffffff,320.0,0.0,0.0
83a8a1fffffffff,27.0,0.0,0.0
83a8a2fffffffff,80.0,0.0,0.0
83a8a3fffffffff,7.0,0.0,0.0
83a8a5fffffffff,2.0,0.0,0.0
83a8a8fffffffff,3.0,0.0,0.0
83a8a9fffffffff,26.0,0.0,0.0
83a8adfffffffff,5.0,0.0,0.0
83a8b1fffffffff,4.0,0.0,0.0
83a8c0fffffffff,3.0,0.0,0.0
83a8c2fffffffff,13.0,0.0,0.0
83a8c6fffffffff,4.0,0.0,0.0
83a8c9fffffffff,7.0,0.0,0.0
83a8cafffffffff,1.0,0.0,0.0
83a8cefffffffff,1.0,0.0,0.0
83a8d1fffffffff,2.0,0.0,0.0
83a8d3fffffffff,17.0,0.0,0.0
83a8d4fffffffff,4.0,0.0,0.0
83a8d9fffffffff,1.0,0.0,0.0
83a8defffffffff,19.0,0.0,0.0
83a8ecfffffffff,6.0,0.0,0.0
83a8f0fffffffff,2.0,0.0,0.0
83a8f4fffffffff,3.0,0.0,0.0
83a8f5fffffffff,3.0,0.0,0.0
83a8f6fffffffff,1.0,0.0,0.0
83a919fffffffff,10.0,0.0,0.0
83a91bfffffffff,2.0,0.0,0.0
83a91dfffffffff,2.0,0.0,0.0
83a942fffffffff,29.0,0.0,0.0
83a943fffffffff,23.0,0.0,0.0
83a945fffffffff,3.0,0.0,0.0
83a946fffffffff,11.0,0.0,0.0
83a950fffffffff,43.0,0.0,0.0
83a951fffffffff,16.0,0.0,0.0
83a953fffffffff,552.0,0.0,0.0
83a954fffffffff,3.0,0.0,0.0
83a955fffffffff,46.0,0.0,0.0
83a95afffffffff,25.0,0.0,0.0
83a95cfffffffff,20.0,0.0,0.0
83a95efffffffff,13.0,0.0,0.0
