cell_id,Zosterops senegalensis,Zosterops senegalensis senegalensis/demeryi,Zosterops senegalensis jacksoni/gerhardi
84541a3ffffffff,1.0,1.0,0.0
8454c4bffffffff,2.0,0.0,0.0
8454e13ffffffff,4.0,0.0,0.0
8454ea9ffffffff,1.0,0.0,0.0
8454ec5ffffffff,2.0,0.0,0.0
846ac5bffffffff,2.0,2.0,0.0
846aee5ffffffff,1.0,1.0,0.0
847a41dffffffff,1.0,0.0,0.0
847a457ffffffff,3.0,0.0,0.0
847a45bffffffff,2.0,0.0,0.0
847a481ffffffff,1.0,0.0,0.0
847a4c5ffffffff,1.0,0.0,0.0
847a4cbffffffff,5.0,0.0,0.0
847a4ddffffffff,3.0,0.0,0.0
847a5c1ffffffff,1.0,0.0,0.0
847a681ffffffff,1.0,0.0,0.0
847a683ffffffff,3.0,0.0,0.0
847a6adffffffff,6.0,0.0,0.0
847a6e5ffffffff,6.0,0.0,0.0
