cell_id,Pipile cujubi,Pipile cujubi nattereri,Pipile cujubi cujubi
838061fffffffff,2.0,0.0,0.0
838065fffffffff,12.0,0.0,0.0
838074fffffffff,4.0,0.0,0.0
838075fffffffff,1.0,0.0,0.0
838142fffffffff,2.0,0.0,0.0
838143fffffffff,4.0,0.0,0.0
83814afffffffff,44.0,0.0,0.0
83814dfffffffff,14.0,0.0,0.0
83814efffffffff,4.0,0.0,0.0
83815dfffffffff,8.0,0.0,0.0
838163fffffffff,15.0,0.0,0.0
838a10fffffffff,10.0,0.0,0.0
838a12fffffffff,3.0,0.0,0.0
838a15fffffffff,7.0,0.0,0.0
838a2efffffffff,1.0,1.0,0.0
838a33fffffffff,9.0,0.0,0.0
838a80fffffffff,3.0,0.0,0.0
838a82fffffffff,2.0,0.0,0.0
838a92fffffffff,6.0,0.0,0.0
838aa8fffffffff,17.0,0.0,0.0
838aaafffffffff,21.0,0.0,0.0
838aabfffffffff,3.0,0.0,0.0
838aacfffffffff,5.0,0.0,0.0
838b10fffffffff,13.0,0.0,0.0
838b13fffffffff,4.0,0.0,0.0
838b83fffffffff,1.0,0.0,0.0
838b84fffffffff,82.0,0.0,0.0
838b88fffffffff,80.0,2.0,0.0
838b8afffffffff,9.0,0.0,0.0
838b8dfffffffff,1.0,0.0,0.0
838b96fffffffff,3.0,0.0,0.0
838b98fffffffff,4.0,0.0,0.0
838b99fffffffff,123.0,0.0,0.0
838b9dfffffffff,917.0,10.0,13.0
838ba0fffffffff,2.0,0.0,0.0
838ba5fffffffff,2.0,0.0,0.0
838ba6fffffffff,1.0,0.0,0.0
838bacfffffffff,1.0,0.0,0.0
838badfffffffff,1.0,0.0,0.0
83a840fffffffff,6.0,0.0,0.0
83a842fffffffff,1.0,0.0,0.0
83a846fffffffff,6.0,0.0,0.0
83a84afffffffff,6.0,0.0,0.0
83a84efffffffff,2.0,0.0,0.0
83a859fffffffff,770.0,3.0,0.0
83a85bfffffffff,9.0,0.0,0.0
83a85dfffffffff,236.0,8.0,0.0
83a8c9fffffffff,7.0,0.0,0.0
