cell_id,Oenanthe pleschanka,Oenanthe pleschanka (vittata form)
84075d1ffffffff,1.0,0.0
8408b57ffffffff,2.0,0.0
84099e9ffffffff,1.0,0.0
8409a69ffffffff,3.0,0.0
840c143ffffffff,12.0,0.0
84182abffffffff,2.0,0.0
8418495ffffffff,2.0,0.0
8418745ffffffff,1.0,0.0
8419401ffffffff,2.0,0.0
841940dffffffff,2.0,0.0
8419415ffffffff,4.0,0.0
841941bffffffff,2.0,0.0
841946bffffffff,1.0,0.0
841946dffffffff,4.0,0.0
841948dffffffff,4.0,0.0
84194c5ffffffff,4.0,0.0
84194d9ffffffff,2.0,0.0
8419695ffffffff,2.0,0.0
84196ddffffffff,7.0,0.0
8419733ffffffff,5.0,0.0
841e02dffffffff,1.0,0.0
841e1d1ffffffff,6.0,0.0
841ec85ffffffff,1.0,0.0
841ec87ffffffff,1.0,0.0
841ec9bffffffff,1.0,0.0
841ee97ffffffff,2.0,0.0
841f33dffffffff,6.0,0.0
841fa41ffffffff,1.0,0.0
842099bffffffff,3.0,0.0
84209b7ffffffff,2.0,0.0
8420e3bffffffff,2.0,0.0
8420e45ffffffff,2.0,2.0
8424037ffffffff,1.0,1.0
84240adffffffff,1.0,0.0
84240cdffffffff,2.0,0.0
8424d23ffffffff,2.0,0.0
84255a7ffffffff,7.0,0.0
842c001ffffffff,2.0,0.0
842c00dffffffff,2.0,0.0
842c043ffffffff,1.0,0.0
842c4cdffffffff,2.0,0.0
842c511ffffffff,1.0,0.0
842c513ffffffff,62.0,0.0
842c51bffffffff,4.0,0.0
842c5e9ffffffff,3.0,0.0
842c5ebffffffff,1.0,0.0
842c903ffffffff,5.0,0.0
842c931ffffffff,2.0,0.0
842c935ffffffff,13.0,0.0
842c937ffffffff,6.0,0.0
842c93bffffffff,18.0,0.0
842d029ffffffff,1.0,0.0
842d03bffffffff,2.0,0.0
842d117ffffffff,1.0,0.0
842d125ffffffff,2.0,0.0
842d64dffffffff,8.0,0.0
842da17ffffffff,4.0,0.0
842da1bffffffff,2.0,0.0
842da5dffffffff,9.0,0.0
842da91ffffffff,1.0,0.0
842db67ffffffff,2.0,0.0
8430e25ffffffff,3.0,0.0
8431819ffffffff,2.0,0.0
8431aadffffffff,1.0,0.0
843c029ffffffff,10.0,0.0
843c581ffffffff,2.0,0.0
843cb15ffffffff,3.0,0.0
843d025ffffffff,3.0,0.0
843d22dffffffff,2.0,0.0
843dad1ffffffff,2.0,0.0
843e689ffffffff,15.0,0.0
843e6c3ffffffff,6.0,0.0
843e6c7ffffffff,2.0,0.0
843f661ffffffff,1.0,0.0
843f681ffffffff,8.0,0.0
843f68dffffffff,3.0,0.0
843f6e3ffffffff,8.0,0.0
843f767ffffffff,9.0,0.0
8441b43ffffffff,5.0,0.0
8442531ffffffff,2.0,0.0
8443107ffffffff,3.0,0.0
844313bffffffff,7.0,0.0
8443a03ffffffff,13.0,0.0
8443a17ffffffff,6.0,0.0
8443a39ffffffff,1.0,0.0
8443ac1ffffffff,2.0,0.0
8443ac3ffffffff,6.0,0.0
8443ae5ffffffff,1.0,0.0
844ba15ffffffff,3.0,0.0
8453451ffffffff,2.0,0.0
84534d5ffffffff,18.0,0.0
8453551ffffffff,1.0,0.0
8453645ffffffff,14.0,0.0
84536a3ffffffff,7.0,0.0
84536a9ffffffff,2.0,0.0
8460113ffffffff,24.0,0.0
846088dffffffff,1.0,0.0
8463321ffffffff,2.0,0.0
847a413ffffffff,1.0,0.0
847a455ffffffff,1.0,0.0
847a4ddffffffff,1.0,0.0
847a6e5ffffffff,1.0,0.0
847ae81ffffffff,2.0,0.0
847ae85ffffffff,2.0,0.0
847aea7ffffffff,2.0,0.0
8497515ffffffff,1.0,0.0
