cell_id,Colinus virginianus,Colinus virginianus [virginianus Group],Colinus virginianus graysoni/nigripectus,Colinus virginianus [pectoralis Group],Colinus virginianus [coyoleos Group]
831e12fffffffff,5.0,0.0,0.0,0.0,0.0
831ea1fffffffff,10.0,0.0,0.0,0.0,0.0
831f98fffffffff,4.0,0.0,0.0,0.0,0.0
832601fffffffff,21.0,1.0,0.0,0.0,0.0
832602fffffffff,14.0,0.0,0.0,0.0,0.0
832603fffffffff,83.0,6.0,0.0,0.0,0.0
832606fffffffff,1.0,0.0,0.0,0.0,0.0
832608fffffffff,30.0,0.0,0.0,0.0,0.0
832609fffffffff,229.0,0.0,0.0,0.0,0.0
83260afffffffff,541.0,1.0,0.0,0.0,0.0
83260bfffffffff,423.0,0.0,0.0,0.0,0.0
83260dfffffffff,13.0,0.0,0.0,0.0,0.0
83260efffffffff,48.0,4.0,0.0,0.0,0.0
832611fffffffff,43.0,0.0,0.0,0.0,0.0
832613fffffffff,4.0,0.0,0.0,0.0,0.0
832615fffffffff,2.0,0.0,0.0,0.0,0.0
832618fffffffff,298.0,0.0,0.0,0.0,0.0
832619fffffffff,107.0,0.0,0.0,0.0,0.0
83261afffffffff,32.0,0.0,0.0,0.0,0.0
83261bfffffffff,100.0,0.0,0.0,0.0,0.0
83261cfffffffff,24.0,0.0,0.0,0.0,0.0
83261dfffffffff,33.0,0.0,0.0,0.0,0.0
83261efffffffff,8.0,0.0,0.0,0.0,0.0
83262bfffffffff,1.0,0.0,0.0,0.0,0.0
832640fffffffff,188.0,0.0,0.0,0.0,0.0
832641fffffffff,249.0,0.0,0.0,0.0,0.0
832642fffffffff,485.0,0.0,0.0,0.0,0.0
832643fffffffff,412.0,0.0,0.0,0.0,0.0
832644fffffffff,25.0,0.0,0.0,0.0,0.0
832645fffffffff,234.0,0.0,0.0,0.0,0.0
832646fffffffff,1525.0,0.0,0.0,0.0,0.0
832648fffffffff,148.0,0.0,0.0,0.0,0.0
832649fffffffff,237.0,0.0,0.0,0.0,0.0
83264afffffffff,32.0,0.0,0.0,0.0,0.0
83264bfffffffff,108.0,0.0,0.0,0.0,0.0
83264cfffffffff,249.0,0.0,0.0,0.0,0.0
83264dfffffffff,422.0,0.0,0.0,0.0,0.0
83264efffffffff,179.0,0.0,0.0,0.0,0.0
832650fffffffff,413.0,0.0,0.0,0.0,0.0
832651fffffffff,192.0,0.0,0.0,0.0,0.0
832652fffffffff,1016.0,0.0,0.0,0.0,0.0
832653fffffffff,717.0,0.0,0.0,0.0,0.0
832654fffffffff,549.0,0.0,0.0,0.0,0.0
832655fffffffff,1347.0,0.0,0.0,0.0,0.0
832656fffffffff,660.0,0.0,0.0,0.0,0.0
832658fffffffff,36.0,0.0,0.0,0.0,0.0
832659fffffffff,292.0,0.0,0.0,0.0,0.0
83265afffffffff,95.0,0.0,0.0,0.0,0.0
83265bfffffffff,336.0,0.0,0.0,0.0,0.0
83265cfffffffff,93.0,0.0,0.0,0.0,0.0
83265dfffffffff,206.0,0.0,0.0,0.0,0.0
83265efffffffff,138.0,0.0,0.0,0.0,0.0
832660fffffffff,184.0,0.0,0.0,0.0,0.0
832661fffffffff,126.0,0.0,0.0,0.0,0.0
832662fffffffff,88.0,0.0,0.0,0.0,0.0
832663fffffffff,19.0,0.0,0.0,0.0,0.0
832664fffffffff,369.0,8.0,0.0,0.0,0.0
832665fffffffff,175.0,0.0,0.0,0.0,0.0
832666fffffffff,38.0,0.0,0.0,0.0,0.0
