cell_id,Otus sunia,Otus sunia [sunia Group],Otus sunia [japonicus Group],Otus sunia modestus
8430325ffffffff,2.0,0.0,0.0,0.0
84309b3ffffffff,2.0,0.0,0.0,0.0
84309d9ffffffff,2.0,0.0,0.0,0.0
843c159ffffffff,2.0,0.0,0.0,0.0
843c199ffffffff,1.0,0.0,0.0,0.0
843c1c3ffffffff,2.0,0.0,0.0,0.0
843c369ffffffff,2.0,0.0,0.0,0.0
843c885ffffffff,7.0,0.0,0.0,0.0
843c8cbffffffff,3.0,0.0,0.0,0.0
843c8e7ffffffff,2.0,0.0,0.0,0.0
843c909ffffffff,22.0,0.0,0.0,0.0
843c92dffffffff,2.0,0.0,0.0,0.0
843c943ffffffff,2.0,0.0,0.0,0.0
843c947ffffffff,7.0,0.0,0.0,0.0
843c967ffffffff,8.0,0.0,0.0,0.0
843ca33ffffffff,5.0,0.0,0.0,0.0
843ca3bffffffff,4.0,0.0,0.0,0.0
843ca8bffffffff,1.0,1.0,0.0,0.0
843cb45ffffffff,2.0,0.0,0.0,0.0
843cb5dffffffff,4.0,2.0,0.0,0.0
843cc41ffffffff,2.0,0.0,0.0,0.0
843cea1ffffffff,2.0,0.0,0.0,0.0
843cf11ffffffff,3.0,0.0,0.0,0.0
843cf6bffffffff,3.0,0.0,0.0,0.0
843d101ffffffff,6.0,0.0,0.0,0.0
843d13dffffffff,1.0,1.0,0.0,0.0
843d143ffffffff,6.0,0.0,0.0,0.0
843d305ffffffff,7.0,0.0,0.0,0.0
843d33dffffffff,2.0,0.0,0.0,0.0
843d845ffffffff,2.0,0.0,0.0,0.0
843d859ffffffff,2.0,0.0,0.0,0.0
843d8d5ffffffff,4.0,4.0,0.0,0.0
843d9d1ffffffff,5.0,0.0,0.0,0.0
843d9dbffffffff,7.0,0.0,0.0,0.0
843da11ffffffff,11.0,1.0,0.0,0.0
843da37ffffffff,7.0,0.0,0.0,0.0
843db67ffffffff,2.0,0.0,0.0,0.0
8440413ffffffff,3.0,0.0,3.0,0.0
8440b53ffffffff,2.0,0.0,0.0,0.0
84411c9ffffffff,1.0,0.0,0.0,0.0
8441719ffffffff,4.0,0.0,0.0,0.0
8441a43ffffffff,1.0,0.0,0.0,0.0
8441a55ffffffff,7.0,0.0,0.0,0.0
8441b31ffffffff,5.0,0.0,1.0,0.0
