cell_id,Aegolius funereus,Aegolius funereus [funereus Group],Aegolius funereus richardsoni
830810fffffffff,2.0,0.0,0.0
830819fffffffff,1.0,0.0,0.0
83081efffffffff,1.0,0.0,0.0
830880fffffffff,8.0,6.0,0.0
830884fffffffff,8.0,0.0,0.0
83088bfffffffff,2.0,0.0,0.0
83089cfffffffff,2.0,0.0,0.0
83089dfffffffff,2.0,0.0,0.0
8308a3fffffffff,1.0,1.0,0.0
8308a4fffffffff,1.0,0.0,0.0
8308a5fffffffff,2.0,2.0,0.0
8308acfffffffff,1.0,0.0,0.0
8308c2fffffffff,4.0,2.0,0.0
8308c9fffffffff,4.0,0.0,0.0
8308cdfffffffff,2.0,0.0,0.0
8308d1fffffffff,27.0,8.0,0.0
8308d5fffffffff,5.0,0.0,0.0
8308d8fffffffff,11.0,0.0,0.0
8308ddfffffffff,2.0,0.0,0.0
8308e8fffffffff,1.0,0.0,0.0
8308edfffffffff,1.0,0.0,0.0
8308f0fffffffff,2.0,0.0,0.0
8308f2fffffffff,2.0,0.0,0.0
8308f4fffffffff,4.0,0.0,0.0
830991fffffffff,10.0,0.0,0.0
830999fffffffff,7.0,0.0,0.0
83099efffffffff,2.0,0.0,0.0
830a33fffffffff,7.0,0.0,0.0
830c21fffffffff,4.0,0.0,0.0
830c2dfffffffff,5.0,0.0,0.0
830c42fffffffff,4.0,0.0,0.0
830c46fffffffff,6.0,0.0,0.0
830c51fffffffff,14.0,0.0,0.0
830c55fffffffff,11.0,0.0,0.0
830c5afffffffff,32.0,0.0,0.0
830c62fffffffff,6.0,0.0,0.0
830c63fffffffff,3.0,0.0,0.0
830c64fffffffff,5.0,0.0,0.0
830c66fffffffff,2.0,0.0,0.0
830c70fffffffff,11.0,0.0,0.0
830c71fffffffff,32.0,0.0,0.0
830c73fffffffff,69.0,0.0,0.0
830c74fffffffff,10.0,0.0,0.0
830c75fffffffff,1.0,0.0,0.0
830c76fffffffff,3.0,0.0,0.0
830d4dfffffffff,1.0,0.0,0.0
830d53fffffffff,1.0,0.0,0.0
830d58fffffffff,4.0,0.0,0.0
830d5afffffffff,120.0,0.0,0.0
830d5efffffffff,11.0,0.0,0.0
830e49fffffffff,18.0,0.0,0.0
830e4cfffffffff,5.0,0.0,0.0
830e4dfffffffff,12.0,0.0,0.0
830e5bfffffffff,12.0,0.0,0.0
830e63fffffffff,2.0,0.0,0.0
830e80fffffffff,8.0,0.0,0.0
830ec9fffffffff,8.0,0.0,0.0
830ed4fffffffff,1.0,0.0,0.0
830ed8fffffffff,1.0,0.0,0.0
830ed9fffffffff,1.0,0.0,0.0
8310eefffffffff,5.0,0.0,0.0
831123fffffffff,1.0,0.0,0.0
831126fffffffff,3.0,0.0,0.0
83112efffffffff,2.0,2.0,0.0
831214fffffffff,2.0,0.0,0.0
831218fffffffff,2.0,0.0,0.0
83121afffffffff,5.0,0.0,0.0
831229fffffffff,4.0,0.0,0.0
831243fffffffff,2.0,0.0,0.0
83124efffffffff,4.0,0.0,0.0
83125dfffffffff,12.0,0.0,0.0
83126efffffffff,1.0,0.0,0.0
