cell_id,Scleroptila gutturalis,Scleroptila gutturalis gutturalis/lorti,Scleroptila gutturalis jugularis,Scleroptila gutturalis levalliantoides
8452d33ffffffff,1.0,0.0,0.0,0.0
847ac8bffffffff,1.0,0.0,0.0,0.0
847acc5ffffffff,1.0,0.0,0.0,0.0
847ae95ffffffff,1.0,0.0,0.0,0.0
848304dffffffff,2.0,0.0,0.0,0.0
8483313ffffffff,2.0,0.0,0.0,0.0
8483361ffffffff,1.0,0.0,0.0,0.0
8497419ffffffff,1.0,0.0,0.0,0.0
8497437ffffffff,1.0,0.0,0.0,0.0
8497447ffffffff,1.0,0.0,0.0,0.0
8497459ffffffff,3.0,0.0,0.0,0.0
849746bffffffff,3.0,0.0,0.0,0.0
84974e9ffffffff,1.0,0.0,0.0,0.0
8497513ffffffff,2.0,0.0,0.0,0.0
84976e5ffffffff,1.0,0.0,0.0,0.0
8497733ffffffff,1.0,0.0,0.0,0.0
8497751ffffffff,1.0,0.0,0.0,0.0
84ac809ffffffff,2.0,0.0,0.0,0.0
84ac80bffffffff,1.0,0.0,0.0,0.0
84ac81bffffffff,5.0,0.0,0.0,0.0
84ac853ffffffff,1.0,0.0,0.0,0.0
84aca4bffffffff,14.0,0.0,0.0,0.0
84aca61ffffffff,28.0,0.0,0.0,0.0
84aca6bffffffff,21.0,0.0,0.0,0.0
84acae5ffffffff,1.0,0.0,0.0,0.0
84acb1bffffffff,2.0,0.0,0.0,0.0
84adb45ffffffff,1.0,0.0,0.0,1.0
84adb61ffffffff,1.0,0.0,0.0,0.0
84bcc03ffffffff,1.0,0.0,0.0,0.0
84bcc05ffffffff,4.0,0.0,0.0,0.0
84bcc07ffffffff,3.0,0.0,0.0,2.0
84bcc0bffffffff,2.0,0.0,0.0,0.0
84bcc13ffffffff,2.0,0.0,0.0,0.0
84bcc17ffffffff,4.0,0.0,0.0,2.0
84bcc21ffffffff,33.0,0.0,0.0,11.0
84bcc23ffffffff,4.0,0.0,0.0,0.0
84bcc27ffffffff,7.0,0.0,0.0,4.0
84bcc29ffffffff,23.0,0.0,0.0,4.0
84bcc2bffffffff,25.0,0.0,0.0,11.0
84bcc31ffffffff,1.0,0.0,0.0,0.0
84bcc33ffffffff,9.0,0.0,0.0,4.0
84bcc35ffffffff,8.0,0.0,0.0,2.0
84bcc3bffffffff,1.0,0.0,0.0,1.0
84bcc3dffffffff,90.0,0.0,0.0,17.0
84bcc57ffffffff,1.0,0.0,0.0,0.0
84bcc63ffffffff,1.0,0.0,0.0,0.0
84bcca5ffffffff,2.0,0.0,0.0,0.0
84bcca9ffffffff,3.0,0.0,0.0,2.0
84bccc7ffffffff,2.0,0.0,0.0,0.0
84bccd1ffffffff,1.0,0.0,0.0,0.0
84bccd7ffffffff,1.0,0.0,0.0,0.0
84bccdbffffffff,2.0,0.0,0.0,0.0
84bcce5ffffffff,1.0,0.0,0.0,1.0
84bccedffffffff,3.0,0.0,0.0,0.0
84bcd11ffffffff,1.0,0.0,0.0,0.0
84bcd13ffffffff,1.0,0.0,0.0,0.0
84bcd19ffffffff,1.0,0.0,0.0,0.0
84bcd53ffffffff,2.0,0.0,0.0,0.0
84bcdc9ffffffff,16.0,0.0,0.0,10.0
84bce13ffffffff,3.0,0.0,0.0,0.0
84bce83ffffffff,7.0,0.0,0.0,2.0
84bce85ffffffff,6.0,0.0,0.0,0.0
84bce89ffffffff,3.0,0.0,0.0,0.0
84bce99ffffffff,5.0,0.0,0.0,0.0
84bcebbffffffff,1.0,0.0,0.0,0.0
84bcec1ffffffff,2.0,0.0,0.0,0.0
84bcec9ffffffff,1.0,0.0,0.0,0.0
84bcecbffffffff,2.0,0.0,0.0,2.0
84bceebffffffff,2.0,0.0,0.0,0.0
