cell_id,Tunchiornis ochraceiceps,Tunchiornis ochraceiceps [ochraceiceps Group],Tunchiornis ochraceiceps ferrugineifrons/viridior,Tunchiornis ochraceiceps luteifrons,Tunchiornis ochraceiceps rubrifrons/lutescens
834501fffffffff,9.0,0.0,0.0,0.0,0.0
834505fffffffff,21.0,0.0,0.0,0.0,0.0
83450afffffffff,27.0,0.0,0.0,0.0,0.0
83450cfffffffff,13.0,0.0,0.0,0.0,0.0
83450efffffffff,227.0,0.0,0.0,0.0,0.0
834520fffffffff,277.0,0.0,0.0,0.0,0.0
834521fffffffff,412.0,0.0,0.0,0.0,0.0
834522fffffffff,332.0,0.0,0.0,0.0,0.0
834523fffffffff,654.0,0.0,0.0,0.0,0.0
834525fffffffff,37.0,0.0,0.0,0.0,0.0
834526fffffffff,66.0,0.0,0.0,0.0,0.0
834528fffffffff,510.0,0.0,0.0,0.0,0.0
834529fffffffff,2.0,0.0,0.0,0.0,0.0
83452afffffffff,738.0,0.0,0.0,0.0,0.0
83452bfffffffff,50.0,0.0,0.0,0.0,0.0
83452cfffffffff,285.0,17.0,0.0,0.0,0.0
83452dfffffffff,209.0,27.0,0.0,0.0,0.0
83452efffffffff,3642.0,35.0,0.0,0.0,0.0
834530fffffffff,49.0,0.0,0.0,0.0,0.0
834531fffffffff,64.0,0.0,0.0,0.0,0.0
834532fffffffff,17.0,0.0,0.0,0.0,0.0
834534fffffffff,3.0,0.0,0.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0,0.0,0.0
834536fffffffff,68.0,0.0,0.0,0.0,0.0
834564fffffffff,3.0,0.0,0.0,0.0,0.0
835f00fffffffff,2.0,0.0,0.0,0.0,0.0
835f01fffffffff,4.0,0.0,0.0,0.0,0.0
835f03fffffffff,53.0,0.0,0.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0,0.0,0.0
835f10fffffffff,6.0,0.0,0.0,5.0,0.0
835f13fffffffff,1.0,0.0,0.0,1.0,0.0
835f14fffffffff,11.0,0.0,0.0,3.0,0.0
835f15fffffffff,1.0,0.0,0.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0,0.0,0.0
835f2bfffffffff,47.0,0.0,0.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0,0.0,0.0
835f40fffffffff,4.0,0.0,0.0,0.0,0.0
835f42fffffffff,4.0,0.0,0.0,0.0,0.0
835f68fffffffff,11.0,0.0,0.0,0.0,0.0
835f71fffffffff,8.0,2.0,0.0,0.0,0.0
835f75fffffffff,11.0,0.0,0.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0,0.0,0.0
836612fffffffff,9.0,0.0,0.0,0.0,0.0
836613fffffffff,74.0,2.0,0.0,0.0,0.0
836616fffffffff,27.0,7.0,0.0,0.0,0.0
83661afffffffff,11.0,0.0,0.0,0.0,0.0
836641fffffffff,4.0,0.0,0.0,0.0,0.0
836648fffffffff,1.0,0.0,0.0,0.0,0.0
83664efffffffff,4.0,0.0,0.0,0.0,0.0
83665afffffffff,24.0,0.0,0.0,0.0,0.0
83665bfffffffff,3.0,0.0,0.0,0.0,0.0
83665efffffffff,2.0,0.0,0.0,0.0,0.0
83666bfffffffff,3.0,0.0,0.0,0.0,0.0
83666efffffffff,14.0,0.0,0.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0,0.0,0.0
8366a3fffffffff,1.0,0.0,0.0,0.0,0.0
8366a5fffffffff,113.0,11.0,0.0,0.0,0.0
8366b0fffffffff,1044.0,0.0,0.0,0.0,0.0
8366b1fffffffff,20.0,0.0,0.0,0.0,0.0
8366b4fffffffff,709.0,0.0,0.0,0.0,0.0
8366b5fffffffff,444.0,2.0,0.0,0.0,0.0
8366b6fffffffff,9.0,0.0,0.0,0.0,0.0
8366c2fffffffff,16.0,0.0,0.0,0.0,0.0
8366c3fffffffff,4.0,0.0,0.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0,0.0,0.0
8366cefffffffff,2.0,0.0,0.0,0.0,0.0
8366d0fffffffff,80.0,5.0,0.0,0.0,0.0
8366d1fffffffff,131.0,0.0,3.0,0.0,0.0
8366d2fffffffff,21.0,5.0,0.0,0.0,0.0
8366d3fffffffff,15.0,0.0,0.0,0.0,0.0
8366d8fffffffff,46.0,7.0,3.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0,0.0,0.0
8366dcfffffffff,57.0,0.0,0.0,0.0,0.0
8366ddfffffffff,10.0,0.0,4.0,0.0,0.0
8366defffffffff,21.0,2.0,0.0,0.0,0.0
8366e5fffffffff,5.0,0.0,0.0,0.0,0.0
8366e6fffffffff,1.0,0.0,0.0,0.0,0.0
8366f0fffffffff,25.0,0.0,0.0,0.0,0.0
836792fffffffff,4.0,0.0,0.0,0.0,0.0
836793fffffffff,3.0,0.0,0.0,0.0,0.0
836796fffffffff,90.0,0.0,0.0,0.0,0.0
83679afffffffff,42.0,0.0,0.0,0.0,0.0
83679bfffffffff,8.0,0.0,0.0,0.0,0.0
836d21fffffffff,13.0,0.0,0.0,0.0,0.0
836d22fffffffff,4.0,0.0,0.0,0.0,0.0
836d23fffffffff,24.0,4.0,0.0,0.0,0.0
836d2cfffffffff,247.0,70.0,0.0,0.0,0.0
836d2dfffffffff,144.0,0.0,0.0,0.0,0.0
836d30fffffffff,13.0,2.0,0.0,0.0,0.0
836d31fffffffff,22.0,0.0,0.0,0.0,0.0
836d34fffffffff,4.0,0.0,0.0,0.0,0.0
836d35fffffffff,28.0,0.0,0.0,0.0,0.0
836d65fffffffff,515.0,0.0,0.0,0.0,0.0
836d68fffffffff,519.0,0.0,0.0,0.0,0.0
836d69fffffffff,2649.0,0.0,0.0,0.0,0.0
836d6dfffffffff,20.0,0.0,0.0,0.0,0.0
838065fffffffff,4.0,0.0,0.0,0.0,0.0
838066fffffffff,5.0,0.0,0.0,0.0,0.0
83806bfffffffff,3.0,0.0,0.0,0.0,0.0
838075fffffffff,1.0,0.0,0.0,0.0,0.0
83814afffffffff,22.0,0.0,0.0,0.0,0.0
83814efffffffff,20.0,0.0,0.0,0.0,0.0
838159fffffffff,2.0,0.0,0.0,0.0,0.0
83815afffffffff,1.0,0.0,0.0,0.0,0.0
83815dfffffffff,3.0,0.0,0.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0,0.0,0.0
838a10fffffffff,21.0,0.0,0.0,0.0,0.0
838a15fffffffff,4.0,0.0,0.0,0.0,0.0
838a1afffffffff,4.0,0.0,0.0,0.0,0.0
838a21fffffffff,1.0,0.0,0.0,0.0,0.0
838a31fffffffff,7.0,0.0,0.0,0.0,0.0
838a33fffffffff,3.0,0.0,0.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0,0.0,0.0
838a63fffffffff,11.0,0.0,0.0,0.0,0.0
838a69fffffffff,12.0,0.0,0.0,0.0,0.0
838a6dfffffffff,11.0,0.0,0.0,0.0,0.0
838a6efffffffff,3.0,0.0,0.0,0.0,0.0
838a80fffffffff,6.0,0.0,0.0,0.0,0.0
838a81fffffffff,1.0,0.0,0.0,0.0,0.0
838a92fffffffff,3.0,0.0,0.0,0.0,0.0
838a9cfffffffff,15.0,0.0,0.0,0.0,0.0
838adbfffffffff,2.0,0.0,0.0,0.0,0.0
838af0fffffffff,8.0,0.0,0.0,0.0,0.0
838af1fffffffff,13.0,0.0,0.0,0.0,0.0
838af2fffffffff,42.0,0.0,0.0,0.0,0.0
838af4fffffffff,8.0,0.0,0.0,0.0,0.0
838af6fffffffff,283.0,0.0,0.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0,0.0,0.0
838b22fffffffff,3.0,0.0,0.0,0.0,0.0
838b23fffffffff,1.0,0.0,0.0,0.0,0.0
838b2cfffffffff,7.0,0.0,0.0,0.0,0.0
838b2efffffffff,2.0,0.0,0.0,0.0,0.0
838b40fffffffff,9.0,0.0,0.0,0.0,0.0
838b42fffffffff,2.0,0.0,0.0,0.0,0.0
838b44fffffffff,44.0,0.0,0.0,0.0,0.0
838b46fffffffff,9.0,0.0,0.0,0.0,0.0
838b4efffffffff,10.0,0.0,0.0,0.0,0.0
838b61fffffffff,14.0,0.0,0.0,0.0,0.0
838b62fffffffff,1.0,0.0,0.0,0.0,0.0
838b63fffffffff,67.0,0.0,0.0,0.0,0.0
838b68fffffffff,3.0,0.0,0.0,0.0,0.0
838b69fffffffff,7.0,0.0,0.0,0.0,0.0
838b6efffffffff,28.0,0.0,0.0,0.0,0.0
838b71fffffffff,13.0,0.0,0.0,0.0,0.0
838b74fffffffff,23.0,0.0,0.0,0.0,0.0
838b99fffffffff,11.0,0.0,0.0,0.0,0.0
838b9dfffffffff,77.0,0.0,0.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0,0.0,0.0
838e65fffffffff,1.0,0.0,0.0,0.0,0.0
838f40fffffffff,37.0,0.0,0.0,0.0,0.0
838f43fffffffff,5.0,0.0,0.0,0.0,0.0
838f46fffffffff,62.0,0.0,0.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0,0.0,0.0
838f4bfffffffff,3.0,0.0,0.0,0.0,0.0
838f5dfffffffff,1.0,0.0,0.0,0.0,0.0
838f65fffffffff,5.0,0.0,0.0,0.0,0.0
838f6bfffffffff,4.0,0.0,0.0,0.0,0.0
838f71fffffffff,5.0,0.0,0.0,0.0,0.0
838f72fffffffff,3.0,0.0,0.0,0.0,0.0
83a85dfffffffff,2.0,0.0,0.0,0.0,0.0
83b325fffffffff,2.0,0.0,0.0,0.0,0.0
