cell_id,Embernagra platensis,Embernagra platensis olivascens,Embernagra platensis platensis
848b203ffffffff,2.0,2.0,0.0
848b259ffffffff,5.0,5.0,0.0
84a8313ffffffff,4.0,0.0,4.0
84a8a13ffffffff,1.0,0.0,1.0
84a8a97ffffffff,1.0,0.0,1.0
84a92c5ffffffff,1.0,0.0,0.0
84a9521ffffffff,1.0,0.0,0.0
84a9611ffffffff,2.0,0.0,0.0
84a9613ffffffff,53.0,0.0,0.0
84a9617ffffffff,13.0,0.0,0.0
84a9619ffffffff,18.0,0.0,0.0
84a9653ffffffff,24.0,0.0,0.0
84a96c1ffffffff,2.0,0.0,0.0
84a96c5ffffffff,2.0,0.0,0.0
84a96c9ffffffff,2.0,0.0,0.0
84a96e9ffffffff,1.0,0.0,0.0
84b2413ffffffff,8.0,8.0,0.0
84b2417ffffffff,3.0,3.0,0.0
84b2453ffffffff,10.0,10.0,0.0
84b2463ffffffff,2.0,2.0,0.0
84b248bffffffff,37.0,0.0,0.0
84b2491ffffffff,2.0,0.0,0.0
84b2495ffffffff,2.0,0.0,0.0
84b2497ffffffff,4.0,0.0,0.0
84b2499ffffffff,7.0,0.0,0.0
84b249bffffffff,1.0,0.0,0.0
84b249dffffffff,64.0,0.0,0.0
84b24a7ffffffff,3.0,0.0,3.0
84b24b1ffffffff,2.0,0.0,2.0
84b24b3ffffffff,4.0,0.0,0.0
84b24b5ffffffff,1.0,0.0,1.0
84b24b9ffffffff,4.0,0.0,0.0
84b24d1ffffffff,112.0,0.0,0.0
84b24d3ffffffff,60.0,0.0,0.0
84b24d5ffffffff,5.0,0.0,0.0
84b24d7ffffffff,47.0,0.0,0.0
84b24d9ffffffff,3.0,0.0,0.0
84b24dbffffffff,113.0,0.0,0.0
84b2583ffffffff,8.0,8.0,0.0
84b2589ffffffff,1.0,1.0,0.0
84b2591ffffffff,10.0,10.0,0.0
84b2593ffffffff,2.0,2.0,0.0
84b2595ffffffff,2.0,2.0,0.0
84b2597ffffffff,3.0,3.0,0.0
84b2599ffffffff,2.0,2.0,0.0
84b25abffffffff,2.0,2.0,0.0
84b25b9ffffffff,15.0,15.0,0.0
84b25bbffffffff,2.0,2.0,0.0
84b25cdffffffff,8.0,8.0,0.0
84b2613ffffffff,5.0,0.0,0.0
84b261bffffffff,2.0,0.0,0.0
84b2681ffffffff,4.0,0.0,0.0
84b2687ffffffff,3.0,0.0,0.0
84b2689ffffffff,9.0,0.0,0.0
84b268bffffffff,23.0,0.0,0.0
84b268dffffffff,2.0,0.0,0.0
84b2691ffffffff,13.0,0.0,0.0
84b2693ffffffff,29.0,0.0,0.0
84b2695ffffffff,5.0,0.0,0.0
84b2697ffffffff,7.0,0.0,0.0
84b2699ffffffff,3.0,0.0,0.0
84b269bffffffff,9.0,0.0,0.0
84b269dffffffff,13.0,0.0,0.0
84b26a5ffffffff,11.0,11.0,0.0
84b26adffffffff,11.0,11.0,0.0
84b26b1ffffffff,11.0,0.0,0.0
84b26b3ffffffff,7.0,0.0,0.0
84b26b9ffffffff,14.0,0.0,0.0
84b26bdffffffff,7.0,0.0,0.0
84b26c3ffffffff,4.0,0.0,0.0
84b26c9ffffffff,2.0,0.0,0.0
84b26d1ffffffff,3.0,0.0,0.0
84b26d3ffffffff,2.0,0.0,0.0
84b26d7ffffffff,50.0,0.0,0.0
84b26ddffffffff,11.0,0.0,0.0
84b270bffffffff,4.0,4.0,0.0
84b2ec5ffffffff,2.0,2.0,0.0
84b3481ffffffff,2.0,0.0,0.0
84b34c7ffffffff,3.0,3.0,0.0
84b35abffffffff,4.0,0.0,0.0
84b35d1ffffffff,2.0,0.0,0.0
84c21b3ffffffff,2.0,0.0,0.0
84c21bbffffffff,3.0,0.0,3.0
84c2c53ffffffff,3.0,0.0,3.0
84c2c91ffffffff,31.0,0.0,0.0
84c2c93ffffffff,9.0,0.0,0.0
84c2c95ffffffff,2.0,0.0,0.0
84c2c97ffffffff,47.0,0.0,0.0
84c2c99ffffffff,86.0,0.0,0.0
84c2cbbffffffff,2.0,0.0,0.0
84c2cd3ffffffff,55.0,0.0,0.0
84c2ce1ffffffff,2.0,0.0,2.0
84c2d4bffffffff,2.0,0.0,0.0
84c2e95ffffffff,3.0,0.0,0.0
84c2e97ffffffff,4.0,0.0,0.0
84c2e99ffffffff,44.0,0.0,0.0
84c2e9dffffffff,2.0,0.0,0.0
84c2ebbffffffff,16.0,0.0,0.0
84c2f11ffffffff,2.0,0.0,0.0
84c2f37ffffffff,1.0,0.0,0.0
84c3487ffffffff,12.0,0.0,0.0
84c3489ffffffff,6.0,0.0,6.0
84c3493ffffffff,24.0,0.0,24.0
84c349bffffffff,3.0,0.0,2.0
84c34b7ffffffff,4.0,0.0,0.0
84c34bbffffffff,38.0,0.0,38.0
84c34bdffffffff,42.0,0.0,0.0
84c36b5ffffffff,1.0,1.0,0.0
84ce827ffffffff,2.0,0.0,0.0
84ce9c7ffffffff,2.0,0.0,0.0
