cell_id,Pinicola enucleator,Pinicola enucleator [enucleator Group],Pinicola enucleator flammula,Pinicola enucleator carlottae,Pinicola enucleator montana,Pinicola enucleator californica,Pinicola enucleator leucura
820127fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
82081ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820897fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208a7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,11.0,1.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,273.0,15.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8208dffffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8208effffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82099ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820bb7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820c07fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
820c0ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
820c17fffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
820c1ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
820c27fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
820c2ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
820c37fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,1129.0,0.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,452.0,0.0,0.0,0.0,0.0,0.0,0.0
820c5ffffffffff,401.0,0.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,81.0,0.0,0.0,0.0,0.0,0.0,0.0
820c6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,1119.0,0.0,0.0,0.0,0.0,0.0,0.0
820ccffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820cdffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
