cell_id,Sicalis flaveola,Sicalis flaveola [flaveola Group],Sicalis flaveola pelzelni
8428d1bffffffff,1.0,0.0,0.0
8429a1dffffffff,2.0,0.0,0.0
8429a41ffffffff,2.0,0.0,0.0
842a307ffffffff,7.0,0.0,0.0
8444127ffffffff,4.0,0.0,0.0
844416bffffffff,1.0,0.0,0.0
84441e3ffffffff,3.0,0.0,0.0
8444ae9ffffffff,14.0,0.0,0.0
8445b21ffffffff,4.0,0.0,0.0
8445b23ffffffff,2.0,0.0,0.0
8445b27ffffffff,4.0,0.0,0.0
844cc43ffffffff,5.0,0.0,0.0
844cc59ffffffff,4.0,0.0,0.0
844cc5bffffffff,1.0,1.0,0.0
844cee5ffffffff,55.0,0.0,0.0
844cee7ffffffff,4.0,2.0,0.0
845d101ffffffff,2.0,2.0,0.0
845d103ffffffff,2.0,0.0,0.0
845d107ffffffff,19.0,0.0,0.0
845d115ffffffff,2.0,0.0,0.0
845d145ffffffff,2.0,0.0,0.0
845d16bffffffff,7.0,0.0,0.0
845f095ffffffff,2.0,0.0,0.0
845f4b3ffffffff,2.0,0.0,0.0
845f583ffffffff,4.0,4.0,0.0
8466081ffffffff,2.0,0.0,0.0
8466089ffffffff,1.0,0.0,0.0
846608dffffffff,2.0,0.0,0.0
84660c7ffffffff,6.0,0.0,0.0
8466125ffffffff,2.0,0.0,0.0
8466225ffffffff,1.0,1.0,0.0
8466299ffffffff,2.0,2.0,0.0
8466415ffffffff,2.0,0.0,0.0
84664e9ffffffff,2.0,0.0,0.0
8466a0bffffffff,2.0,0.0,0.0
8466a1dffffffff,7.0,0.0,0.0
8466a51ffffffff,6.0,4.0,0.0
8466a59ffffffff,5.0,0.0,0.0
8466a5bffffffff,26.0,0.0,0.0
8466b53ffffffff,2.0,0.0,0.0
8466b5bffffffff,5.0,0.0,0.0
8466c63ffffffff,1.0,0.0,0.0
8466c6dffffffff,2.0,0.0,0.0
8466d15ffffffff,3.0,0.0,0.0
8466d33ffffffff,2.0,2.0,0.0
8466d3bffffffff,1.0,0.0,0.0
8466d3dffffffff,2.0,0.0,0.0
8466dadffffffff,1.0,0.0,0.0
8466dcdffffffff,7.0,0.0,0.0
8466e23ffffffff,2.0,0.0,0.0
8466e57ffffffff,2.0,0.0,0.0
8466e65ffffffff,2.0,0.0,0.0
8466f11ffffffff,2.0,0.0,0.0
8466f15ffffffff,2.0,0.0,0.0
8466f1dffffffff,1.0,0.0,0.0
846732dffffffff,3.0,0.0,0.0
8467413ffffffff,25.0,2.0,0.0
846743dffffffff,1.0,0.0,0.0
8467447ffffffff,23.0,0.0,0.0
8467461ffffffff,6.0,0.0,0.0
84674e9ffffffff,1.0,1.0,0.0
846753bffffffff,1.0,0.0,0.0
8467553ffffffff,1.0,0.0,0.0
8467599ffffffff,1.0,1.0,0.0
84675a5ffffffff,2.0,2.0,0.0
84675c1ffffffff,3.0,0.0,0.0
84675e5ffffffff,2.0,0.0,0.0
84675e7ffffffff,3.0,0.0,0.0
846d663ffffffff,1.0,0.0,0.0
848ad85ffffffff,2.0,0.0,0.0
848ada9ffffffff,2.0,0.0,0.0
848af69ffffffff,7.0,0.0,0.0
848af6bffffffff,5.0,0.0,0.0
848b20bffffffff,4.0,0.0,2.0
848b221ffffffff,1.0,0.0,1.0
848b229ffffffff,2.0,0.0,2.0
848b22dffffffff,6.0,0.0,6.0
848b251ffffffff,5.0,0.0,5.0
848b259ffffffff,3.0,0.0,3.0
848b2c9ffffffff,4.0,0.0,0.0
848b429ffffffff,8.0,0.0,0.0
848b713ffffffff,4.0,0.0,0.0
848bb59ffffffff,1.0,0.0,1.0
848e459ffffffff,3.0,0.0,0.0
848e621ffffffff,2.0,2.0,0.0
848e629ffffffff,1.0,0.0,0.0
848e62dffffffff,17.0,5.0,0.0
848e6a1ffffffff,2.0,0.0,0.0
848f2cbffffffff,3.0,3.0,0.0
848f737ffffffff,2.0,2.0,0.0
84a8311ffffffff,1.0,1.0,0.0
84a835bffffffff,2.0,0.0,2.0
84a8591ffffffff,1.0,0.0,1.0
84a8599ffffffff,1.0,0.0,1.0
84a8957ffffffff,2.0,0.0,0.0
84a8a23ffffffff,4.0,4.0,0.0
84a90e7ffffffff,1.0,0.0,1.0
84a91b7ffffffff,2.0,0.0,2.0
84a92c5ffffffff,1.0,0.0,0.0
84a92d1ffffffff,1.0,0.0,1.0
84a92d5ffffffff,2.0,0.0,2.0
84a92d9ffffffff,1.0,0.0,1.0
84a92e1ffffffff,4.0,0.0,0.0
84a9525ffffffff,1.0,0.0,0.0
84a953bffffffff,8.0,0.0,8.0
84a95edffffffff,7.0,0.0,7.0
84a9611ffffffff,5.0,0.0,0.0
84a9613ffffffff,39.0,0.0,0.0
84a9617ffffffff,24.0,0.0,0.0
84a9619ffffffff,24.0,0.0,0.0
84a9627ffffffff,5.0,0.0,5.0
84a9653ffffffff,18.0,0.0,0.0
84a965bffffffff,2.0,0.0,0.0
84a9669ffffffff,1.0,0.0,1.0
84a96c5ffffffff,1.0,0.0,0.0
84a96d9ffffffff,2.0,0.0,0.0
84a96e9ffffffff,2.0,0.0,0.0
84b248bffffffff,19.0,0.0,0.0
84b2491ffffffff,1.0,0.0,0.0
84b2493ffffffff,7.0,0.0,0.0
84b2497ffffffff,3.0,0.0,0.0
84b2499ffffffff,52.0,0.0,0.0
84b249bffffffff,5.0,0.0,0.0
84b249dffffffff,54.0,0.0,0.0
84b24b9ffffffff,2.0,0.0,0.0
84b24bbffffffff,7.0,0.0,0.0
84b24c3ffffffff,2.0,0.0,0.0
84b24d1ffffffff,313.0,0.0,0.0
84b24d3ffffffff,244.0,0.0,0.0
84b24d5ffffffff,23.0,0.0,0.0
84b24d7ffffffff,53.0,0.0,0.0
84b24d9ffffffff,35.0,0.0,0.0
84b24dbffffffff,404.0,0.0,0.0
84b24ddffffffff,2.0,0.0,0.0
84b2525ffffffff,1.0,0.0,0.0
84b2549ffffffff,2.0,0.0,0.0
84b2591ffffffff,2.0,0.0,0.0
84b25bbffffffff,1.0,0.0,0.0
84b25e1ffffffff,4.0,0.0,0.0
84b25e7ffffffff,1.0,0.0,0.0
84b2613ffffffff,12.0,0.0,0.0
84b2681ffffffff,4.0,0.0,0.0
84b2683ffffffff,2.0,0.0,0.0
84b2687ffffffff,19.0,0.0,0.0
84b2689ffffffff,6.0,0.0,0.0
84b268bffffffff,24.0,0.0,0.0
84b268dffffffff,6.0,0.0,0.0
84b2691ffffffff,30.0,0.0,0.0
84b2693ffffffff,8.0,0.0,0.0
84b2695ffffffff,14.0,0.0,0.0
84b2697ffffffff,7.0,0.0,0.0
84b2699ffffffff,4.0,0.0,0.0
84b269bffffffff,6.0,0.0,0.0
84b269dffffffff,20.0,0.0,0.0
84b26a3ffffffff,2.0,0.0,0.0
84b26abffffffff,4.0,0.0,0.0
84b26b1ffffffff,29.0,0.0,0.0
84b26b3ffffffff,14.0,0.0,0.0
84b26b5ffffffff,2.0,0.0,0.0
84b26b9ffffffff,10.0,0.0,0.0
84b26bbffffffff,5.0,0.0,0.0
84b26bdffffffff,88.0,0.0,0.0
84b26c3ffffffff,4.0,0.0,0.0
84b26c5ffffffff,1.0,0.0,0.0
84b26c7ffffffff,2.0,0.0,0.0
84b26d1ffffffff,8.0,0.0,0.0
84b26d5ffffffff,2.0,0.0,0.0
84b26d7ffffffff,92.0,0.0,0.0
84b26d9ffffffff,2.0,0.0,0.0
84b26ddffffffff,13.0,0.0,0.0
84b270dffffffff,4.0,0.0,0.0
84b2c39ffffffff,3.0,0.0,0.0
84b2d87ffffffff,18.0,0.0,0.0
84b2d9dffffffff,1.0,0.0,0.0
84b2da3ffffffff,2.0,0.0,0.0
84b2dabffffffff,3.0,0.0,0.0
84b2eebffffffff,3.0,0.0,0.0
84b342bffffffff,2.0,0.0,0.0
84b355dffffffff,2.0,0.0,0.0
84b35cdffffffff,3.0,0.0,0.0
84b366dffffffff,1.0,0.0,0.0
84c21bbffffffff,3.0,0.0,3.0
84c2217ffffffff,2.0,0.0,0.0
84c2c11ffffffff,2.0,0.0,0.0
84c2c19ffffffff,6.0,0.0,0.0
84c2c51ffffffff,3.0,0.0,0.0
84c2c53ffffffff,27.0,0.0,1.0
84c2c5bffffffff,12.0,0.0,4.0
84c2c63ffffffff,4.0,0.0,0.0
84c2c6dffffffff,4.0,0.0,0.0
84c2c91ffffffff,27.0,0.0,0.0
84c2c93ffffffff,3.0,0.0,0.0
84c2c95ffffffff,2.0,0.0,0.0
84c2c97ffffffff,45.0,0.0,0.0
84c2c99ffffffff,95.0,0.0,0.0
84c2c9bffffffff,3.0,0.0,0.0
84c2ca1ffffffff,2.0,0.0,0.0
84c2ca7ffffffff,3.0,0.0,0.0
84c2ca9ffffffff,2.0,0.0,0.0
84c2cadffffffff,4.0,0.0,0.0
84c2cd3ffffffff,261.0,0.0,0.0
84c2d37ffffffff,4.0,0.0,0.0
84c2d45ffffffff,4.0,0.0,0.0
84c2d49ffffffff,2.0,0.0,2.0
84c2d55ffffffff,1.0,0.0,0.0
84c2d69ffffffff,2.0,0.0,2.0
84c2d93ffffffff,2.0,0.0,2.0
84c2dbbffffffff,3.0,0.0,0.0
84c2e07ffffffff,2.0,0.0,0.0
84c2e17ffffffff,2.0,0.0,0.0
84c2e31ffffffff,3.0,0.0,0.0
84c2e33ffffffff,2.0,0.0,0.0
84c2e95ffffffff,4.0,0.0,0.0
84c2e97ffffffff,8.0,0.0,0.0
84c2e99ffffffff,26.0,0.0,0.0
84c2e9bffffffff,2.0,0.0,0.0
84c2e9dffffffff,2.0,0.0,0.0
84c2eb9ffffffff,6.0,0.0,0.0
84c2ebbffffffff,41.0,0.0,0.0
84c2f11ffffffff,2.0,0.0,0.0
84c2f15ffffffff,2.0,0.0,0.0
84c2f23ffffffff,1.0,0.0,1.0
84c2f27ffffffff,4.0,0.0,4.0
84c2f2bffffffff,1.0,0.0,1.0
84c2f33ffffffff,2.0,0.0,0.0
84c2f37ffffffff,7.0,0.0,0.0
84c2f39ffffffff,2.0,0.0,0.0
84c2f3dffffffff,2.0,0.0,0.0
84c3297ffffffff,3.0,0.0,3.0
84c3401ffffffff,2.0,0.0,0.0
84c3487ffffffff,1.0,0.0,0.0
84c349dffffffff,1.0,0.0,0.0
84c34b7ffffffff,6.0,0.0,0.0
84c3709ffffffff,2.0,0.0,0.0
84c375dffffffff,1.0,0.0,0.0
84ce813ffffffff,2.0,0.0,0.0
84ce81bffffffff,3.0,0.0,0.0
84ce881ffffffff,4.0,0.0,0.0
84ce8a1ffffffff,1.0,0.0,0.0
84ce8a9ffffffff,9.0,0.0,0.0
84ce8c1ffffffff,16.0,0.0,0.0
84ce8e1ffffffff,17.0,0.0,0.0
84ce8e9ffffffff,1.0,0.0,0.0
84ce8ebffffffff,2.0,0.0,0.0
84ce927ffffffff,2.0,0.0,2.0
84ce935ffffffff,10.0,0.0,3.0
84ce937ffffffff,4.0,0.0,0.0
84ce969ffffffff,6.0,0.0,0.0
84ce9d3ffffffff,5.0,0.0,0.0
84cea8dffffffff,2.0,0.0,0.0
84ceaa5ffffffff,3.0,0.0,0.0
84ceaa7ffffffff,5.0,0.0,2.0
84ceaa9ffffffff,21.0,0.0,0.0
84ceae3ffffffff,2.0,0.0,0.0
84cf913ffffffff,2.0,0.0,0.0
