cell_id,Tyto furcata,Tyto furcata [tuidara Group],Tyto furcata furcata,Tyto furcata bargei,Tyto furcata nigrescens/insularis,Tyto furcata punctatissima
84268d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268dbffffffff,20.0,0.0,0.0,0.0,0.0,0.0
84268ddffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84268e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426905ffffffff,89.0,8.0,0.0,0.0,0.0,0.0
842690bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426921ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426927ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426929ffffffff,57.0,1.0,0.0,0.0,0.0,0.0
842692bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842694dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426955ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426961ffffffff,488.0,267.0,0.0,0.0,0.0,0.0
8426963ffffffff,82.0,36.0,0.0,0.0,0.0,0.0
8426965ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426967ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426969ffffffff,801.0,115.0,0.0,0.0,0.0,0.0
8426981ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426987ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84269a7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84269abffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84269c1ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84269c3ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84269cbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84269cdffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426a81ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
8426a83ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426a87ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8426a8bffffffff,60.0,0.0,0.0,0.0,0.0,0.0
8426a91ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426a93ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426a95ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8426a97ffffffff,32.0,0.0,0.0,0.0,0.0,0.0
8426a9dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426aa1ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8426aa3ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8426aa5ffffffff,90.0,0.0,0.0,0.0,0.0,0.0
8426aa7ffffffff,306.0,0.0,0.0,0.0,0.0,0.0
8426aa9ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8426aabffffffff,35.0,0.0,0.0,0.0,0.0,0.0
8426aadffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8426ab3ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8426ab5ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8426ab7ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8426ab9ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426abbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426abdffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426ac5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426ac7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426acbffffffff,20.0,4.0,0.0,0.0,0.0,0.0
8426ad5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426adbffffffff,10.0,4.0,0.0,0.0,0.0,0.0
8426b25ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c11ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8426c17ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c19ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426c1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c23ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c27ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426c29ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c2dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c37ffffffff,47.0,0.0,0.0,0.0,0.0,0.0
8426c3bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426c41ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426c43ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c45ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8426c4dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426c5bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8426c6dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426c83ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426c85ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426c87ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8426c89ffffffff,146.0,0.0,0.0,0.0,0.0,0.0
8426c9dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ca1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ca5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ca9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426cabffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8426cb1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426cb9ffffffff,98.0,0.0,0.0,0.0,0.0,0.0
8426cbbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426cbdffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8426cd5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426cd7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426cdbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ce7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426d01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d05ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426d09ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426d0bffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8426d0dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d11ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426d15ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426d21ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426d23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d31ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d33ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426d35ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8426d37ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426d39ffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8426d3bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d41ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426d43ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d45ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8426d47ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426d49ffffffff,70.0,0.0,0.0,0.0,0.0,0.0
8426d4bffffffff,159.0,0.0,0.0,0.0,0.0,0.0
8426d4dffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8426d51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d53ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8426d57ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426d59ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426d5bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426d63ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d67ffffffff,5.0,3.0,0.0,0.0,0.0,0.0
8426d6bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426d91ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d95ffffffff,29.0,21.0,0.0,0.0,0.0,0.0
8426d9bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426d9dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426da5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426da9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426dadffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426dbbffffffff,4.0,4.0,0.0,0.0,0.0,0.0
8426dbdffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426dc3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426dd1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426dd3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426dd5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426dd9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426ddbffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426dddffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426de1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426de3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426de5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426de7ffffffff,52.0,7.0,0.0,0.0,0.0,0.0
8426debffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426dedffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8426e07ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426e19ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426e1bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426e21ffffffff,33.0,1.0,0.0,0.0,0.0,0.0
8426e23ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426e2bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426e2dffffffff,336.0,2.0,0.0,0.0,0.0,0.0
8426e35ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426e41ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e43ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426e45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e47ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e53ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426e55ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e57ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426e59ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426e5bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426e5dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426e67ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8426e69ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ec1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ec9ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426ecdffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426eddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ee1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426eedffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426f01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426f03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426f05ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426f07ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426f0bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426f0dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426f11ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
