cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
834523fffffffff,3.0,2.0,0.0,0.0
834525fffffffff,1.0,0.0,0.0,0.0
83452afffffffff,18.0,6.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,4.0,0.0,0.0,0.0
835f58fffffffff,15.0,0.0,7.0,0.0
835f59fffffffff,2.0,0.0,0.0,0.0
835f5bfffffffff,15.0,0.0,0.0,0.0
836611fffffffff,1.0,1.0,0.0,0.0
8366a0fffffffff,1.0,0.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0,0.0
8366d0fffffffff,5.0,0.0,0.0,0.0
8366d3fffffffff,5.0,0.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0,0.0
836743fffffffff,4.0,0.0,0.0,0.0
83674efffffffff,1.0,0.0,0.0,0.0
83675bfffffffff,1.0,0.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0,0.0
83679afffffffff,12.0,7.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0,0.0
836d2cfffffffff,14.0,9.0,0.0,0.0
836d35fffffffff,2.0,0.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0,0.0
836d69fffffffff,11.0,2.0,0.0,0.0
838023fffffffff,2.0,0.0,0.0,0.0
838a00fffffffff,24.0,0.0,0.0,0.0
838a01fffffffff,3.0,0.0,0.0,0.0
838a05fffffffff,3.0,0.0,0.0,0.0
838a10fffffffff,5.0,0.0,0.0,0.0
838a15fffffffff,8.0,0.0,0.0,0.0
838a33fffffffff,8.0,0.0,0.0,0.0
838a35fffffffff,1.0,0.0,0.0,0.0
838f2afffffffff,1.0,0.0,0.0,0.0
83a828fffffffff,1.0,0.0,0.0,0.0
83a829fffffffff,1.0,0.0,0.0,0.0
