cell_id,Muscicapa williamsoni,Muscicapa williamsoni williamsoni,Muscicapa williamsoni umbrosa
836500fffffffff,4.0,0.0,0.0
836502fffffffff,1.0,0.0,0.0
836503fffffffff,4.0,0.0,0.0
836518fffffffff,15.0,2.0,0.0
83651bfffffffff,3.0,0.0,0.0
83651cfffffffff,36.0,0.0,36.0
83651dfffffffff,9.0,0.0,0.0
836520fffffffff,42.0,1.0,0.0
836526fffffffff,22.0,1.0,0.0
836584fffffffff,1.0,0.0,0.0
8365b3fffffffff,1.0,0.0,0.0
836802fffffffff,1.0,0.0,0.0
836818fffffffff,1.0,0.0,0.0
83681cfffffffff,21.0,0.0,4.0
839491fffffffff,22.0,0.0,0.0
