cell_id,Troglodytes martinicensis,Troglodytes martinicensis guadeloupensis,Troglodytes martinicensis rufescens,Troglodytes martinicensis martinicensis
835e42fffffffff,77.0,0.0,14.0,0.0
835e43fffffffff,223.0,0.0,111.0,0.0
