cell_id,Oenanthe lugens,Oenanthe lugens lugens/persica,Oenanthe lugens halophila,Oenanthe lugens warriae
822c17fffffffff,4.0,0.0,0.0,0.0
822c87fffffffff,2.0,0.0,0.0,0.0
822c8ffffffffff,2.0,0.0,0.0,0.0
822c97fffffffff,239.0,9.0,0.0,0.0
822c9ffffffffff,2.0,0.0,0.0,0.0
822ca7fffffffff,4.0,0.0,0.0,0.0
822caffffffffff,6.0,0.0,0.0,0.0
822cd7fffffffff,1.0,0.0,0.0,0.0
822cdffffffffff,1.0,0.0,0.0,0.0
822cf7fffffffff,19.0,4.0,0.0,0.0
822d87fffffffff,32.0,0.0,0.0,2.0
822d97fffffffff,5.0,0.0,0.0,1.0
822db7fffffffff,942.0,249.0,0.0,0.0
823817fffffffff,20.0,0.0,14.0,0.0
823837fffffffff,1.0,0.0,0.0,0.0
823847fffffffff,36.0,0.0,31.0,0.0
82385ffffffffff,21.0,0.0,10.0,0.0
823877fffffffff,1.0,0.0,1.0,0.0
823987fffffffff,1.0,0.0,0.0,0.0
82398ffffffffff,275.0,0.0,219.0,0.0
823997fffffffff,25.0,0.0,17.0,0.0
82399ffffffffff,1.0,0.0,0.0,0.0
823e47fffffffff,6.0,0.0,0.0,0.0
823e4ffffffffff,10.0,0.0,0.0,0.0
823e5ffffffffff,7.0,0.0,0.0,0.0
823e67fffffffff,11.0,0.0,0.0,0.0
823e6ffffffffff,1593.0,279.0,0.0,21.0
824237fffffffff,3.0,0.0,0.0,0.0
82430ffffffffff,1.0,0.0,0.0,0.0
824317fffffffff,2.0,0.0,0.0,0.0
824327fffffffff,4.0,0.0,0.0,0.0
824337fffffffff,7.0,0.0,0.0,0.0
8243affffffffff,6.0,1.0,0.0,0.0
8243b7fffffffff,2.0,0.0,0.0,0.0
82530ffffffffff,3.0,0.0,0.0,0.0
82532ffffffffff,7.0,0.0,0.0,0.0
825337fffffffff,4.0,0.0,0.0,0.0
825347fffffffff,15.0,0.0,0.0,0.0
82534ffffffffff,3.0,0.0,0.0,0.0
825357fffffffff,4.0,0.0,0.0,0.0
825367fffffffff,17.0,2.0,0.0,0.0
82536ffffffffff,16.0,0.0,0.0,0.0
825377fffffffff,13.0,0.0,0.0,0.0
8253a7fffffffff,2.0,0.0,0.0,0.0
825537fffffffff,1.0,0.0,1.0,0.0
826337fffffffff,3.0,0.0,0.0,0.0
