cell_id,Pardalotus striatus,Pardalotus striatus [melanocephalus Group],Pardalotus striatus ornatus,Pardalotus striatus striatus,Pardalotus striatus substriatus
829d0ffffffffff,2.0,0.0,0.0,0.0,0.0
82a79ffffffffff,2.0,0.0,0.0,0.0,0.0
82b887fffffffff,1.0,0.0,0.0,0.0,1.0
82be0ffffffffff,18.0,0.0,3.0,0.0,1.0
82be1ffffffffff,3.0,0.0,0.0,0.0,0.0
82be47fffffffff,5.0,0.0,0.0,0.0,2.0
82be4ffffffffff,6.0,0.0,1.0,0.0,2.0
82be57fffffffff,10.0,0.0,4.0,0.0,3.0
82be5ffffffffff,2.0,0.0,2.0,0.0,0.0
82be67fffffffff,18.0,0.0,1.0,5.0,5.0
82be77fffffffff,1.0,0.0,0.0,0.0,0.0
82be8ffffffffff,70.0,3.0,0.0,2.0,2.0
82beaffffffffff,13.0,2.0,0.0,2.0,0.0
82beeffffffffff,2.0,0.0,0.0,0.0,2.0
82bef7fffffffff,6.0,0.0,0.0,0.0,4.0
82bf4ffffffffff,9.0,0.0,0.0,1.0,0.0
