cell_id,Phaeochroa cuvierii,Phaeochroa cuvierii roberti,Phaeochroa cuvierii [cuvierii Group]
8445207ffffffff,26.0,0.0,0.0
844520bffffffff,15.0,0.0,0.0
844520dffffffff,7.0,0.0,0.0
8445211ffffffff,7.0,0.0,0.0
8445213ffffffff,67.0,0.0,0.0
8445215ffffffff,53.0,0.0,0.0
8445217ffffffff,123.0,0.0,0.0
8445219ffffffff,2.0,0.0,0.0
844521dffffffff,2.0,0.0,0.0
8445221ffffffff,93.0,0.0,0.0
8445225ffffffff,465.0,0.0,0.0
844522dffffffff,5.0,0.0,0.0
8445233ffffffff,219.0,0.0,0.0
844523bffffffff,9.0,0.0,0.0
8445253ffffffff,7.0,0.0,0.0
8445257ffffffff,17.0,0.0,0.0
8445289ffffffff,17.0,0.0,0.0
844528dffffffff,24.0,0.0,0.0
84452a9ffffffff,38.0,0.0,0.0
84452c1ffffffff,3.0,0.0,0.0
84452c3ffffffff,440.0,19.0,0.0
84452c5ffffffff,9.0,0.0,0.0
84452c7ffffffff,33.0,1.0,0.0
84452c9ffffffff,4.0,0.0,0.0
84452d5ffffffff,4.0,0.0,0.0
84452d7ffffffff,2.0,0.0,0.0
84452d9ffffffff,83.0,23.0,0.0
84452dbffffffff,2.0,0.0,0.0
84452e1ffffffff,1832.0,0.0,0.0
84452e3ffffffff,211.0,0.0,0.0
84452e5ffffffff,345.0,0.0,0.0
84452e7ffffffff,5.0,0.0,0.0
84452e9ffffffff,17.0,0.0,0.0
84452ebffffffff,199.0,33.0,0.0
84452edffffffff,3.0,0.0,0.0
8445305ffffffff,6.0,0.0,0.0
8445319ffffffff,1.0,0.0,0.0
844532bffffffff,7.0,0.0,0.0
8445343ffffffff,24.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0
844534dffffffff,6.0,0.0,0.0
8445363ffffffff,5.0,0.0,0.0
8445365ffffffff,1.0,0.0,0.0
8445367ffffffff,2.0,0.0,0.0
8466045ffffffff,1.0,0.0,0.0
846606bffffffff,5.0,0.0,0.0
8466105ffffffff,43.0,0.0,1.0
8466107ffffffff,465.0,0.0,29.0
8466129ffffffff,34.0,0.0,0.0
846612dffffffff,3.0,0.0,0.0
8466131ffffffff,3.0,0.0,0.0
8466135ffffffff,2.0,0.0,0.0
8466139ffffffff,79.0,0.0,3.0
846613dffffffff,7.0,0.0,2.0
8466163ffffffff,1137.0,0.0,89.0
8466165ffffffff,8.0,0.0,2.0
8466167ffffffff,38.0,0.0,4.0
8466201ffffffff,7.0,0.0,0.0
8466225ffffffff,1.0,0.0,0.0
846622bffffffff,8.0,0.0,0.0
8466311ffffffff,5.0,0.0,0.0
8466313ffffffff,35.0,0.0,0.0
8466849ffffffff,21.0,0.0,0.0
8466a03ffffffff,1.0,0.0,0.0
8466a0bffffffff,3.0,0.0,0.0
8466a15ffffffff,4.0,0.0,0.0
8466a17ffffffff,5.0,0.0,0.0
8466a1dffffffff,46.0,0.0,0.0
8466a21ffffffff,6.0,0.0,0.0
8466a23ffffffff,6.0,0.0,0.0
8466a25ffffffff,23.0,0.0,0.0
8466a2dffffffff,3.0,0.0,0.0
8466a31ffffffff,60.0,0.0,0.0
8466a33ffffffff,35.0,0.0,0.0
8466a37ffffffff,3.0,0.0,0.0
8466a3bffffffff,2.0,0.0,0.0
8466a3dffffffff,3.0,0.0,0.0
8466a51ffffffff,138.0,0.0,10.0
8466a55ffffffff,8.0,0.0,0.0
8466a59ffffffff,15.0,0.0,0.0
8466a5bffffffff,68.0,0.0,4.0
8466a5dffffffff,25.0,0.0,0.0
8466aedffffffff,9.0,0.0,3.0
8466b01ffffffff,13.0,0.0,0.0
8466b09ffffffff,118.0,0.0,0.0
8466b0bffffffff,279.0,0.0,0.0
8466b19ffffffff,38.0,0.0,0.0
8466b1dffffffff,1.0,0.0,0.0
8466b41ffffffff,679.0,0.0,0.0
8466b43ffffffff,233.0,0.0,0.0
8466b45ffffffff,437.0,0.0,0.0
8466b47ffffffff,252.0,0.0,0.0
8466b49ffffffff,7.0,0.0,0.0
8466b51ffffffff,85.0,0.0,0.0
8466b53ffffffff,548.0,0.0,2.0
8466b55ffffffff,1517.0,0.0,0.0
8466b57ffffffff,142.0,0.0,0.0
8466b5dffffffff,37.0,0.0,0.0
8466b69ffffffff,26.0,0.0,0.0
846790dffffffff,4.0,0.0,0.0
8467925ffffffff,2.0,0.0,0.0
846792dffffffff,7.0,0.0,0.0
8467933ffffffff,3.0,0.0,0.0
8467937ffffffff,12.0,0.0,0.0
846793bffffffff,2.0,0.0,0.0
8467941ffffffff,2.0,0.0,0.0
8467945ffffffff,9.0,0.0,0.0
8467961ffffffff,25.0,0.0,0.0
8467963ffffffff,7.0,0.0,0.0
846796bffffffff,3.0,0.0,0.0
84679a5ffffffff,1245.0,0.0,0.0
84679a7ffffffff,36.0,0.0,0.0
84679b5ffffffff,13.0,0.0,0.0
84679b7ffffffff,24.0,0.0,0.0
84679e5ffffffff,5.0,0.0,0.0
846d21bffffffff,7.0,0.0,0.0
846d21dffffffff,3.0,0.0,0.0
846d2c1ffffffff,24.0,8.0,0.0
846d2c3ffffffff,4.0,0.0,0.0
846d2c5ffffffff,2.0,0.0,0.0
846d2c7ffffffff,2.0,0.0,0.0
846d2c9ffffffff,181.0,45.0,0.0
846d2cbffffffff,42.0,13.0,0.0
846d2cdffffffff,3.0,0.0,0.0
846d2d1ffffffff,34.0,0.0,0.0
846d2d9ffffffff,9.0,0.0,0.0
846d2dbffffffff,1.0,0.0,0.0
846d2ddffffffff,7.0,0.0,0.0
846d2ebffffffff,4.0,0.0,0.0
846d61bffffffff,7.0,0.0,0.0
846d651ffffffff,22.0,0.0,0.0
846d653ffffffff,82.0,0.0,0.0
