cell_id,Rallus obsoletus,Rallus obsoletus obsoletus,Rallus obsoletus levipes,Rallus obsoletus beldingi,Rallus obsoletus yumanensis
8428301ffffffff,11.0,0.0,0.0,0.0,0.0
8428309ffffffff,2701.0,457.0,0.0,0.0,0.0
842830bffffffff,537.0,106.0,0.0,0.0,0.0
842831dffffffff,2.0,0.0,0.0,0.0,0.0
8428347ffffffff,865.0,193.0,0.0,0.0,0.0
8429125ffffffff,25.0,0.0,15.0,0.0,0.0
8429869ffffffff,9.0,0.0,0.0,0.0,0.0
8429a41ffffffff,1540.0,0.0,228.0,0.0,0.0
8429a43ffffffff,74.0,0.0,14.0,0.0,0.0
8429a47ffffffff,280.0,0.0,14.0,0.0,0.0
8429a4dffffffff,1631.0,0.0,437.0,0.0,0.0
8429a55ffffffff,485.0,0.0,103.0,0.0,0.0
8429a57ffffffff,1496.0,0.0,339.0,0.0,0.0
8429a6dffffffff,1523.0,0.0,0.0,0.0,127.0
8429b09ffffffff,1.0,0.0,0.0,0.0,0.0
8429b0bffffffff,139.0,0.0,0.0,0.0,50.0
8429b11ffffffff,2.0,0.0,0.0,0.0,0.0
8429b1dffffffff,124.0,0.0,0.0,0.0,0.0
8429b55ffffffff,24.0,0.0,0.0,0.0,6.0
8448005ffffffff,8.0,0.0,0.0,0.0,0.0
8448017ffffffff,87.0,0.0,0.0,0.0,0.0
8448039ffffffff,2.0,0.0,0.0,0.0,0.0
8448061ffffffff,3.0,0.0,0.0,0.0,0.0
844806dffffffff,2.0,0.0,0.0,0.0,0.0
8448097ffffffff,2.0,0.0,0.0,0.0,0.0
84480bbffffffff,59.0,0.0,0.0,0.0,2.0
84480d3ffffffff,2.0,0.0,0.0,0.0,0.0
84480e1ffffffff,24.0,0.0,0.0,0.0,0.0
84480edffffffff,2.0,0.0,0.0,0.0,0.0
8448233ffffffff,3.0,0.0,0.0,1.0,0.0
8448295ffffffff,23.0,0.0,0.0,2.0,0.0
84482a9ffffffff,6.0,0.0,0.0,2.0,0.0
84482adffffffff,78.0,0.0,0.0,5.0,0.0
84482b9ffffffff,3.0,0.0,0.0,0.0,0.0
84482bbffffffff,8.0,0.0,0.0,1.0,0.0
84482e5ffffffff,2.0,0.0,0.0,0.0,0.0
844832bffffffff,1.0,0.0,0.0,0.0,0.0
8448331ffffffff,19.0,0.0,0.0,0.0,0.0
844833bffffffff,33.0,0.0,0.0,0.0,0.0
8448361ffffffff,23.0,0.0,0.0,0.0,0.0
8448363ffffffff,289.0,0.0,0.0,0.0,5.0
8448365ffffffff,1.0,0.0,0.0,0.0,0.0
8448435ffffffff,10.0,0.0,0.0,0.0,0.0
8448437ffffffff,29.0,0.0,0.0,0.0,0.0
84484a5ffffffff,237.0,0.0,9.0,0.0,0.0
844850dffffffff,11.0,0.0,0.0,0.0,1.0
8448569ffffffff,2.0,0.0,0.0,0.0,0.0
844856bffffffff,46.0,0.0,0.0,0.0,1.0
8448583ffffffff,26.0,0.0,0.0,0.0,0.0
8448587ffffffff,5.0,0.0,0.0,0.0,2.0
8448595ffffffff,2.0,0.0,0.0,0.0,0.0
8448597ffffffff,5.0,0.0,0.0,0.0,2.0
84485b1ffffffff,3.0,0.0,0.0,0.0,0.0
84485b5ffffffff,281.0,0.0,0.0,0.0,138.0
84485b7ffffffff,31.0,0.0,0.0,0.0,14.0
84485b9ffffffff,4.0,0.0,0.0,0.0,0.0
84485bbffffffff,1.0,0.0,0.0,0.0,0.0
84485bdffffffff,42.0,0.0,0.0,0.0,20.0
84485d1ffffffff,2.0,0.0,0.0,0.0,0.0
8448707ffffffff,10.0,0.0,0.0,0.0,0.0
8448715ffffffff,3.0,0.0,0.0,0.0,0.0
8448725ffffffff,2.0,0.0,0.0,0.0,0.0
844872bffffffff,23.0,0.0,0.0,1.0,0.0
8448731ffffffff,4.0,0.0,0.0,0.0,0.0
8448733ffffffff,9.0,0.0,0.0,0.0,0.0
8449a8bffffffff,2.0,0.0,0.0,0.0,0.0
8449ad5ffffffff,6.0,0.0,0.0,0.0,0.0
