cell_id,Oxyura ferruginea,Oxyura ferruginea andina,Oxyura ferruginea ferruginea
82661ffffffffff,2.0,2.0,0.0
8266d7fffffffff,23.0,0.0,1.0
8266dffffffffff,7.0,0.0,4.0
8266e7fffffffff,78.0,22.0,12.0
828b2ffffffffff,45.0,0.0,45.0
828b67fffffffff,109.0,0.0,109.0
828e67fffffffff,4.0,0.0,3.0
828f0ffffffffff,28.0,0.0,0.0
828f2ffffffffff,8.0,0.0,1.0
828f47fffffffff,2.0,0.0,0.0
828f57fffffffff,17.0,0.0,0.0
828f5ffffffffff,15.0,0.0,9.0
82b207fffffffff,1.0,0.0,0.0
82b21ffffffffff,19.0,0.0,0.0
82b277fffffffff,1.0,0.0,0.0
82b2c7fffffffff,62.0,2.0,4.0
82b2cffffffffff,14.0,0.0,5.0
82b2dffffffffff,16.0,0.0,0.0
82b2e7fffffffff,4.0,0.0,0.0
82b2effffffffff,1.0,0.0,0.0
82b307fffffffff,6.0,0.0,1.0
82b30ffffffffff,14.0,0.0,4.0
82b327fffffffff,21.0,0.0,20.0
82b32ffffffffff,4.0,0.0,4.0
82b337fffffffff,35.0,0.0,0.0
82b347fffffffff,3.0,0.0,0.0
82b357fffffffff,17.0,0.0,9.0
82b35ffffffffff,3.0,0.0,0.0
82b367fffffffff,11.0,0.0,0.0
82c32ffffffffff,1.0,0.0,0.0
82ce87fffffffff,1.0,0.0,0.0
82ce8ffffffffff,20.0,0.0,0.0
82ce9ffffffffff,52.0,0.0,1.0
82cea7fffffffff,2.0,0.0,2.0
82ceaffffffffff,25.0,0.0,0.0
82cf17fffffffff,13.0,0.0,2.0
82cf8ffffffffff,13.0,0.0,0.0
82df6ffffffffff,9.0,0.0,0.0
