cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
839c05fffffffff,4.0,0.0,4.0
83a726fffffffff,1.0,1.0,0.0
83be08fffffffff,6.0,0.0,6.0
83be09fffffffff,1.0,0.0,1.0
83be0cfffffffff,7.0,0.0,7.0
83be0dfffffffff,6.0,0.0,6.0
83be0efffffffff,2.0,0.0,2.0
83be40fffffffff,24.0,0.0,24.0
83be44fffffffff,22.0,0.0,22.0
83be45fffffffff,15.0,0.0,15.0
83be46fffffffff,1.0,0.0,1.0
83be4afffffffff,1.0,1.0,0.0
83be4cfffffffff,1.0,1.0,0.0
83be53fffffffff,4.0,0.0,4.0
83be54fffffffff,5.0,0.0,5.0
83be62fffffffff,13.0,0.0,13.0
83be63fffffffff,7.0,0.0,7.0
83be66fffffffff,3.0,0.0,3.0
83be68fffffffff,19.0,0.0,19.0
83be69fffffffff,24.0,0.0,24.0
83be6bfffffffff,12.0,0.0,12.0
83be71fffffffff,3.0,0.0,3.0
83be72fffffffff,2.0,0.0,2.0
83be8dfffffffff,14.0,0.0,14.0
83bea9fffffffff,16.0,0.0,16.0
83beabfffffffff,7.0,0.0,7.0
83bee0fffffffff,2.0,0.0,2.0
83bee6fffffffff,2.0,0.0,2.0
83beeafffffffff,2.0,0.0,2.0
83bef0fffffffff,1.0,0.0,1.0
83bef2fffffffff,2.0,0.0,2.0
83bef6fffffffff,7.0,0.0,7.0
83c992fffffffff,2.0,2.0,0.0
