cell_id,Aegolius acadicus,Aegolius acadicus acadicus,Aegolius acadicus brooksi
820c47fffffffff,1.0,0.0,0.0
820c57fffffffff,2.0,0.0,0.0
820c5ffffffffff,7.0,0.0,0.0
820c67fffffffff,1.0,0.0,0.0
820c77fffffffff,4.0,0.0,0.0
820e4ffffffffff,2.0,0.0,0.0
820ecffffffffff,45.0,0.0,0.0
820eeffffffffff,47.0,0.0,0.0
821257fffffffff,2.0,2.0,0.0
82125ffffffffff,35.0,4.0,0.0
82128ffffffffff,46.0,0.0,0.0
821297fffffffff,6.0,0.0,4.0
8212affffffffff,2.0,0.0,0.0
8212cffffffffff,114.0,0.0,0.0
8212dffffffffff,17.0,0.0,0.0
8212effffffffff,7.0,0.0,0.0
821387fffffffff,17.0,0.0,0.0
82138ffffffffff,2.0,0.0,0.0
821aa7fffffffff,57.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0
821b9ffffffffff,10.0,0.0,0.0
822607fffffffff,33.0,6.0,0.0
82260ffffffffff,53.0,9.0,0.0
822617fffffffff,2.0,0.0,0.0
82261ffffffffff,7.0,0.0,0.0
822627fffffffff,10.0,0.0,0.0
82262ffffffffff,30.0,0.0,0.0
822647fffffffff,8.0,0.0,0.0
82264ffffffffff,34.0,0.0,0.0
822657fffffffff,44.0,0.0,0.0
82265ffffffffff,11.0,0.0,0.0
822667fffffffff,59.0,0.0,0.0
82266ffffffffff,52.0,0.0,0.0
822677fffffffff,14.0,0.0,0.0
822687fffffffff,37.0,0.0,0.0
82268ffffffffff,9.0,0.0,0.0
822697fffffffff,114.0,0.0,0.0
82269ffffffffff,21.0,0.0,0.0
8226a7fffffffff,8.0,0.0,0.0
8226affffffffff,45.0,0.0,0.0
8226b7fffffffff,17.0,0.0,0.0
8226e7fffffffff,16.0,0.0,0.0
8226effffffffff,81.0,0.0,0.0
822707fffffffff,8.0,0.0,0.0
82270ffffffffff,4.0,0.0,0.0
82271ffffffffff,10.0,0.0,0.0
822747fffffffff,8.0,0.0,0.0
82274ffffffffff,90.0,0.0,0.0
822757fffffffff,30.0,0.0,0.0
82275ffffffffff,38.0,0.0,0.0
822767fffffffff,83.0,0.0,0.0
82276ffffffffff,36.0,0.0,0.0
822777fffffffff,15.0,0.0,0.0
822787fffffffff,3.0,0.0,0.0
82278ffffffffff,19.0,0.0,0.0
8227a7fffffffff,15.0,0.0,0.0
8227affffffffff,4.0,0.0,0.0
822807fffffffff,36.0,0.0,0.0
822817fffffffff,31.0,0.0,0.0
82281ffffffffff,30.0,0.0,0.0
822837fffffffff,379.0,0.0,0.0
822887fffffffff,66.0,0.0,0.0
82288ffffffffff,11.0,0.0,0.0
822897fffffffff,37.0,0.0,0.0
8228affffffffff,41.0,0.0,0.0
8228d7fffffffff,3.0,0.0,0.0
8228dffffffffff,26.0,0.0,0.0
8228f7fffffffff,78.0,0.0,0.0
822917fffffffff,10.0,0.0,0.0
82291ffffffffff,4.0,0.0,0.0
822987fffffffff,10.0,0.0,0.0
82298ffffffffff,33.0,0.0,0.0
822997fffffffff,11.0,0.0,0.0
8229a7fffffffff,7.0,0.0,0.0
8229affffffffff,74.0,0.0,0.0
8229b7fffffffff,29.0,0.0,0.0
822a07fffffffff,24.0,0.0,0.0
822a17fffffffff,485.0,6.0,0.0
822a37fffffffff,241.0,0.0,0.0
822a87fffffffff,69.0,0.0,0.0
822a8ffffffffff,73.0,0.0,0.0
822a97fffffffff,84.0,0.0,0.0
822a9ffffffffff,39.0,0.0,0.0
822aa7fffffffff,89.0,0.0,0.0
822aaffffffffff,402.0,6.0,0.0
822ab7fffffffff,571.0,0.0,0.0
822ad7fffffffff,2.0,0.0,0.0
822af7fffffffff,173.0,0.0,0.0
822b0ffffffffff,10.0,0.0,0.0
822b17fffffffff,105.0,0.0,0.0
822b1ffffffffff,5.0,0.0,0.0
822b27fffffffff,3.0,0.0,0.0
822b2ffffffffff,2.0,0.0,0.0
822b37fffffffff,4.0,0.0,0.0
822b87fffffffff,194.0,2.0,0.0
822b8ffffffffff,157.0,0.0,0.0
822b97fffffffff,104.0,0.0,0.0
822b9ffffffffff,699.0,0.0,0.0
822ba7fffffffff,35.0,0.0,0.0
822baffffffffff,158.0,14.0,0.0
822bb7fffffffff,52.0,0.0,0.0
8244c7fffffffff,36.0,0.0,0.0
8244cffffffffff,58.0,0.0,0.0
8244d7fffffffff,2.0,0.0,0.0
8244dffffffffff,116.0,0.0,0.0
8244effffffffff,1.0,0.0,0.0
82485ffffffffff,12.0,0.0,0.0
8248c7fffffffff,149.0,0.0,0.0
8248cffffffffff,3.0,0.0,0.0
8248d7fffffffff,9.0,0.0,0.0
8248dffffffffff,3.0,0.0,0.0
8248effffffffff,122.0,0.0,0.0
8248f7fffffffff,32.0,0.0,0.0
824987fffffffff,12.0,4.0,0.0
824997fffffffff,18.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0
826d37fffffffff,54.0,0.0,0.0
