cell_id,Cnemoscopus rubrirostris,Cnemoscopus rubrirostris rubrirostris,Cnemoscopus rubrirostris chrysogaster
836608fffffffff,12.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0
83660bfffffffff,31.0,0.0,0.0
83660cfffffffff,4.0,0.0,0.0
83660dfffffffff,29.0,0.0,0.0
836618fffffffff,363.0,12.0,0.0
836619fffffffff,399.0,0.0,0.0
83661bfffffffff,790.0,28.0,0.0
83661dfffffffff,5.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0
8366c0fffffffff,17.0,0.0,0.0
8366c2fffffffff,39.0,0.0,0.0
8366c4fffffffff,21.0,0.0,0.0
8366c6fffffffff,87.0,0.0,0.0
8366d0fffffffff,8.0,7.0,0.0
8366d1fffffffff,3.0,1.0,0.0
8366d5fffffffff,4.0,0.0,0.0
8366defffffffff,1474.0,181.0,0.0
8366e0fffffffff,174.0,9.0,0.0
8366e4fffffffff,28.0,0.0,0.0
8366e5fffffffff,51.0,0.0,0.0
8366e6fffffffff,2151.0,74.0,0.0
8366f1fffffffff,67.0,0.0,0.0
8366f3fffffffff,7.0,0.0,0.0
8366f5fffffffff,103.0,0.0,0.0
838b61fffffffff,155.0,0.0,0.0
838b6cfffffffff,40.0,0.0,0.0
838e64fffffffff,38.0,0.0,0.0
838e65fffffffff,24.0,0.0,0.0
838f0dfffffffff,2.0,2.0,0.0
838f29fffffffff,4.0,0.0,0.0
838f42fffffffff,20.0,0.0,0.0
838f46fffffffff,59.0,0.0,2.0
838f4afffffffff,13.0,0.0,0.0
838f54fffffffff,32.0,12.0,0.0
838f55fffffffff,5.0,0.0,0.0
838f59fffffffff,3.0,0.0,0.0
838f5cfffffffff,9.0,0.0,0.0
838f5dfffffffff,2.0,0.0,0.0
838f72fffffffff,561.0,69.0,0.0
838f73fffffffff,157.0,0.0,8.0
838f76fffffffff,24.0,6.0,0.0
