cell_id,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca cyanoleuca,Pygochelidon cyanoleuca peruviana,Pygochelidon cyanoleuca patagonica
835f06fffffffff,2.0,0.0,0.0,0.0
835f29fffffffff,2.0,0.0,0.0,0.0
835f48fffffffff,13.0,1.0,0.0,0.0
835f49fffffffff,8.0,0.0,0.0,0.0
835f4afffffffff,29.0,0.0,0.0,0.0
835f4bfffffffff,58.0,0.0,0.0,0.0
835f4efffffffff,6.0,0.0,0.0,0.0
835f68fffffffff,2.0,0.0,0.0,0.0
835f70fffffffff,18.0,0.0,0.0,0.0
835f71fffffffff,125.0,2.0,0.0,0.0
835f75fffffffff,43.0,2.0,0.0,0.0
836600fffffffff,3.0,0.0,0.0,0.0
836601fffffffff,105.0,7.0,0.0,0.0
836602fffffffff,5.0,0.0,0.0,0.0
836603fffffffff,4.0,0.0,0.0,0.0
836604fffffffff,3.0,0.0,0.0,0.0
836606fffffffff,9.0,0.0,0.0,0.0
836608fffffffff,676.0,9.0,0.0,0.0
836609fffffffff,27.0,0.0,0.0,0.0
83660afffffffff,25.0,0.0,0.0,0.0
83660bfffffffff,536.0,2.0,0.0,0.0
83660cfffffffff,156.0,13.0,0.0,0.0
83660dfffffffff,107.0,0.0,0.0,0.0
83660efffffffff,71.0,0.0,0.0,0.0
836611fffffffff,19.0,0.0,0.0,0.0
836616fffffffff,2.0,0.0,0.0,0.0
836618fffffffff,1800.0,34.0,0.0,0.0
836619fffffffff,3647.0,53.0,0.0,0.0
83661afffffffff,6.0,0.0,0.0,0.0
83661bfffffffff,4774.0,152.0,0.0,0.0
83661cfffffffff,4.0,0.0,0.0,0.0
83661dfffffffff,498.0,6.0,0.0,0.0
83661efffffffff,6.0,0.0,0.0,0.0
836620fffffffff,456.0,31.0,0.0,0.0
836621fffffffff,33.0,5.0,0.0,0.0
836622fffffffff,84.0,11.0,0.0,0.0
836623fffffffff,4.0,0.0,0.0,0.0
836625fffffffff,14.0,0.0,0.0,0.0
836628fffffffff,10.0,0.0,0.0,0.0
836629fffffffff,394.0,7.0,0.0,0.0
83662afffffffff,1.0,0.0,0.0,0.0
83662bfffffffff,64.0,2.0,0.0,0.0
