cell_id,Arremonops rufivirgatus,Arremonops rufivirgatus [rufivirgatus Group],Arremonops rufivirgatus [superciliosus Group]
834424fffffffff,45.0,0.0,0.0
834501fffffffff,33.0,0.0,0.0
834505fffffffff,121.0,0.0,0.0
834508fffffffff,629.0,51.0,0.0
834509fffffffff,1923.0,359.0,0.0
83450afffffffff,494.0,5.0,0.0
83450bfffffffff,313.0,47.0,0.0
83450cfffffffff,92.0,1.0,0.0
83450dfffffffff,562.0,193.0,0.0
83450efffffffff,171.0,0.0,0.0
834519fffffffff,1.0,0.0,0.0
834521fffffffff,9.0,0.0,0.0
834528fffffffff,36.0,2.0,0.0
83452afffffffff,907.0,0.0,0.0
83452bfffffffff,39.0,0.0,0.0
83452cfffffffff,308.0,58.0,0.0
83452dfffffffff,5.0,0.0,0.0
83452efffffffff,198.0,0.0,0.0
834554fffffffff,1.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
834569fffffffff,1.0,0.0,0.0
834572fffffffff,182.0,32.0,0.0
834576fffffffff,11.0,0.0,0.0
834806fffffffff,5.0,0.0,0.0
834833fffffffff,23.0,0.0,0.0
834836fffffffff,25.0,0.0,0.0
834880fffffffff,1068.0,0.0,0.0
834881fffffffff,60.0,0.0,0.0
834882fffffffff,1221.0,0.0,0.0
834883fffffffff,1505.0,0.0,0.0
834884fffffffff,88.0,13.0,0.0
834885fffffffff,12.0,0.0,0.0
834886fffffffff,781.0,0.0,0.0
83488cfffffffff,8.0,0.0,0.0
83488efffffffff,875.0,0.0,0.0
834890fffffffff,32.0,0.0,0.0
834891fffffffff,205.0,0.0,0.0
834895fffffffff,1970.0,0.0,0.0
83489cfffffffff,1229.0,0.0,0.0
83489dfffffffff,435.0,0.0,0.0
8348a2fffffffff,1837.0,211.0,0.0
8348a6fffffffff,8.0,0.0,0.0
8348b0fffffffff,1.0,0.0,0.0
8348b1fffffffff,5272.0,32.0,0.0
8348b2fffffffff,2916.0,0.0,0.0
8348b3fffffffff,22790.0,0.0,0.0
8348b4fffffffff,18.0,0.0,0.0
8348b5fffffffff,220.0,4.0,0.0
834990fffffffff,51.0,0.0,0.0
834991fffffffff,13.0,0.0,0.0
834993fffffffff,2.0,0.0,0.0
834996fffffffff,400.0,100.0,0.0
834998fffffffff,402.0,13.0,0.0
83499afffffffff,7.0,2.0,0.0
83499bfffffffff,106.0,12.0,0.0
83499cfffffffff,49.0,0.0,0.0
83499dfffffffff,2.0,0.0,0.0
83499efffffffff,112.0,0.0,0.0
8349a2fffffffff,44.0,0.0,10.0
8349a3fffffffff,28.0,0.0,4.0
8349a8fffffffff,82.0,0.0,6.0
8349a9fffffffff,71.0,0.0,5.0
8349adfffffffff,20.0,0.0,4.0
8349aefffffffff,5.0,0.0,0.0
8349b0fffffffff,16.0,0.0,0.0
8349b5fffffffff,13.0,0.0,8.0
8349b6fffffffff,6.0,0.0,0.0
8366b6fffffffff,1.0,0.0,0.0
836d04fffffffff,1.0,0.0,1.0
836d06fffffffff,14.0,0.0,0.0
836d14fffffffff,6.0,0.0,2.0
836d15fffffffff,582.0,0.0,82.0
836d22fffffffff,12.0,2.0,0.0
836d23fffffffff,782.0,0.0,136.0
836d26fffffffff,2.0,0.0,0.0
836d28fffffffff,2.0,0.0,0.0
836d2cfffffffff,14.0,0.0,0.0
836d2efffffffff,26.0,0.0,2.0
836d30fffffffff,144.0,26.0,0.0
836d31fffffffff,132.0,36.0,0.0
836d32fffffffff,1.0,0.0,0.0
836d33fffffffff,70.0,0.0,14.0
836d34fffffffff,15.0,4.0,0.0
836d35fffffffff,48.0,2.0,0.0
836d36fffffffff,13.0,0.0,0.0
836d61fffffffff,383.0,0.0,0.0
836d68fffffffff,544.0,0.0,0.0
836d69fffffffff,1859.0,0.0,0.0
836d6bfffffffff,2474.0,0.0,0.0
836d6cfffffffff,4.0,0.0,0.0
836d6efffffffff,367.0,0.0,0.0
