cell_id,Catharus ustulatus,Catharus ustulatus [ustulatus Group],Catharus ustulatus [swainsoni Group]
830743fffffffff,3.0,0.0,0.0
83075dfffffffff,7.0,0.0,0.0
8309a4fffffffff,4.0,0.0,0.0
8309a6fffffffff,2.0,0.0,0.0
830c03fffffffff,2.0,0.0,0.0
830c14fffffffff,3.0,0.0,0.0
830c2afffffffff,6.0,0.0,2.0
830c41fffffffff,28.0,0.0,4.0
830c42fffffffff,1.0,0.0,0.0
830c46fffffffff,7.0,0.0,5.0
830c50fffffffff,1.0,0.0,0.0
830c51fffffffff,2.0,0.0,0.0
830c55fffffffff,10.0,0.0,0.0
830c64fffffffff,10.0,0.0,0.0
830c70fffffffff,3.0,0.0,0.0
830c71fffffffff,3.0,0.0,0.0
830c73fffffffff,9.0,0.0,2.0
830c74fffffffff,2.0,0.0,0.0
830c75fffffffff,2.0,0.0,0.0
830ca4fffffffff,18.0,0.0,0.0
830ce3fffffffff,3.0,0.0,0.0
830d40fffffffff,8.0,0.0,0.0
830d42fffffffff,4.0,0.0,0.0
830d49fffffffff,7.0,0.0,0.0
830d4afffffffff,2.0,0.0,0.0
830d52fffffffff,4.0,0.0,0.0
830d53fffffffff,1.0,0.0,0.0
830d56fffffffff,5.0,0.0,0.0
830d59fffffffff,2.0,0.0,0.0
830d5afffffffff,11.0,0.0,0.0
830d5bfffffffff,4.0,0.0,0.0
830d5efffffffff,1.0,0.0,0.0
830e45fffffffff,4.0,0.0,0.0
830e48fffffffff,4.0,0.0,0.0
830e49fffffffff,2.0,0.0,0.0
830e4afffffffff,1.0,0.0,0.0
830e4bfffffffff,1.0,0.0,0.0
830e4dfffffffff,6.0,0.0,0.0
830e6afffffffff,3.0,0.0,0.0
830ec5fffffffff,2.0,0.0,0.0
830eccfffffffff,14.0,0.0,0.0
830ed8fffffffff,4.0,0.0,0.0
830eeafffffffff,13.0,0.0,0.0
830ef2fffffffff,1.0,0.0,0.0
83121efffffffff,2.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0
831232fffffffff,8.0,0.0,0.0
831233fffffffff,8.0,0.0,0.0
83124bfffffffff,3.0,0.0,0.0
831259fffffffff,3.0,0.0,0.0
83125dfffffffff,6.0,0.0,0.0
83128bfffffffff,105.0,0.0,0.0
831298fffffffff,2.0,0.0,0.0
8312b0fffffffff,4.0,0.0,0.0
8312b4fffffffff,1.0,0.0,0.0
8312c1fffffffff,37.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0
8312c9fffffffff,2.0,0.0,2.0
8312cafffffffff,8.0,0.0,3.0
8312cbfffffffff,9.0,0.0,4.0
8312ccfffffffff,16.0,0.0,0.0
8312cdfffffffff,5.0,0.0,0.0
8312cefffffffff,1.0,0.0,0.0
8312d1fffffffff,3.0,0.0,0.0
8312d8fffffffff,53.0,0.0,47.0
8312d9fffffffff,4.0,0.0,0.0
8312dbfffffffff,3.0,0.0,3.0
8312ddfffffffff,4.0,0.0,1.0
8312defffffffff,1.0,0.0,1.0
8312e5fffffffff,5.0,0.0,0.0
8312e8fffffffff,2.0,0.0,0.0
8312f6fffffffff,7.0,0.0,0.0
831349fffffffff,2.0,0.0,0.0
831380fffffffff,2.0,0.0,0.0
831383fffffffff,68.0,0.0,0.0
831386fffffffff,14.0,0.0,0.0
83138cfffffffff,17.0,0.0,0.0
83138dfffffffff,4.0,0.0,0.0
8313a3fffffffff,4.0,0.0,0.0
8313a9fffffffff,1.0,0.0,0.0
8313b5fffffffff,2.0,0.0,0.0
831653fffffffff,2.0,0.0,0.0
83180cfffffffff,1.0,0.0,0.0
831823fffffffff,2.0,0.0,0.0
831873fffffffff,2.0,0.0,0.0
831876fffffffff,14.0,0.0,0.0
831aa2fffffffff,4.0,0.0,0.0
831aa3fffffffff,11.0,0.0,0.0
831aa4fffffffff,2.0,0.0,0.0
831aa6fffffffff,5.0,0.0,0.0
831ab0fffffffff,2.0,0.0,0.0
831b83fffffffff,2.0,0.0,0.0
831b98fffffffff,7.0,0.0,0.0
831b99fffffffff,2.0,0.0,0.0
831b9afffffffff,11.0,0.0,0.0
831b9bfffffffff,2.0,0.0,0.0
831b9cfffffffff,2.0,0.0,0.0
831b9efffffffff,37.0,0.0,0.0
831bb0fffffffff,8.0,0.0,0.0
831bb3fffffffff,1.0,0.0,0.0
8322dbfffffffff,18.0,0.0,0.0
832601fffffffff,3.0,0.0,1.0
832603fffffffff,5.0,0.0,0.0
832605fffffffff,2.0,0.0,0.0
832608fffffffff,21.0,0.0,1.0
83260afffffffff,4.0,0.0,0.0
83260bfffffffff,15.0,0.0,3.0
83260dfffffffff,4.0,0.0,0.0
83260efffffffff,7.0,0.0,2.0
832612fffffffff,2.0,0.0,0.0
832616fffffffff,2.0,0.0,0.0
83261bfffffffff,2.0,0.0,0.0
83261dfffffffff,2.0,0.0,0.0
832622fffffffff,2.0,0.0,2.0
832625fffffffff,3.0,0.0,0.0
832626fffffffff,9.0,0.0,0.0
832629fffffffff,10.0,0.0,0.0
83262bfffffffff,20.0,0.0,0.0
83262cfffffffff,8.0,0.0,0.0
83262dfffffffff,2.0,0.0,0.0
83262efffffffff,3.0,0.0,0.0
832630fffffffff,2.0,0.0,2.0
832631fffffffff,2.0,0.0,2.0
832633fffffffff,2.0,0.0,2.0
832636fffffffff,2.0,0.0,0.0
832640fffffffff,16.0,0.0,0.0
832641fffffffff,3.0,0.0,0.0
832642fffffffff,2.0,0.0,0.0
832643fffffffff,1.0,0.0,0.0
832646fffffffff,19.0,0.0,0.0
832648fffffffff,17.0,0.0,6.0
832649fffffffff,9.0,0.0,0.0
83264afffffffff,9.0,0.0,0.0
83264bfffffffff,13.0,0.0,0.0
83264cfffffffff,16.0,0.0,1.0
83264dfffffffff,20.0,0.0,0.0
83264efffffffff,18.0,0.0,0.0
832651fffffffff,4.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0
832653fffffffff,3.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0
832655fffffffff,4.0,0.0,0.0
832656fffffffff,40.0,0.0,0.0
832658fffffffff,4.0,0.0,0.0
832659fffffffff,10.0,0.0,0.0
83265bfffffffff,10.0,0.0,0.0
83265dfffffffff,15.0,0.0,0.0
83265efffffffff,4.0,0.0,0.0
832660fffffffff,8.0,0.0,0.0
832661fffffffff,10.0,0.0,0.0
832662fffffffff,18.0,0.0,0.0
832663fffffffff,11.0,0.0,0.0
832664fffffffff,104.0,0.0,15.0
832665fffffffff,5.0,0.0,0.0
832666fffffffff,12.0,0.0,0.0
832668fffffffff,32.0,0.0,0.0
83266afffffffff,8.0,0.0,5.0
83266bfffffffff,15.0,0.0,0.0
83266cfffffffff,3.0,0.0,1.0
83266dfffffffff,11.0,0.0,0.0
83266efffffffff,1.0,0.0,0.0
832671fffffffff,2.0,0.0,0.0
832674fffffffff,5.0,0.0,0.0
832675fffffffff,4.0,0.0,0.0
832676fffffffff,4.0,0.0,0.0
832680fffffffff,30.0,0.0,9.0
832681fffffffff,21.0,0.0,0.0
832683fffffffff,14.0,0.0,0.0
832684fffffffff,2.0,0.0,2.0
832685fffffffff,2.0,0.0,0.0
832688fffffffff,40.0,0.0,12.0
832689fffffffff,2.0,0.0,0.0
83268cfffffffff,25.0,0.0,0.0
83268dfffffffff,55.0,5.0,9.0
83268efffffffff,2.0,0.0,0.0
832690fffffffff,29.0,0.0,5.0
832696fffffffff,262.0,0.0,67.0
832698fffffffff,19.0,0.0,0.0
832699fffffffff,2.0,0.0,0.0
83269cfffffffff,7.0,0.0,2.0
83269dfffffffff,2.0,0.0,0.0
83269efffffffff,19.0,0.0,0.0
8326a4fffffffff,2.0,0.0,2.0
8326a5fffffffff,5.0,0.0,4.0
8326a8fffffffff,13.0,1.0,6.0
8326a9fffffffff,7.0,1.0,4.0
8326aafffffffff,51.0,2.0,14.0
8326abfffffffff,51.0,4.0,11.0
8326acfffffffff,5.0,0.0,0.0
8326adfffffffff,5.0,0.0,2.0
