cell_id,Peucaea botterii,Peucaea botterii [botterii Group],Peucaea botterii [petenica Group]
834505fffffffff,13.0,0.0,2.0
834509fffffffff,80.0,0.0,44.0
83450bfffffffff,135.0,0.0,9.0
83450dfffffffff,6.0,0.0,3.0
83452afffffffff,439.0,0.0,27.0
83452cfffffffff,269.0,0.0,99.0
83452dfffffffff,2.0,0.0,0.0
83452efffffffff,41.0,0.0,0.0
834572fffffffff,6.0,0.0,2.0
834809fffffffff,4.0,0.0,0.0
83480afffffffff,4.0,0.0,0.0
834814fffffffff,2.0,0.0,0.0
834816fffffffff,5.0,0.0,0.0
83481dfffffffff,4.0,0.0,0.0
834833fffffffff,2.0,0.0,0.0
834836fffffffff,9.0,0.0,0.0
834852fffffffff,7.0,0.0,0.0
834884fffffffff,2.0,0.0,0.0
834895fffffffff,18.0,0.0,0.0
8348a0fffffffff,28.0,0.0,0.0
8348a2fffffffff,18.0,0.0,0.0
8348a6fffffffff,59.0,0.0,0.0
8348aafffffffff,1.0,0.0,0.0
8348b1fffffffff,8.0,0.0,0.0
8348b2fffffffff,206.0,0.0,0.0
8348b3fffffffff,626.0,0.0,0.0
8348b4fffffffff,2.0,0.0,0.0
8348b5fffffffff,22.0,0.0,0.0
8348c5fffffffff,1005.0,0.0,0.0
8348e0fffffffff,2.0,0.0,0.0
8348e3fffffffff,28.0,0.0,0.0
8348e5fffffffff,4.0,0.0,0.0
8348e8fffffffff,2366.0,0.0,0.0
8348eafffffffff,23.0,0.0,0.0
8348ecfffffffff,1190.0,0.0,0.0
8348eefffffffff,4918.0,0.0,0.0
834980fffffffff,15.0,0.0,0.0
834982fffffffff,36.0,0.0,0.0
834983fffffffff,2.0,0.0,0.0
834985fffffffff,4.0,0.0,0.0
834986fffffffff,6.0,0.0,0.0
834988fffffffff,6.0,0.0,0.0
834989fffffffff,2.0,0.0,0.0
83498cfffffffff,2.0,0.0,0.0
83498efffffffff,3.0,0.0,0.0
834990fffffffff,1.0,0.0,0.0
834994fffffffff,114.0,0.0,0.0
834995fffffffff,344.0,28.0,0.0
834996fffffffff,160.0,0.0,0.0
83499dfffffffff,1.0,0.0,0.0
8349a8fffffffff,18.0,0.0,0.0
8349a9fffffffff,2.0,0.0,0.0
8349aafffffffff,69.0,0.0,0.0
8349b0fffffffff,3.0,0.0,0.0
8349b3fffffffff,44.0,0.0,0.0
836790fffffffff,3.0,0.0,0.0
836d23fffffffff,13.0,0.0,0.0
836d25fffffffff,26.0,0.0,0.0
836d2dfffffffff,22.0,0.0,0.0
836d2efffffffff,4.0,0.0,0.0
836d32fffffffff,266.0,4.0,0.0
836d34fffffffff,3.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d68fffffffff,44.0,0.0,0.0
