cell_id,Leucocarbo chalconotus,Leucocarbo chalconotus chalconotus,Leucocarbo chalconotus stewarti
84da841ffffffff,82.0,65.0,0.0
84da843ffffffff,744.0,404.0,0.0
84da847ffffffff,344.0,256.0,0.0
84da84bffffffff,3.0,0.0,0.0
84da851ffffffff,9.0,4.0,0.0
84da859ffffffff,85.0,31.0,0.0
84da85bffffffff,17.0,8.0,0.0
84da85dffffffff,19.0,17.0,0.0
84da865ffffffff,1.0,1.0,0.0
84da86bffffffff,183.0,78.0,0.0
84da8c9ffffffff,8.0,0.0,0.0
84da8cdffffffff,2.0,0.0,0.0
84da8edffffffff,2.0,0.0,0.0
84daa85ffffffff,1.0,0.0,0.0
84daaa1ffffffff,375.0,0.0,130.0
84daaa3ffffffff,6.0,0.0,2.0
84daaa7ffffffff,64.0,0.0,22.0
84daaa9ffffffff,46.0,0.0,14.0
84daaabffffffff,603.0,0.0,126.0
84daaadffffffff,20.0,0.0,7.0
84daabdffffffff,4.0,0.0,4.0
