cell_id,Hylopezus perspicillatus,Hylopezus perspicillatus intermedius,Hylopezus perspicillatus lizanoi,Hylopezus perspicillatus perspicillatus,Hylopezus perspicillatus periophthalmicus,Hylopezus perspicillatus pallidior
84660a7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84660e7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661cdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466a51ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8466a57ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466d35ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466f5dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846d691ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
846d693ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d697ffffffff,4.0,0.0,4.0,0.0,0.0,0.0
846d69dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
