cell_id,Rallus elegans,Rallus elegans elegans,Rallus elegans ramsdeni
822607fffffffff,1.0,0.0,0.0
82260ffffffffff,36.0,4.0,0.0
822627fffffffff,21.0,0.0,0.0
82262ffffffffff,2.0,0.0,0.0
822647fffffffff,68.0,0.0,0.0
82264ffffffffff,33.0,0.0,0.0
822657fffffffff,8.0,0.0,0.0
82265ffffffffff,4.0,0.0,0.0
822667fffffffff,154.0,3.0,0.0
82266ffffffffff,39.0,0.0,0.0
822677fffffffff,1.0,0.0,0.0
82268ffffffffff,5.0,0.0,0.0
8226c7fffffffff,2.0,0.0,0.0
8226cffffffffff,24.0,0.0,0.0
8226dffffffffff,1.0,0.0,0.0
8226e7fffffffff,76.0,1.0,0.0
8226effffffffff,3.0,0.0,0.0
822747fffffffff,3.0,0.0,0.0
82274ffffffffff,46.0,0.0,0.0
82275ffffffffff,128.0,1.0,0.0
82276ffffffffff,17.0,0.0,0.0
822a17fffffffff,286.0,4.0,0.0
822a37fffffffff,277.0,5.0,0.0
822a87fffffffff,11.0,0.0,0.0
822a8ffffffffff,21.0,0.0,0.0
822a97fffffffff,189.0,2.0,0.0
822aa7fffffffff,14.0,2.0,0.0
822aaffffffffff,738.0,9.0,0.0
822ab7fffffffff,460.0,2.0,0.0
822ad7fffffffff,71.0,0.0,0.0
822af7fffffffff,170.0,0.0,0.0
822b07fffffffff,10.0,0.0,0.0
822b8ffffffffff,1.0,0.0,0.0
822baffffffffff,17.0,0.0,0.0
824417fffffffff,49.0,0.0,0.0
82441ffffffffff,329.0,3.0,0.0
824437fffffffff,39.0,0.0,11.0
824447fffffffff,79.0,0.0,0.0
82444ffffffffff,15.0,0.0,0.0
824457fffffffff,444.0,0.0,0.0
82445ffffffffff,10.0,0.0,0.0
824467fffffffff,11.0,0.0,0.0
82446ffffffffff,34.0,2.0,0.0
824477fffffffff,3.0,0.0,0.0
8244a7fffffffff,4.0,0.0,0.0
8244affffffffff,228.0,0.0,0.0
8244c7fffffffff,223.0,5.0,0.0
8244cffffffffff,20.0,0.0,0.0
8244d7fffffffff,931.0,0.0,0.0
8244dffffffffff,3.0,0.0,0.0
8244e7fffffffff,168.0,0.0,0.0
8244effffffffff,22.0,0.0,0.0
8244f7fffffffff,43.0,5.0,0.0
82458ffffffffff,25.0,0.0,6.0
824897fffffffff,266.0,0.0,0.0
82489ffffffffff,2.0,0.0,0.0
8248b7fffffffff,227.0,1.0,0.0
8248d7fffffffff,4.0,0.0,0.0
824997fffffffff,3.0,1.0,0.0
826d37fffffffff,7.0,0.0,0.0
