cell_id,Terpsiphone atrocaudata,Terpsiphone atrocaudata atrocaudata/illex,Terpsiphone atrocaudata periophthalmica
822f5ffffffffff,1.0,0.0,0.0
82309ffffffffff,26.0,0.0,0.0
824a97fffffffff,1.0,0.0,0.0
824b87fffffffff,4.0,0.0,0.0
824b9ffffffffff,1.0,0.0,0.0
824ba7fffffffff,12.0,0.0,0.0
824bb7fffffffff,2.0,0.0,0.0
8264a7fffffffff,1.0,0.0,0.0
826507fffffffff,8.0,0.0,0.0
82651ffffffffff,62.0,0.0,0.0
826527fffffffff,52.0,0.0,0.0
826587fffffffff,15.0,0.0,0.0
82658ffffffffff,15.0,0.0,0.0
8265b7fffffffff,4.0,0.0,0.0
82684ffffffffff,1.0,0.0,0.0
826947fffffffff,5.0,0.0,0.0
82694ffffffffff,1.0,0.0,0.0
828c17fffffffff,4.0,0.0,0.0
828d8ffffffffff,1.0,0.0,0.0
