cell_id,Caprimulgus poliocephalus,Caprimulgus poliocephalus poliocephalus,Caprimulgus poliocephalus [ruwenzorii Group]
835202fffffffff,7.0,6.0,0.0
835206fffffffff,5.0,5.0,0.0
835230fffffffff,1.0,0.0,0.0
835283fffffffff,9.0,9.0,0.0
835291fffffffff,1.0,1.0,0.0
835298fffffffff,7.0,7.0,0.0
83529bfffffffff,25.0,25.0,0.0
836a5afffffffff,1.0,1.0,0.0
836acefffffffff,1.0,0.0,1.0
836adcfffffffff,130.0,0.0,126.0
836adefffffffff,34.0,0.0,32.0
836aeefffffffff,3.0,3.0,0.0
837a40fffffffff,8.0,7.0,0.0
837a41fffffffff,2.0,2.0,0.0
837a45fffffffff,99.0,93.0,0.0
837a48fffffffff,6.0,6.0,0.0
837a4cfffffffff,7.0,4.0,0.0
837a61fffffffff,3.0,3.0,0.0
837a68fffffffff,51.0,50.0,0.0
837a6afffffffff,52.0,45.0,0.0
837a6cfffffffff,1.0,1.0,0.0
837a6dfffffffff,2.0,2.0,0.0
837a6efffffffff,141.0,126.0,0.0
837acafffffffff,6.0,4.0,0.0
837accfffffffff,17.0,15.0,0.0
837acdfffffffff,6.0,6.0,0.0
837acefffffffff,2.0,2.0,0.0
837ad9fffffffff,2.0,2.0,0.0
837ae8fffffffff,2.0,2.0,0.0
837b48fffffffff,2.0,0.0,2.0
837b4bfffffffff,5.0,0.0,5.0
838333fffffffff,2.0,0.0,2.0
839692fffffffff,40.0,40.0,0.0
839693fffffffff,59.0,37.0,20.0
8396a5fffffffff,31.0,0.0,31.0
8396b0fffffffff,23.0,0.0,19.0
8396b1fffffffff,4.0,4.0,0.0
839789fffffffff,4.0,0.0,4.0
