cell_id,Batis capensis,Batis capensis [erythrophthalma Group],Batis capensis capensis
839703fffffffff,59.0,6.0,0.0
83971cfffffffff,26.0,0.0,0.0
839728fffffffff,13.0,2.0,0.0
83972dfffffffff,234.0,43.0,0.0
83972efffffffff,1.0,0.0,0.0
839772fffffffff,3.0,0.0,0.0
83ad32fffffffff,6.0,0.0,0.0
83ad36fffffffff,650.0,0.0,210.0
83bc09fffffffff,11.0,0.0,2.0
83bc0bfffffffff,1.0,0.0,0.0
83bc19fffffffff,5.0,0.0,0.0
83bc1bfffffffff,7.0,0.0,1.0
83bc40fffffffff,15.0,0.0,0.0
83bc41fffffffff,3.0,0.0,1.0
83bc43fffffffff,2.0,0.0,0.0
83bc44fffffffff,86.0,0.0,11.0
83bc45fffffffff,211.0,0.0,46.0
83bc46fffffffff,9.0,0.0,0.0
83bc49fffffffff,16.0,0.0,2.0
83bc4dfffffffff,20.0,0.0,1.0
83bc54fffffffff,10.0,0.0,0.0
83bc55fffffffff,1.0,0.0,0.0
83bc68fffffffff,34.0,0.0,15.0
83bc69fffffffff,282.0,0.0,95.0
83bc6afffffffff,171.0,0.0,47.0
83bc6bfffffffff,17.0,0.0,0.0
83bc71fffffffff,14.0,0.0,0.0
83bc72fffffffff,3.0,0.0,0.0
83bc73fffffffff,49.0,0.0,2.0
83bcc4fffffffff,3.0,0.0,2.0
83bcc6fffffffff,2.0,0.0,0.0
83bcd0fffffffff,236.0,51.0,0.0
83bcd1fffffffff,4.0,0.0,0.0
83bcd2fffffffff,19.0,2.0,0.0
83bcd3fffffffff,29.0,6.0,0.0
83bcd4fffffffff,11.0,0.0,0.0
83bcd5fffffffff,8.0,7.0,0.0
83bcd6fffffffff,3.0,2.0,0.0
83bce2fffffffff,20.0,0.0,5.0
83bce5fffffffff,4.0,0.0,0.0
83bce6fffffffff,14.0,1.0,4.0
83bcf0fffffffff,22.0,6.0,2.0
83bcf2fffffffff,3.0,0.0,2.0
83bcf3fffffffff,12.0,2.0,0.0
83bcf4fffffffff,6.0,0.0,3.0
83bcf5fffffffff,32.0,8.0,10.0
