cell_id,Synallaxis albescens,Synallaxis albescens [albescens Group],Synallaxis albescens australis
825e67fffffffff,1.0,0.0,0.0
825f0ffffffffff,108.0,0.0,0.0
825f17fffffffff,4.0,0.0,0.0
825f1ffffffffff,102.0,0.0,0.0
825f27fffffffff,19.0,0.0,0.0
825f2ffffffffff,54.0,0.0,0.0
825f47fffffffff,72.0,0.0,0.0
825f4ffffffffff,224.0,0.0,0.0
825f57fffffffff,6.0,0.0,0.0
825f5ffffffffff,324.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,4.0,0.0,0.0
825f77fffffffff,136.0,0.0,0.0
826607fffffffff,159.0,0.0,0.0
82660ffffffffff,1909.0,0.0,0.0
826617fffffffff,202.0,0.0,0.0
82661ffffffffff,4828.0,0.0,0.0
826627fffffffff,741.0,0.0,0.0
82662ffffffffff,318.0,0.0,0.0
826637fffffffff,62.0,0.0,0.0
826647fffffffff,109.0,0.0,0.0
826657fffffffff,187.0,0.0,0.0
82665ffffffffff,13.0,0.0,0.0
826667fffffffff,75.0,0.0,0.0
82666ffffffffff,7.0,0.0,0.0
826677fffffffff,243.0,0.0,0.0
8266a7fffffffff,412.0,0.0,0.0
8266b7fffffffff,2881.0,0.0,0.0
8266c7fffffffff,806.0,0.0,0.0
8266d7fffffffff,60.0,0.0,0.0
8266e7fffffffff,5657.0,0.0,0.0
8266effffffffff,333.0,0.0,0.0
8266f7fffffffff,1967.0,0.0,0.0
826747fffffffff,620.0,0.0,0.0
82674ffffffffff,2076.0,0.0,0.0
826757fffffffff,1294.0,0.0,0.0
82675ffffffffff,587.0,0.0,0.0
82676ffffffffff,8.0,0.0,0.0
826d6ffffffffff,95.0,0.0,0.0
828007fffffffff,1.0,0.0,0.0
82800ffffffffff,3.0,0.0,0.0
828017fffffffff,8.0,0.0,0.0
828037fffffffff,33.0,0.0,0.0
828047fffffffff,72.0,0.0,0.0
82804ffffffffff,26.0,0.0,0.0
828057fffffffff,30.0,0.0,0.0
828067fffffffff,42.0,0.0,0.0
82806ffffffffff,25.0,0.0,0.0
828077fffffffff,16.0,0.0,0.0
828107fffffffff,204.0,2.0,0.0
828117fffffffff,7.0,0.0,0.0
82811ffffffffff,1.0,0.0,0.0
828127fffffffff,158.0,0.0,0.0
82812ffffffffff,11.0,0.0,0.0
828137fffffffff,97.0,0.0,0.0
828147fffffffff,14.0,0.0,0.0
82814ffffffffff,269.0,0.0,0.0
82815ffffffffff,39.0,0.0,0.0
828167fffffffff,9.0,0.0,0.0
828177fffffffff,20.0,0.0,0.0
82818ffffffffff,3.0,0.0,0.0
82819ffffffffff,3.0,0.0,0.0
8281affffffffff,17.0,0.0,0.0
828a07fffffffff,14.0,0.0,0.0
828a17fffffffff,3.0,0.0,0.0
828a27fffffffff,5.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0
828a47fffffffff,6.0,0.0,0.0
828a8ffffffffff,13.0,0.0,0.0
828a97fffffffff,8.0,0.0,0.0
828aaffffffffff,14.0,0.0,0.0
828ab7fffffffff,2.0,0.0,0.0
828adffffffffff,79.0,0.0,0.0
828af7fffffffff,42.0,0.0,0.0
828b0ffffffffff,16.0,0.0,0.0
828b17fffffffff,1.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b27fffffffff,25.0,0.0,0.0
828b2ffffffffff,18.0,0.0,0.0
828b37fffffffff,2.0,0.0,0.0
828b57fffffffff,6.0,0.0,0.0
828b77fffffffff,18.0,0.0,0.0
828b87fffffffff,2.0,0.0,0.0
828b8ffffffffff,3.0,0.0,0.0
828b9ffffffffff,25.0,0.0,0.0
828ba7fffffffff,3.0,0.0,0.0
828bb7fffffffff,195.0,0.0,0.0
82a807fffffffff,19.0,0.0,0.0
82a817fffffffff,164.0,0.0,0.0
82a81ffffffffff,573.0,0.0,0.0
82a82ffffffffff,8.0,0.0,0.0
82a847fffffffff,27.0,0.0,0.0
82a857fffffffff,18.0,0.0,0.0
82a85ffffffffff,10.0,0.0,0.0
82a867fffffffff,5.0,0.0,0.0
82a86ffffffffff,2.0,0.0,0.0
82a877fffffffff,4.0,0.0,0.0
82a887fffffffff,81.0,0.0,0.0
82a88ffffffffff,171.0,0.0,0.0
82a897fffffffff,4.0,0.0,0.0
82a89ffffffffff,5.0,0.0,0.0
82a8a7fffffffff,63.0,0.0,0.0
82a8affffffffff,257.0,0.0,0.0
82a8c7fffffffff,52.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
82a8d7fffffffff,235.0,0.0,0.0
82a8dffffffffff,110.0,0.0,0.0
82a8e7fffffffff,4.0,0.0,0.0
82a8effffffffff,67.0,0.0,0.0
82a8f7fffffffff,69.0,0.0,0.0
82a947fffffffff,110.0,0.0,0.0
82a94ffffffffff,300.0,0.0,0.0
82a957fffffffff,4.0,0.0,0.0
82a95ffffffffff,80.0,0.0,0.0
82a967fffffffff,92.0,0.0,0.0
82a96ffffffffff,137.0,0.0,0.0
82a977fffffffff,6.0,0.0,0.0
82b22ffffffffff,2.0,0.0,0.0
82b247fffffffff,426.0,0.0,0.0
82b24ffffffffff,561.0,0.0,0.0
82b257fffffffff,72.0,0.0,0.0
82b25ffffffffff,596.0,0.0,0.0
82b267fffffffff,161.0,0.0,0.0
82b26ffffffffff,131.0,0.0,0.0
82b277fffffffff,88.0,0.0,0.0
82b2effffffffff,112.0,0.0,0.0
82b327fffffffff,2.0,0.0,0.0
82b347fffffffff,29.0,0.0,0.0
82b34ffffffffff,119.0,0.0,0.0
82b35ffffffffff,42.0,0.0,0.0
