cell_id,Chrysophlegma mentale,Chrysophlegma mentale humii,Chrysophlegma mentale mentale
836431fffffffff,1.0,1.0,0.0
836500fffffffff,94.0,2.0,0.0
836501fffffffff,1.0,0.0,0.0
836502fffffffff,30.0,0.0,0.0
836503fffffffff,15.0,0.0,0.0
836504fffffffff,9.0,0.0,0.0
836505fffffffff,67.0,0.0,0.0
836506fffffffff,3.0,0.0,0.0
836518fffffffff,20.0,1.0,0.0
83651bfffffffff,1.0,0.0,0.0
83651cfffffffff,67.0,25.0,0.0
83651dfffffffff,4.0,0.0,0.0
836520fffffffff,2.0,0.0,0.0
836522fffffffff,51.0,0.0,0.0
836526fffffffff,299.0,3.0,0.0
836802fffffffff,5.0,0.0,0.0
836811fffffffff,326.0,26.0,0.0
836812fffffffff,24.0,0.0,0.0
836818fffffffff,22.0,3.0,0.0
83681afffffffff,4.0,0.0,0.0
83681cfffffffff,22.0,0.0,0.0
836880fffffffff,1.0,0.0,0.0
83689afffffffff,1.0,0.0,0.0
8368a5fffffffff,3.0,0.0,0.0
8368acfffffffff,14.0,0.0,0.0
838c10fffffffff,46.0,0.0,2.0
838c1afffffffff,4.0,0.0,0.0
838c96fffffffff,15.0,0.0,0.0
838cadfffffffff,35.0,0.0,0.0
838cd5fffffffff,2.0,0.0,0.0
838cd6fffffffff,1.0,0.0,0.0
838d85fffffffff,4.0,0.0,0.0
838da2fffffffff,47.0,0.0,3.0
