cell_id,Icterus spurius,Icterus spurius spurius,Icterus spurius fuertesi
820e4ffffffffff,5.0,2.0,0.0
8212cffffffffff,2.0,0.0,0.0
8212dffffffffff,2.0,0.0,0.0
821aa7fffffffff,5.0,2.0,0.0
822607fffffffff,29.0,18.0,0.0
82260ffffffffff,74.0,25.0,0.0
822617fffffffff,20.0,4.0,0.0
82261ffffffffff,125.0,104.0,0.0
822627fffffffff,37.0,16.0,0.0
82262ffffffffff,11.0,0.0,0.0
822647fffffffff,54.0,0.0,0.0
82264ffffffffff,169.0,2.0,0.0
822657fffffffff,55.0,27.0,0.0
82265ffffffffff,36.0,3.0,0.0
822667fffffffff,76.0,3.0,0.0
82266ffffffffff,9.0,2.0,0.0
822677fffffffff,12.0,0.0,0.0
822687fffffffff,27.0,0.0,0.0
82268ffffffffff,108.0,3.0,0.0
822697fffffffff,6.0,0.0,0.0
82269ffffffffff,2.0,0.0,0.0
8226a7fffffffff,24.0,0.0,0.0
8226affffffffff,98.0,2.0,0.0
8226c7fffffffff,27.0,0.0,0.0
8226cffffffffff,31.0,2.0,0.0
8226d7fffffffff,53.0,0.0,0.0
8226dffffffffff,10.0,0.0,0.0
8226e7fffffffff,40.0,11.0,0.0
8226effffffffff,5.0,0.0,0.0
8226f7fffffffff,42.0,0.0,0.0
822707fffffffff,2.0,0.0,0.0
82270ffffffffff,9.0,0.0,0.0
822717fffffffff,4.0,0.0,0.0
822747fffffffff,49.0,0.0,0.0
82274ffffffffff,176.0,1.0,0.0
822757fffffffff,102.0,1.0,0.0
82275ffffffffff,137.0,0.0,0.0
822767fffffffff,1.0,0.0,0.0
82276ffffffffff,102.0,7.0,0.0
822777fffffffff,7.0,0.0,0.0
822787fffffffff,12.0,2.0,0.0
82278ffffffffff,8.0,0.0,0.0
822797fffffffff,12.0,0.0,0.0
82279ffffffffff,17.0,1.0,0.0
8227a7fffffffff,8.0,0.0,0.0
8227affffffffff,20.0,0.0,0.0
8227b7fffffffff,1.0,0.0,0.0
822807fffffffff,35.0,0.0,0.0
82281ffffffffff,53.0,3.0,0.0
822837fffffffff,833.0,12.0,0.0
822897fffffffff,1.0,0.0,0.0
8228affffffffff,9.0,0.0,0.0
8228c7fffffffff,159.0,0.0,0.0
8228d7fffffffff,22.0,2.0,0.0
8228f7fffffffff,106.0,0.0,0.0
822917fffffffff,148.0,2.0,0.0
82291ffffffffff,36.0,2.0,0.0
822987fffffffff,35.0,0.0,0.0
82298ffffffffff,14.0,0.0,0.0
822997fffffffff,7.0,0.0,0.0
8229a7fffffffff,446.0,0.0,0.0
8229affffffffff,86.0,2.0,0.0
8229b7fffffffff,19.0,0.0,0.0
822a07fffffffff,2.0,0.0,0.0
822a17fffffffff,1222.0,14.0,0.0
822a37fffffffff,340.0,5.0,0.0
822a87fffffffff,50.0,0.0,0.0
822a8ffffffffff,66.0,4.0,0.0
822a97fffffffff,20.0,0.0,0.0
822aa7fffffffff,110.0,2.0,0.0
822aaffffffffff,916.0,27.0,0.0
822ab7fffffffff,774.0,480.0,0.0
822ad7fffffffff,39.0,3.0,0.0
822af7fffffffff,21.0,0.0,0.0
822b07fffffffff,27.0,0.0,0.0
822b0ffffffffff,52.0,0.0,0.0
822b17fffffffff,6.0,0.0,0.0
822b1ffffffffff,113.0,1.0,0.0
822b27fffffffff,9.0,0.0,0.0
822b2ffffffffff,2.0,0.0,0.0
822b37fffffffff,7.0,0.0,0.0
822b87fffffffff,32.0,0.0,0.0
822b8ffffffffff,230.0,8.0,0.0
822b97fffffffff,4.0,0.0,0.0
822b9ffffffffff,556.0,55.0,0.0
822ba7fffffffff,19.0,0.0,0.0
822baffffffffff,303.0,4.0,0.0
824417fffffffff,22.0,1.0,0.0
82441ffffffffff,75.0,2.0,0.0
824437fffffffff,6.0,0.0,0.0
824447fffffffff,67.0,3.0,0.0
82444ffffffffff,52.0,0.0,0.0
824457fffffffff,50.0,0.0,0.0
82445ffffffffff,2.0,0.0,0.0
824467fffffffff,22.0,0.0,0.0
82446ffffffffff,58.0,8.0,0.0
824477fffffffff,56.0,0.0,0.0
824487fffffffff,4.0,0.0,0.0
8244a7fffffffff,31.0,0.0,0.0
8244affffffffff,58.0,0.0,0.0
8244c7fffffffff,36.0,0.0,0.0
8244cffffffffff,78.0,0.0,0.0
8244d7fffffffff,42.0,2.0,0.0
8244dffffffffff,102.0,0.0,0.0
8244e7fffffffff,14.0,0.0,0.0
8244effffffffff,8.0,2.0,0.0
8244f7fffffffff,63.0,2.0,0.0
824507fffffffff,3.0,1.0,0.0
82450ffffffffff,25.0,3.0,0.0
824527fffffffff,41.0,6.0,0.0
82452ffffffffff,111.0,14.0,0.0
824577fffffffff,1.0,0.0,0.0
82458ffffffffff,5.0,0.0,0.0
8245a7fffffffff,2.0,0.0,0.0
824807fffffffff,6.0,0.0,0.0
82480ffffffffff,19.0,11.0,0.0
824817fffffffff,8.0,0.0,0.0
82481ffffffffff,1.0,0.0,0.0
824827fffffffff,71.0,0.0,0.0
82482ffffffffff,4.0,0.0,0.0
824837fffffffff,106.0,89.0,0.0
824847fffffffff,26.0,0.0,0.0
82484ffffffffff,6.0,0.0,0.0
82485ffffffffff,18.0,0.0,0.0
824877fffffffff,12.0,0.0,0.0
824887fffffffff,61.0,0.0,0.0
82488ffffffffff,16.0,0.0,0.0
824897fffffffff,48.0,1.0,0.0
82489ffffffffff,53.0,2.0,0.0
8248a7fffffffff,1.0,0.0,0.0
8248affffffffff,1.0,0.0,0.0
8248b7fffffffff,121.0,8.0,0.0
8248c7fffffffff,8.0,0.0,0.0
8248cffffffffff,21.0,2.0,0.0
8248d7fffffffff,17.0,2.0,0.0
8248dffffffffff,35.0,0.0,0.0
8248effffffffff,53.0,0.0,0.0
824987fffffffff,32.0,2.0,0.0
824997fffffffff,188.0,2.0,4.0
82499ffffffffff,4.0,0.0,0.0
8249a7fffffffff,2.0,0.0,0.0
8249affffffffff,5.0,0.0,0.0
8249b7fffffffff,12.0,8.0,0.0
824cc7fffffffff,12.0,0.0,0.0
824ceffffffffff,19.0,0.0,0.0
825e5ffffffffff,3.0,0.0,0.0
826617fffffffff,11.0,0.0,0.0
82661ffffffffff,3.0,0.0,0.0
82662ffffffffff,3.0,0.0,0.0
