cell_id,Canachites canadensis,Canachites canadensis [canadensis Group],Canachites canadensis franklinii/isleibi,Canachites canadensis [canadensis Group] x franklinii/isleibi
820c47fffffffff,9.0,7.0,0.0,0.0
820c57fffffffff,10.0,0.0,0.0,0.0
820c67fffffffff,2.0,0.0,0.0,0.0
820c77fffffffff,6.0,0.0,0.0,0.0
820ceffffffffff,2.0,0.0,0.0,0.0
820d5ffffffffff,1.0,0.0,0.0,0.0
820e5ffffffffff,2.0,0.0,0.0,0.0
820e6ffffffffff,1.0,0.0,0.0,0.0
820e87fffffffff,1.0,1.0,0.0,0.0
820ecffffffffff,9.0,0.0,0.0,0.0
820eeffffffffff,3.0,0.0,0.0,0.0
820f4ffffffffff,2.0,0.0,0.0,0.0
820f5ffffffffff,1.0,0.0,0.0,0.0
82124ffffffffff,11.0,0.0,0.0,0.0
821257fffffffff,3.0,2.0,0.0,0.0
82125ffffffffff,1.0,1.0,0.0,0.0
821277fffffffff,2.0,0.0,0.0,0.0
821287fffffffff,2.0,0.0,0.0,0.0
82128ffffffffff,2.0,0.0,0.0,0.0
8212affffffffff,4.0,4.0,0.0,0.0
8212c7fffffffff,33.0,1.0,9.0,0.0
8212cffffffffff,5.0,0.0,2.0,0.0
8212d7fffffffff,9.0,0.0,1.0,0.0
8212dffffffffff,26.0,0.0,4.0,0.0
8212e7fffffffff,13.0,8.0,0.0,0.0
8212f7fffffffff,1.0,0.0,1.0,0.0
821387fffffffff,4.0,2.0,0.0,0.0
821aa7fffffffff,1.0,0.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0,0.0
821b9ffffffffff,14.0,0.0,0.0,0.0
822707fffffffff,2.0,0.0,0.0,0.0
82270ffffffffff,15.0,3.0,0.0,0.0
82271ffffffffff,6.0,0.0,0.0,0.0
82272ffffffffff,2.0,0.0,0.0,0.0
822747fffffffff,148.0,2.0,0.0,0.0
822757fffffffff,74.0,3.0,0.0,0.0
822767fffffffff,523.0,19.0,0.0,0.0
82276ffffffffff,17.0,0.0,0.0,0.0
822777fffffffff,21.0,0.0,0.0,0.0
822797fffffffff,1.0,0.0,0.0,0.0
822887fffffffff,38.0,0.0,19.0,0.0
82288ffffffffff,9.0,0.0,9.0,0.0
822897fffffffff,2.0,0.0,2.0,0.0
82289ffffffffff,14.0,0.0,2.0,0.0
8228d7fffffffff,63.0,0.0,17.0,0.0
8228dffffffffff,6.0,0.0,0.0,0.0
8228f7fffffffff,48.0,0.0,13.0,0.0
822a37fffffffff,1.0,0.0,0.0,0.0
822b07fffffffff,25.0,0.0,0.0,0.0
822b0ffffffffff,11.0,0.0,0.0,0.0
822b17fffffffff,26.0,2.0,0.0,0.0
822b1ffffffffff,29.0,0.0,0.0,0.0
822b27fffffffff,20.0,0.0,0.0,0.0
822b2ffffffffff,23.0,0.0,0.0,0.0
822b37fffffffff,18.0,0.0,0.0,0.0
822b87fffffffff,16.0,0.0,0.0,0.0
822b97fffffffff,21.0,0.0,0.0,0.0
822b9ffffffffff,146.0,8.0,0.0,0.0
822ba7fffffffff,11.0,0.0,0.0,0.0
822baffffffffff,70.0,7.0,0.0,0.0
822bb7fffffffff,2.0,0.0,0.0,0.0
