cell_id,Trochalopteron erythrocephalum,Trochalopteron erythrocephalum erythrocephalum/kali,Trochalopteron erythrocephalum nigrimentum
833c00fffffffff,20.0,0.0,0.0
833c02fffffffff,324.0,0.0,0.0
833c03fffffffff,27.0,0.0,0.0
833c06fffffffff,73.0,0.0,0.0
833c0afffffffff,1712.0,0.0,0.0
833c0bfffffffff,333.0,0.0,0.0
833c0efffffffff,3.0,0.0,0.0
833c19fffffffff,52.0,0.0,0.0
833c1dfffffffff,1035.0,0.0,0.0
833c30fffffffff,9.0,0.0,0.0
833c31fffffffff,78.0,0.0,0.0
833c34fffffffff,2.0,0.0,0.0
833c43fffffffff,37.0,0.0,0.0
833c52fffffffff,1222.0,0.0,0.0
833c53fffffffff,12.0,0.0,0.0
833c56fffffffff,13.0,0.0,0.0
833c58fffffffff,323.0,0.0,0.0
833c59fffffffff,72.0,0.0,0.0
833c5bfffffffff,15.0,0.0,0.0
833c5cfffffffff,44.0,0.0,0.0
833c5dfffffffff,2.0,0.0,0.0
833ce4fffffffff,29.0,0.0,0.0
833ce5fffffffff,133.0,0.0,0.0
833d10fffffffff,84.0,0.0,0.0
833d11fffffffff,70.0,0.0,0.0
833d13fffffffff,40.0,0.0,0.0
833d14fffffffff,2.0,0.0,0.0
833d15fffffffff,175.0,0.0,0.0
833d1afffffffff,131.0,0.0,0.0
833d1efffffffff,1603.0,0.0,0.0
833d33fffffffff,112.0,0.0,0.0
833dadfffffffff,902.0,0.0,0.0
