cell_id,Pipilo maculatus,Pipilo maculatus [oregonus Group],Pipilo maculatus arcticus,Pipilo maculatus [maculatus Group],Pipilo maculatus macronyx,Pipilo maculatus socorroensis
820e4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,27.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,14.0,0.0,0.0,5.0,0.0,0.0
8212dffffffffff,42.0,0.0,1.0,8.0,0.0,0.0
8212effffffffff,18.0,0.0,2.0,0.0,0.0,0.0
821387fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,50.0,0.0,5.0,0.0,0.0,0.0
82260ffffffffff,60.0,0.0,5.0,0.0,0.0,0.0
822617fffffffff,49.0,0.0,3.0,2.0,0.0,0.0
82261ffffffffff,24.0,0.0,6.0,0.0,0.0,0.0
822627fffffffff,146.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,45.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,115.0,0.0,6.0,0.0,0.0,0.0
82264ffffffffff,41.0,0.0,3.0,0.0,0.0,0.0
822657fffffffff,51.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,30.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,122.0,0.0,4.0,0.0,0.0,0.0
82266ffffffffff,30.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,139.0,0.0,0.0,10.0,0.0,0.0
82268ffffffffff,579.0,0.0,15.0,68.0,0.0,0.0
822697fffffffff,375.0,1.0,0.0,261.0,0.0,0.0
82269ffffffffff,106.0,0.0,0.0,8.0,0.0,0.0
8226a7fffffffff,22.0,0.0,4.0,0.0,0.0,0.0
8226affffffffff,264.0,0.0,37.0,59.0,0.0,0.0
8226b7fffffffff,4.0,0.0,0.0,2.0,0.0,0.0
8226c7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,39.0,0.0,2.0,4.0,0.0,0.0
8226dffffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,104.0,0.0,3.0,13.0,0.0,0.0
822707fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822717fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
82271ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
822747fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
82274ffffffffff,69.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
82275ffffffffff,105.0,0.0,0.0,0.0,0.0,0.0
822767fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
822777fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
822787fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82278ffffffffff,4.0,0.0,2.0,0.0,0.0,0.0
822797fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
82279ffffffffff,10.0,0.0,2.0,0.0,0.0,0.0
