cell_id,Thinornis tricollaris,Thinornis tricollaris tricollaris,Thinornis tricollaris bifrontatus
842c203ffffffff,3.0,0.0,0.0
842db01ffffffff,14.0,0.0,0.0
842db0bffffffff,30.0,7.0,0.0
842db11ffffffff,7.0,0.0,0.0
842db15ffffffff,24.0,4.0,0.0
842db3dffffffff,2.0,0.0,0.0
843e5b9ffffffff,27.0,2.0,0.0
843ee93ffffffff,2.0,0.0,0.0
847a681ffffffff,7.0,7.0,0.0
847a6a1ffffffff,3.0,2.0,0.0
847a6adffffffff,4.0,4.0,0.0
847a6d1ffffffff,7.0,7.0,0.0
84972e3ffffffff,1.0,1.0,0.0
84975c7ffffffff,4.0,0.0,0.0
84ac96dffffffff,3.0,0.0,0.0
84aca23ffffffff,2.0,0.0,0.0
84acaadffffffff,4.0,4.0,0.0
84bc4a3ffffffff,2.0,2.0,0.0
84bcc23ffffffff,6.0,2.0,0.0
84bcc27ffffffff,2.0,0.0,0.0
84bcc2bffffffff,2.0,2.0,0.0
84bcc3bffffffff,4.0,4.0,0.0
84bcc3dffffffff,4.0,4.0,0.0
84bcd29ffffffff,6.0,0.0,0.0
84bcd63ffffffff,2.0,0.0,0.0
84bcd67ffffffff,1.0,0.0,0.0
84bcdc9ffffffff,2.0,2.0,0.0
84bcdd1ffffffff,2.0,0.0,0.0
84bcdddffffffff,1.0,0.0,0.0
84bce29ffffffff,2.0,2.0,0.0
84bcebbffffffff,2.0,0.0,0.0
