cell_id,Turdus assimilis,Turdus assimilis [assimilis Group],Turdus assimilis daguae
824527fffffffff,502.0,4.0,0.0
82452ffffffffff,842.0,25.0,0.0
824537fffffffff,220.0,0.0,0.0
824807fffffffff,14.0,0.0,0.0
82480ffffffffff,139.0,0.0,0.0
824817fffffffff,236.0,9.0,0.0
82481ffffffffff,24.0,0.0,0.0
824837fffffffff,1613.0,70.0,0.0
8248e7fffffffff,46.0,0.0,0.0
824987fffffffff,733.0,47.0,0.0
82498ffffffffff,8.0,0.0,0.0
824997fffffffff,1036.0,83.0,0.0
82499ffffffffff,315.0,0.0,0.0
8249affffffffff,2374.0,74.0,0.0
8249b7fffffffff,433.0,0.0,0.0
826617fffffffff,18.0,0.0,2.0
82661ffffffffff,12.0,0.0,0.0
826687fffffffff,36.0,1.0,0.0
8266a7fffffffff,498.0,29.0,0.0
8266b7fffffffff,4233.0,61.0,0.0
8266d7fffffffff,65.0,0.0,27.0
8266f7fffffffff,25.0,0.0,0.0
826797fffffffff,65.0,0.0,0.0
826d07fffffffff,122.0,18.0,0.0
826d17fffffffff,553.0,63.0,0.0
826d27fffffffff,212.0,47.0,0.0
826d2ffffffffff,2514.0,177.0,0.0
826d37fffffffff,967.0,110.0,0.0
826d67fffffffff,98.0,0.0,0.0
826d6ffffffffff,4985.0,0.0,0.0
826d77fffffffff,267.0,0.0,0.0
