cell_id,Tangara velia,Tangara velia [velia Group],Tangara velia cyanomelas
835f71fffffffff,2.0,0.0,0.0
836641fffffffff,7.0,7.0,0.0
836644fffffffff,2.0,0.0,0.0
83665afffffffff,1.0,1.0,0.0
8366c0fffffffff,2.0,0.0,0.0
8366c5fffffffff,42.0,0.0,0.0
8366dafffffffff,1.0,1.0,0.0
8366defffffffff,4.0,4.0,0.0
8366e3fffffffff,2.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
8366ecfffffffff,7.0,0.0,0.0
8366eefffffffff,2.0,0.0,0.0
838180fffffffff,3.0,0.0,3.0
838185fffffffff,4.0,0.0,4.0
838b56fffffffff,1.0,1.0,0.0
838b5cfffffffff,3.0,3.0,0.0
838b61fffffffff,1.0,0.0,0.0
838b63fffffffff,1.0,0.0,0.0
83a596fffffffff,21.0,0.0,21.0
83a891fffffffff,7.0,0.0,6.0
