cell_id,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota [pyrrhonota Group],Petrochelidon pyrrhonota melanogaster
830743fffffffff,2.0,0.0,0.0
83075dfffffffff,6.0,0.0,0.0
830773fffffffff,3.0,0.0,0.0
830c14fffffffff,25.0,0.0,0.0
830c15fffffffff,4.0,0.0,0.0
830c1bfffffffff,11.0,0.0,0.0
830c30fffffffff,2.0,0.0,0.0
830c33fffffffff,12.0,0.0,0.0
830c51fffffffff,1.0,0.0,0.0
830c5afffffffff,27.0,0.0,0.0
830c62fffffffff,3.0,0.0,0.0
830c66fffffffff,6.0,0.0,0.0
830c70fffffffff,2.0,0.0,0.0
830c71fffffffff,1.0,0.0,0.0
830c73fffffffff,10.0,0.0,0.0
830c74fffffffff,1.0,0.0,0.0
830c75fffffffff,2.0,0.0,0.0
830ca4fffffffff,21.0,0.0,0.0
830d03fffffffff,1.0,0.0,0.0
830d09fffffffff,6.0,0.0,0.0
830d49fffffffff,2.0,0.0,0.0
830d4afffffffff,3.0,0.0,0.0
830d4dfffffffff,2.0,0.0,0.0
830d56fffffffff,2.0,0.0,0.0
830d5afffffffff,1.0,0.0,0.0
830d62fffffffff,1.0,0.0,0.0
830d71fffffffff,1.0,0.0,0.0
830ec8fffffffff,8.0,0.0,0.0
830ec9fffffffff,4.0,0.0,0.0
830ecafffffffff,2.0,0.0,0.0
830eccfffffffff,8.0,0.0,0.0
830eeafffffffff,21.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0
831289fffffffff,2.0,0.0,0.0
8312a3fffffffff,4.0,0.0,0.0
8312b0fffffffff,4.0,0.0,0.0
8312b3fffffffff,2.0,0.0,0.0
8312b4fffffffff,11.0,0.0,0.0
8312c1fffffffff,4.0,0.0,0.0
8312c3fffffffff,6.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0
8312c9fffffffff,2.0,0.0,0.0
8312cafffffffff,2.0,0.0,0.0
8312cbfffffffff,5.0,0.0,0.0
8312ccfffffffff,24.0,0.0,0.0
8312d1fffffffff,7.0,0.0,0.0
8312d4fffffffff,1.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0
8312ddfffffffff,4.0,0.0,0.0
8312defffffffff,1.0,0.0,0.0
8312e8fffffffff,2.0,2.0,0.0
8312eafffffffff,4.0,0.0,0.0
8312ebfffffffff,2.0,0.0,0.0
8312ecfffffffff,2.0,0.0,0.0
831380fffffffff,7.0,0.0,0.0
831382fffffffff,23.0,0.0,0.0
831383fffffffff,28.0,0.0,0.0
831386fffffffff,23.0,0.0,0.0
831388fffffffff,2.0,0.0,0.0
83138cfffffffff,15.0,0.0,0.0
