cell_id,Anser anser,Anser anser anser,Anser anser rubrirostris
830120fffffffff,2.0,0.0,0.0
830122fffffffff,1.0,0.0,0.0
830123fffffffff,4.0,0.0,0.0
830124fffffffff,5.0,1.0,0.0
830126fffffffff,2.0,0.0,0.0
830130fffffffff,172.0,26.0,0.0
830131fffffffff,7.0,0.0,0.0
830135fffffffff,142.0,16.0,0.0
830741fffffffff,223.0,54.0,0.0
830742fffffffff,306.0,126.0,0.0
830743fffffffff,766.0,102.0,0.0
830744fffffffff,44.0,13.0,0.0
830745fffffffff,66.0,19.0,0.0
830746fffffffff,1088.0,481.0,0.0
83074efffffffff,26.0,11.0,0.0
830751fffffffff,36.0,6.0,0.0
830753fffffffff,2.0,0.0,0.0
830755fffffffff,78.0,21.0,0.0
830758fffffffff,77.0,9.0,0.0
83075cfffffffff,306.0,90.0,0.0
83075dfffffffff,2166.0,453.0,0.0
83075efffffffff,357.0,27.0,0.0
830762fffffffff,278.0,156.0,0.0
830763fffffffff,207.0,92.0,0.0
830770fffffffff,58.0,49.0,0.0
830771fffffffff,112.0,78.0,0.0
830773fffffffff,1334.0,1023.0,0.0
830774fffffffff,2.0,0.0,0.0
830775fffffffff,51.0,13.0,0.0
830802fffffffff,14.0,2.0,0.0
830803fffffffff,2.0,0.0,0.0
830805fffffffff,6.0,0.0,0.0
830806fffffffff,79.0,0.0,0.0
830813fffffffff,2.0,0.0,0.0
830815fffffffff,101.0,2.0,0.0
83081efffffffff,10.0,0.0,0.0
830828fffffffff,5.0,0.0,0.0
83082afffffffff,3.0,2.0,0.0
830830fffffffff,8.0,0.0,0.0
830832fffffffff,5.0,0.0,0.0
830833fffffffff,30.0,0.0,0.0
830836fffffffff,72.0,0.0,0.0
830880fffffffff,91.0,17.0,0.0
830882fffffffff,19.0,8.0,0.0
830883fffffffff,78.0,5.0,0.0
830884fffffffff,35.0,4.0,0.0
830885fffffffff,13.0,0.0,0.0
830886fffffffff,641.0,199.0,0.0
830888fffffffff,91.0,17.0,0.0
830889fffffffff,3.0,0.0,0.0
83088afffffffff,4.0,0.0,0.0
83088efffffffff,38.0,33.0,0.0
830890fffffffff,15.0,0.0,0.0
830893fffffffff,54.0,0.0,0.0
830894fffffffff,4.0,0.0,0.0
830895fffffffff,114.0,82.0,0.0
830896fffffffff,31.0,10.0,0.0
830898fffffffff,70.0,0.0,0.0
830899fffffffff,133.0,25.0,0.0
83089afffffffff,278.0,4.0,0.0
83089bfffffffff,8.0,0.0,0.0
83089cfffffffff,15.0,0.0,0.0
83089dfffffffff,146.0,2.0,0.0
83089efffffffff,113.0,2.0,0.0
8308a3fffffffff,8.0,0.0,0.0
8308a4fffffffff,2.0,0.0,0.0
8308a6fffffffff,30.0,8.0,0.0
8308aefffffffff,6.0,2.0,0.0
8308b0fffffffff,91.0,10.0,0.0
8308b1fffffffff,209.0,11.0,0.0
8308b2fffffffff,4.0,1.0,0.0
8308b3fffffffff,97.0,14.0,0.0
8308b4fffffffff,36.0,8.0,0.0
8308b5fffffffff,28.0,7.0,0.0
8308b6fffffffff,14.0,1.0,0.0
8308c2fffffffff,8.0,4.0,0.0
8308c8fffffffff,5.0,0.0,0.0
8308c9fffffffff,4.0,0.0,0.0
8308cdfffffffff,2.0,0.0,0.0
8308d0fffffffff,1.0,0.0,0.0
8308d1fffffffff,130.0,10.0,0.0
8308d3fffffffff,3.0,0.0,0.0
8308d4fffffffff,6.0,0.0,0.0
8308d5fffffffff,58.0,11.0,0.0
8308d8fffffffff,5.0,2.0,0.0
8308e9fffffffff,4.0,0.0,0.0
8308edfffffffff,78.0,1.0,0.0
8308f2fffffffff,8.0,8.0,0.0
8308f6fffffffff,12.0,0.0,0.0
83094afffffffff,2.0,0.0,0.0
83094bfffffffff,13.0,0.0,0.0
830958fffffffff,10.0,2.0,0.0
830959fffffffff,16.0,0.0,0.0
83095afffffffff,42.0,2.0,0.0
83095bfffffffff,4.0,0.0,0.0
830980fffffffff,27.0,0.0,0.0
830981fffffffff,26.0,0.0,0.0
830982fffffffff,113.0,2.0,0.0
830988fffffffff,2.0,2.0,0.0
830989fffffffff,1.0,0.0,0.0
83098dfffffffff,2.0,0.0,0.0
830991fffffffff,334.0,11.0,0.0
830993fffffffff,5.0,0.0,0.0
830998fffffffff,55.0,8.0,0.0
830999fffffffff,303.0,69.0,0.0
83099afffffffff,3.0,0.0,0.0
83099bfffffffff,167.0,107.0,0.0
83099dfffffffff,2.0,2.0,0.0
83099efffffffff,84.0,2.0,0.0
8309a0fffffffff,219.0,19.0,0.0
8309a4fffffffff,263.0,33.0,0.0
8309a5fffffffff,16.0,4.0,0.0
8309a6fffffffff,129.0,16.0,0.0
8309abfffffffff,4.0,0.0,0.0
830bb0fffffffff,3.0,0.0,0.0
831103fffffffff,6.0,0.0,0.0
831105fffffffff,1.0,0.0,0.0
831122fffffffff,7.0,0.0,0.0
831126fffffffff,137.0,36.0,0.0
831128fffffffff,2.0,0.0,0.0
831130fffffffff,2.0,0.0,0.0
831135fffffffff,3.0,0.0,0.0
