cell_id,Dendrocincla fuliginosa,Dendrocincla fuliginosa [meruloides Group],Dendrocincla fuliginosa fuliginosa/rufoolivacea,Dendrocincla fuliginosa atrirostris/trumaii
835f14fffffffff,2.0,0.0,0.0,0.0
835f48fffffffff,1.0,0.0,0.0,0.0
835f58fffffffff,10.0,10.0,0.0,0.0
835f5bfffffffff,7.0,7.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0
836619fffffffff,3.0,0.0,0.0,0.0
836620fffffffff,1.0,1.0,0.0,0.0
836621fffffffff,18.0,0.0,0.0,0.0
8366a0fffffffff,5.0,0.0,0.0,0.0
8366a5fffffffff,9.0,0.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0,0.0
8366b5fffffffff,6.0,1.0,0.0,0.0
8366d3fffffffff,8.0,2.0,0.0,0.0
8366dcfffffffff,2.0,2.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,12.0,0.0,0.0,0.0
83674cfffffffff,7.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
83679afffffffff,6.0,0.0,0.0,0.0
836d65fffffffff,3.0,0.0,0.0,0.0
836d69fffffffff,1.0,1.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0,0.0
838a45fffffffff,2.0,2.0,0.0,0.0
838b5cfffffffff,1.0,0.0,0.0,1.0
838f2cfffffffff,5.0,3.0,0.0,0.0
