cell_id,Eurylaimus javanicus,Eurylaimus javanicus [harterti Group],Eurylaimus javanicus javanicus
826417fffffffff,470.0,128.0,0.0
826437fffffffff,123.0,62.0,0.0
826497fffffffff,3.0,0.0,0.0
8264a7fffffffff,14.0,2.0,0.0
8264b7fffffffff,13.0,2.0,0.0
826507fffffffff,434.0,4.0,0.0
82651ffffffffff,290.0,70.0,0.0
826527fffffffff,391.0,2.0,0.0
82652ffffffffff,10.0,0.0,0.0
826587fffffffff,30.0,0.0,0.0
82658ffffffffff,33.0,12.0,0.0
826597fffffffff,64.0,0.0,0.0
82659ffffffffff,270.0,71.0,0.0
8265b7fffffffff,239.0,25.0,0.0
826807fffffffff,69.0,0.0,0.0
826817fffffffff,123.0,14.0,0.0
82681ffffffffff,558.0,44.0,0.0
826887fffffffff,1.0,0.0,0.0
82688ffffffffff,2.0,0.0,0.0
826897fffffffff,1.0,0.0,0.0
82689ffffffffff,2.0,0.0,0.0
8268a7fffffffff,2.0,0.0,0.0
828c17fffffffff,152.0,0.0,75.0
828c1ffffffffff,32.0,1.0,0.0
828c97fffffffff,20.0,0.0,0.0
828caffffffffff,45.0,3.0,0.0
828cd7fffffffff,5.0,0.0,0.0
828d87fffffffff,5.0,0.0,1.0
828d8ffffffffff,3.0,0.0,2.0
828da7fffffffff,31.0,0.0,16.0
828db7fffffffff,8.0,0.0,6.0
