cell_id,Oenanthe scotocerca,Oenanthe scotocerca [scotocerca Group],Oenanthe scotocerca spectatrix/validior
8452993ffffffff,1.0,0.0,0.0
84529b9ffffffff,2.0,0.0,0.0
8452a37ffffffff,1.0,0.0,0.0
846a485ffffffff,1.0,0.0,0.0
846a4b3ffffffff,2.0,0.0,0.0
846a581ffffffff,9.0,0.0,0.0
846a5abffffffff,2.0,0.0,0.0
846a5b3ffffffff,10.0,0.0,0.0
846a6ddffffffff,1.0,0.0,0.0
847a401ffffffff,9.0,0.0,0.0
847a405ffffffff,35.0,0.0,0.0
847a407ffffffff,34.0,0.0,0.0
847a413ffffffff,238.0,0.0,0.0
847a41bffffffff,2.0,0.0,0.0
847a431ffffffff,1.0,0.0,0.0
847a593ffffffff,16.0,0.0,0.0
847a597ffffffff,1.0,0.0,0.0
847a59bffffffff,5.0,0.0,0.0
847a5adffffffff,1.0,0.0,0.0
847a5c5ffffffff,4.0,0.0,0.0
847a5ddffffffff,1.0,0.0,0.0
847a5e1ffffffff,1.0,0.0,0.0
847ac15ffffffff,11.0,0.0,0.0
847aca5ffffffff,1.0,0.0,0.0
847acc5ffffffff,1.0,0.0,0.0
847ad93ffffffff,1.0,0.0,0.0
847ad99ffffffff,8.0,0.0,0.0
847ae81ffffffff,10.0,0.0,0.0
847ae85ffffffff,3.0,0.0,0.0
847ae99ffffffff,12.0,0.0,0.0
847ae9dffffffff,1.0,0.0,0.0
847aea3ffffffff,4.0,0.0,0.0
847aea7ffffffff,1.0,0.0,0.0
847aeabffffffff,8.0,0.0,0.0
