cell_id,Trogon collaris,Trogon collaris puella,Trogon collaris aurantiiventris/underwoodi,Trogon collaris [collaris Group]
82450ffffffffff,345.0,27.0,0.0,0.0
824527fffffffff,1718.0,0.0,0.0,0.0
82452ffffffffff,2923.0,33.0,0.0,0.0
824537fffffffff,453.0,0.0,0.0,0.0
824997fffffffff,584.0,215.0,0.0,0.0
82499ffffffffff,28.0,0.0,0.0,0.0
8249b7fffffffff,138.0,0.0,0.0,0.0
825f07fffffffff,16.0,0.0,0.0,0.0
825f17fffffffff,20.0,0.0,0.0,0.0
825f4ffffffffff,89.0,0.0,0.0,0.0
825f5ffffffffff,1035.0,0.0,0.0,0.0
825f77fffffffff,24.0,0.0,0.0,0.0
826607fffffffff,3.0,0.0,0.0,0.0
82660ffffffffff,625.0,0.0,0.0,1.0
826617fffffffff,99.0,0.0,0.0,9.0
82661ffffffffff,1749.0,0.0,0.0,61.0
826627fffffffff,12.0,0.0,0.0,0.0
82662ffffffffff,74.0,0.0,0.0,0.0
826647fffffffff,4.0,0.0,0.0,0.0
826657fffffffff,2.0,0.0,0.0,0.0
82665ffffffffff,11.0,0.0,0.0,0.0
8266a7fffffffff,1918.0,2.0,1358.0,0.0
8266b7fffffffff,6686.0,11.0,260.0,0.0
8266c7fffffffff,236.0,0.0,0.0,0.0
8266cffffffffff,40.0,0.0,0.0,0.0
8266d7fffffffff,1688.0,0.0,0.0,124.0
8266dffffffffff,1165.0,0.0,0.0,120.0
8266e7fffffffff,1892.0,0.0,0.0,57.0
8266effffffffff,197.0,0.0,0.0,0.0
8266f7fffffffff,2121.0,0.0,0.0,28.0
826747fffffffff,664.0,0.0,0.0,16.0
82674ffffffffff,1173.0,0.0,0.0,13.0
826757fffffffff,103.0,0.0,0.0,2.0
82675ffffffffff,205.0,0.0,0.0,2.0
826797fffffffff,28.0,0.0,0.0,0.0
82679ffffffffff,58.0,0.0,0.0,0.0
826d07fffffffff,138.0,7.0,0.0,0.0
826d17fffffffff,280.0,19.0,0.0,0.0
826d27fffffffff,863.0,150.0,0.0,0.0
826d2ffffffffff,5382.0,391.0,0.0,0.0
826d37fffffffff,838.0,123.0,0.0,0.0
826d67fffffffff,1112.0,0.0,0.0,0.0
826d6ffffffffff,7718.0,0.0,3399.0,0.0
82814ffffffffff,25.0,0.0,0.0,0.0
828a07fffffffff,2.0,0.0,0.0,0.0
828a17fffffffff,27.0,0.0,0.0,0.0
828a27fffffffff,5.0,0.0,0.0,0.0
828a37fffffffff,5.0,0.0,0.0,0.0
828a47fffffffff,84.0,0.0,0.0,0.0
828a57fffffffff,13.0,0.0,0.0,0.0
828a6ffffffffff,125.0,0.0,0.0,0.0
828a77fffffffff,14.0,0.0,0.0,0.0
828a87fffffffff,4.0,0.0,0.0,0.0
828aaffffffffff,14.0,0.0,0.0,0.0
828ae7fffffffff,6.0,0.0,0.0,0.0
828af7fffffffff,17.0,0.0,0.0,0.0
828b0ffffffffff,9.0,0.0,0.0,6.0
828b27fffffffff,24.0,0.0,0.0,0.0
828b2ffffffffff,6.0,0.0,0.0,0.0
828b47fffffffff,863.0,0.0,0.0,0.0
828b4ffffffffff,17.0,0.0,0.0,0.0
828b57fffffffff,26.0,0.0,0.0,0.0
828b5ffffffffff,31.0,0.0,0.0,3.0
828b67fffffffff,279.0,0.0,0.0,0.0
828b6ffffffffff,192.0,0.0,0.0,0.0
828b77fffffffff,155.0,0.0,0.0,0.0
828b87fffffffff,8.0,0.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0,0.0
828b9ffffffffff,318.0,0.0,0.0,8.0
828ba7fffffffff,4.0,0.0,0.0,1.0
828e67fffffffff,6.0,0.0,0.0,0.0
828f0ffffffffff,234.0,0.0,0.0,35.0
828f2ffffffffff,226.0,0.0,0.0,7.0
828f47fffffffff,223.0,0.0,0.0,3.0
828f4ffffffffff,53.0,0.0,0.0,0.0
828f5ffffffffff,6.0,0.0,0.0,0.0
828f67fffffffff,67.0,0.0,0.0,0.0
828f6ffffffffff,14.0,0.0,0.0,0.0
828f77fffffffff,361.0,0.0,0.0,28.0
82a897fffffffff,99.0,0.0,0.0,15.0
82a8cffffffffff,5.0,0.0,0.0,5.0
82b327fffffffff,3.0,0.0,0.0,0.0
