cell_id,Vireo bellii,Vireo bellii bellii/medius,Vireo bellii arizonae,Vireo bellii pusillus
822607fffffffff,13.0,2.0,0.0,0.0
82260ffffffffff,20.0,5.0,0.0,0.0
822617fffffffff,7.0,0.0,0.0,0.0
82261ffffffffff,12.0,1.0,0.0,0.0
822627fffffffff,8.0,0.0,0.0,0.0
82262ffffffffff,53.0,5.0,0.0,0.0
822637fffffffff,54.0,7.0,0.0,0.0
822647fffffffff,80.0,7.0,0.0,0.0
82264ffffffffff,82.0,1.0,0.0,0.0
822657fffffffff,174.0,3.0,0.0,0.0
82265ffffffffff,99.0,4.0,0.0,0.0
822667fffffffff,246.0,33.0,0.0,0.0
82266ffffffffff,81.0,4.0,0.0,0.0
822677fffffffff,29.0,0.0,0.0,0.0
82268ffffffffff,47.0,4.0,0.0,0.0
82269ffffffffff,4.0,0.0,0.0,0.0
8226a7fffffffff,4.0,0.0,0.0,0.0
8226affffffffff,109.0,56.0,0.0,0.0
8226c7fffffffff,18.0,2.0,0.0,0.0
8226cffffffffff,74.0,0.0,0.0,0.0
8226d7fffffffff,12.0,2.0,0.0,0.0
8226dffffffffff,80.0,0.0,0.0,0.0
8226e7fffffffff,25.0,11.0,0.0,0.0
8226effffffffff,21.0,0.0,0.0,0.0
8226f7fffffffff,25.0,6.0,0.0,0.0
82270ffffffffff,2.0,0.0,0.0,0.0
822747fffffffff,17.0,0.0,0.0,0.0
82274ffffffffff,107.0,3.0,0.0,0.0
822757fffffffff,79.0,5.0,0.0,0.0
82275ffffffffff,464.0,13.0,0.0,0.0
82278ffffffffff,2.0,0.0,0.0,0.0
822807fffffffff,5.0,1.0,0.0,0.0
822837fffffffff,142.0,44.0,0.0,30.0
82288ffffffffff,1.0,0.0,0.0,0.0
8228d7fffffffff,38.0,14.0,0.0,0.0
822917fffffffff,11.0,0.0,0.0,3.0
82291ffffffffff,5.0,0.0,0.0,0.0
822987fffffffff,244.0,0.0,4.0,0.0
82298ffffffffff,8.0,0.0,0.0,0.0
822997fffffffff,23.0,0.0,0.0,0.0
8229a7fffffffff,634.0,7.0,0.0,285.0
8229affffffffff,89.0,0.0,0.0,9.0
8229b7fffffffff,114.0,6.0,29.0,0.0
822a17fffffffff,37.0,9.0,0.0,0.0
822a37fffffffff,118.0,29.0,0.0,0.0
822a8ffffffffff,29.0,9.0,0.0,0.0
822a97fffffffff,472.0,40.0,0.0,0.0
822a9ffffffffff,2.0,0.0,0.0,0.0
822aaffffffffff,82.0,17.0,0.0,0.0
822ab7fffffffff,125.0,9.0,0.0,0.0
822b07fffffffff,5.0,0.0,0.0,0.0
822b0ffffffffff,15.0,1.0,0.0,0.0
822b1ffffffffff,4.0,0.0,0.0,0.0
822b8ffffffffff,17.0,5.0,0.0,0.0
822b9ffffffffff,5.0,0.0,0.0,0.0
824417fffffffff,45.0,2.0,0.0,0.0
82441ffffffffff,72.0,11.0,0.0,0.0
824447fffffffff,30.0,1.0,0.0,0.0
82444ffffffffff,31.0,5.0,0.0,0.0
