cell_id,Phoenicurus ochruros,Phoenicurus ochruros gibraltariensis/aterrimus,Phoenicurus ochruros [ochruros Group]
8407411ffffffff,2.0,0.0,0.0
8407635ffffffff,2.0,0.0,0.0
84089abffffffff,2.0,2.0,0.0
840991bffffffff,2.0,0.0,0.0
8409993ffffffff,2.0,2.0,0.0
84118adffffffff,6.0,0.0,0.0
8418053ffffffff,1.0,0.0,0.0
8418281ffffffff,3.0,1.0,0.0
8418287ffffffff,2.0,0.0,0.0
841828bffffffff,14.0,4.0,0.0
84182c1ffffffff,5.0,0.0,0.0
84182c3ffffffff,2.0,2.0,0.0
84182c9ffffffff,5.0,0.0,0.0
84182cbffffffff,28.0,8.0,0.0
84182e5ffffffff,2.0,0.0,0.0
841846dffffffff,3.0,3.0,0.0
8418493ffffffff,9.0,9.0,0.0
8418495ffffffff,30.0,0.0,0.0
8418497ffffffff,6.0,6.0,0.0
84184b5ffffffff,3.0,0.0,0.0
84184b7ffffffff,2.0,0.0,0.0
84184b9ffffffff,7.0,2.0,0.0
84184bbffffffff,6.0,0.0,0.0
84184bdffffffff,1.0,0.0,0.0
8418593ffffffff,2.0,2.0,0.0
84185b3ffffffff,48.0,35.0,0.0
84185b5ffffffff,4.0,1.0,0.0
84185bbffffffff,28.0,10.0,0.0
841870dffffffff,2.0,0.0,2.0
8418729ffffffff,4.0,0.0,0.0
84192cbffffffff,2.0,0.0,0.0
8419401ffffffff,7.0,0.0,2.0
841940dffffffff,2.0,0.0,0.0
8419415ffffffff,1.0,0.0,1.0
8419421ffffffff,2.0,0.0,0.0
8419425ffffffff,13.0,8.0,0.0
8419435ffffffff,2.0,0.0,0.0
8419461ffffffff,2.0,0.0,2.0
841946dffffffff,4.0,0.0,2.0
8419481ffffffff,3.0,3.0,0.0
84194e7ffffffff,1.0,1.0,0.0
8419565ffffffff,3.0,2.0,0.0
8419589ffffffff,2.0,2.0,0.0
8419729ffffffff,2.0,0.0,0.0
841972bffffffff,3.0,0.0,0.0
8419739ffffffff,2.0,0.0,2.0
841e041ffffffff,2.0,0.0,0.0
841e049ffffffff,2.0,0.0,0.0
841e05bffffffff,2.0,0.0,0.0
841e05dffffffff,2.0,0.0,0.0
841e067ffffffff,2.0,0.0,0.0
841e069ffffffff,19.0,0.0,0.0
841e0a9ffffffff,1.0,0.0,0.0
841e0b3ffffffff,2.0,2.0,0.0
841e0b7ffffffff,3.0,3.0,0.0
841e0e7ffffffff,1.0,0.0,0.0
841e167ffffffff,1.0,0.0,0.0
841e1edffffffff,2.0,2.0,0.0
841e22dffffffff,1.0,1.0,0.0
841e32dffffffff,2.0,0.0,0.0
841e355ffffffff,4.0,0.0,0.0
841e35bffffffff,1.0,1.0,0.0
841e35dffffffff,3.0,0.0,0.0
841e361ffffffff,2.0,0.0,0.0
841e363ffffffff,2.0,0.0,0.0
841e869ffffffff,4.0,4.0,0.0
841ea09ffffffff,2.0,0.0,0.0
841ea0bffffffff,1.0,0.0,0.0
841ea41ffffffff,7.0,5.0,0.0
841ea47ffffffff,1.0,0.0,0.0
841ea53ffffffff,1.0,0.0,0.0
841ea99ffffffff,1.0,0.0,0.0
841ec05ffffffff,3.0,0.0,0.0
841ec09ffffffff,1.0,0.0,0.0
841ec1dffffffff,1.0,0.0,0.0
841ec47ffffffff,2.0,0.0,0.0
841ec57ffffffff,2.0,0.0,0.0
841ec91ffffffff,1.0,0.0,0.0
841ec99ffffffff,2.0,0.0,0.0
841ec9bffffffff,9.0,0.0,0.0
841eca1ffffffff,2.0,0.0,0.0
841ecb9ffffffff,1.0,0.0,0.0
841ed13ffffffff,1.0,1.0,0.0
841ed21ffffffff,2.0,2.0,0.0
841ed35ffffffff,1.0,0.0,0.0
841eda1ffffffff,11.0,0.0,0.0
841ee37ffffffff,6.0,0.0,0.0
841ee55ffffffff,1.0,1.0,0.0
841ee59ffffffff,1.0,1.0,0.0
841ee5dffffffff,1.0,1.0,0.0
841ee91ffffffff,2.0,0.0,0.0
841ee97ffffffff,2.0,0.0,0.0
841f12dffffffff,2.0,0.0,0.0
841f18bffffffff,3.0,0.0,0.0
841f1a5ffffffff,42.0,40.0,0.0
841f29dffffffff,1.0,1.0,0.0
841f2adffffffff,2.0,0.0,0.0
841f81bffffffff,2.0,0.0,0.0
841f833ffffffff,2.0,0.0,0.0
841f837ffffffff,2.0,0.0,0.0
841f887ffffffff,2.0,0.0,0.0
841f891ffffffff,8.0,6.0,0.0
841f897ffffffff,5.0,5.0,0.0
