cell_id,Anthus spinoletta,Anthus spinoletta spinoletta,Anthus spinoletta coutellii,Anthus spinoletta blakistoni
8409829ffffffff,2.0,0.0,0.0,0.0
840991bffffffff,1.0,1.0,0.0,0.0
841828bffffffff,7.0,1.0,0.0,0.0
84182abffffffff,1.0,0.0,0.0,0.0
84182c3ffffffff,2.0,0.0,0.0,0.0
84182cbffffffff,1.0,0.0,0.0,0.0
8418495ffffffff,2.0,0.0,0.0,0.0
8418497ffffffff,2.0,0.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0,0.0
84185b3ffffffff,30.0,3.0,0.0,0.0
8418729ffffffff,1.0,0.0,0.0,0.0
8419405ffffffff,6.0,0.0,0.0,0.0
8419411ffffffff,2.0,0.0,0.0,0.0
8419413ffffffff,1.0,0.0,0.0,0.0
841942bffffffff,2.0,0.0,0.0,0.0
8419431ffffffff,1.0,0.0,0.0,0.0
8419435ffffffff,2.0,0.0,0.0,0.0
8419437ffffffff,3.0,0.0,0.0,0.0
84194a5ffffffff,3.0,0.0,0.0,0.0
84194c5ffffffff,2.0,0.0,0.0,0.0
84194e1ffffffff,2.0,0.0,0.0,0.0
84194edffffffff,2.0,0.0,0.0,0.0
8419511ffffffff,3.0,0.0,0.0,0.0
8419513ffffffff,3.0,0.0,0.0,0.0
841951bffffffff,1.0,0.0,0.0,0.0
841954dffffffff,1.0,0.0,0.0,0.0
84195c7ffffffff,2.0,2.0,0.0,0.0
8419697ffffffff,2.0,0.0,0.0,0.0
841969bffffffff,1.0,0.0,0.0,0.0
84196bbffffffff,1.0,0.0,0.0,0.0
8419729ffffffff,2.0,0.0,0.0,0.0
841973bffffffff,12.0,0.0,0.0,0.0
841e019ffffffff,4.0,0.0,0.0,0.0
841e029ffffffff,2.0,0.0,0.0,0.0
841e049ffffffff,2.0,0.0,0.0,0.0
841e06bffffffff,3.0,0.0,0.0,0.0
841e09bffffffff,5.0,0.0,0.0,0.0
841e163ffffffff,2.0,0.0,0.0,0.0
841e20dffffffff,2.0,0.0,0.0,0.0
841e223ffffffff,3.0,0.0,0.0,0.0
841e225ffffffff,4.0,0.0,0.0,0.0
841e22dffffffff,8.0,0.0,0.0,0.0
841e243ffffffff,1.0,0.0,0.0,0.0
841e2b7ffffffff,2.0,0.0,0.0,0.0
841e307ffffffff,2.0,0.0,0.0,0.0
841e327ffffffff,1.0,0.0,0.0,0.0
841e329ffffffff,2.0,0.0,0.0,0.0
841e339ffffffff,2.0,0.0,0.0,0.0
841e345ffffffff,5.0,0.0,0.0,0.0
841e34bffffffff,14.0,0.0,0.0,0.0
841e351ffffffff,3.0,0.0,0.0,0.0
841e35bffffffff,3.0,0.0,0.0,0.0
841ea0bffffffff,1.0,0.0,0.0,0.0
841ea19ffffffff,1.0,0.0,0.0,0.0
841ea41ffffffff,4.0,4.0,0.0,0.0
841ea53ffffffff,4.0,0.0,0.0,0.0
841ea95ffffffff,6.0,0.0,0.0,0.0
841ec09ffffffff,1.0,0.0,0.0,0.0
841ec1dffffffff,3.0,0.0,0.0,0.0
841ec47ffffffff,3.0,0.0,0.0,0.0
841ec9dffffffff,3.0,0.0,0.0,0.0
841eccbffffffff,5.0,0.0,0.0,0.0
841ed07ffffffff,2.0,0.0,0.0,0.0
841ed93ffffffff,2.0,0.0,0.0,0.0
841f001ffffffff,1.0,1.0,0.0,0.0
841f05bffffffff,2.0,0.0,0.0,0.0
841f1bbffffffff,1.0,0.0,0.0,0.0
841f1d1ffffffff,2.0,0.0,0.0,0.0
841f21dffffffff,3.0,0.0,0.0,0.0
841f229ffffffff,2.0,0.0,0.0,0.0
841f22dffffffff,4.0,0.0,0.0,0.0
841f233ffffffff,3.0,2.0,0.0,0.0
841f235ffffffff,2.0,0.0,0.0,0.0
841f257ffffffff,9.0,0.0,0.0,0.0
841f25dffffffff,3.0,2.0,0.0,0.0
841f269ffffffff,5.0,0.0,0.0,0.0
841f2e5ffffffff,1.0,0.0,0.0,0.0
841f33dffffffff,2.0,0.0,0.0,0.0
