cell_id,Prionops caniceps,Prionops caniceps caniceps,Prionops caniceps harterti
835883fffffffff,1.0,0.0,0.0
835894fffffffff,3.0,0.0,0.0
835895fffffffff,3.0,0.0,0.0
8358d3fffffffff,1.0,0.0,0.0
83599efffffffff,1.0,0.0,0.0
837508fffffffff,122.0,12.0,0.0
83750cfffffffff,1.0,0.0,0.0
83750dfffffffff,100.0,5.0,0.0
837513fffffffff,1.0,0.0,0.0
837518fffffffff,1.0,0.0,0.0
837519fffffffff,3.0,0.0,0.0
83751dfffffffff,1.0,0.0,0.0
837520fffffffff,2.0,0.0,0.0
837529fffffffff,45.0,2.0,0.0
83752afffffffff,204.0,23.0,0.0
83752bfffffffff,35.0,1.0,0.0
83752dfffffffff,1.0,0.0,0.0
837586fffffffff,1.0,0.0,0.0
8375a0fffffffff,3.0,0.0,0.0
8375a8fffffffff,5.0,0.0,0.0
8375b0fffffffff,7.0,0.0,0.0
8375b5fffffffff,1.0,0.0,0.0
838218fffffffff,1.0,0.0,0.0
838284fffffffff,1.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0
838290fffffffff,1.0,0.0,0.0
