cell_id,Terpsiphone cinnamomea,Terpsiphone cinnamomea unirufa,Terpsiphone cinnamomea cinnamomea/talautensis
83684efffffffff,5.0,0.0,5.0
836866fffffffff,5.0,2.0,0.0
83696dfffffffff,1.0,1.0,0.0
