cell_id,Fringilla canariensis,Fringilla canariensis canariensis/ombriosa,Fringilla canariensis palmae
833440fffffffff,1.0,0.0,1.0
833441fffffffff,372.0,244.0,44.0
833443fffffffff,18.0,7.0,9.0
83344cfffffffff,303.0,232.0,0.0
83344efffffffff,1.0,1.0,0.0
83346afffffffff,169.0,149.0,0.0
83346bfffffffff,7.0,3.0,0.0
