cell_id,Sakesphoroides cristatus,Sakesphoroides cristatus niedeguidonae,Sakesphoroides cristatus cristatus
838002fffffffff,5.0,0.0,0.0
838003fffffffff,1.0,0.0,0.0
838006fffffffff,5.0,0.0,0.0
838010fffffffff,9.0,0.0,0.0
838011fffffffff,5.0,0.0,0.0
838012fffffffff,3.0,0.0,0.0
838014fffffffff,2.0,0.0,0.0
838015fffffffff,2.0,0.0,0.0
838016fffffffff,7.0,0.0,0.0
838024fffffffff,4.0,0.0,0.0
838026fffffffff,2.0,0.0,0.0
838030fffffffff,176.0,0.0,0.0
838035fffffffff,2.0,0.0,0.0
838036fffffffff,24.0,0.0,0.0
8380a4fffffffff,5.0,0.0,0.0
838100fffffffff,9.0,0.0,0.0
838101fffffffff,7.0,0.0,0.0
838102fffffffff,86.0,0.0,0.0
838104fffffffff,28.0,0.0,0.0
838105fffffffff,1.0,0.0,0.0
838106fffffffff,59.0,0.0,0.0
83810afffffffff,2.0,0.0,0.0
838112fffffffff,2.0,0.0,0.0
838118fffffffff,10.0,0.0,0.0
838119fffffffff,5.0,0.0,0.0
83811afffffffff,1.0,0.0,0.0
83811bfffffffff,1.0,0.0,0.0
83811cfffffffff,7.0,0.0,0.0
838121fffffffff,39.0,0.0,0.0
838123fffffffff,1.0,0.0,0.0
838124fffffffff,487.0,0.0,0.0
838125fffffffff,4.0,0.0,0.0
838126fffffffff,3.0,0.0,0.0
83812afffffffff,3.0,0.0,0.0
83812bfffffffff,1.0,0.0,0.0
838130fffffffff,100.0,0.0,0.0
838131fffffffff,1.0,0.0,0.0
838132fffffffff,2.0,0.0,0.0
838133fffffffff,235.0,0.0,0.0
838135fffffffff,1.0,0.0,0.0
838181fffffffff,2.0,0.0,0.0
838188fffffffff,22.0,0.0,0.0
83818afffffffff,3.0,0.0,0.0
83818bfffffffff,4.0,0.0,0.0
83818cfffffffff,6.0,0.0,0.0
83818efffffffff,2.0,0.0,0.0
8381aafffffffff,12.0,0.0,0.0
8381acfffffffff,1.0,0.0,0.0
8381adfffffffff,90.0,0.0,0.0
83a88afffffffff,22.0,0.0,0.0
83a88bfffffffff,15.0,0.0,0.0
83a88cfffffffff,1.0,0.0,0.0
83a88efffffffff,70.0,0.0,0.0
83a89bfffffffff,9.0,0.0,0.0
